Frau Präsidentin! Die Menschenrechtslage in Afghanistan wird immer bedrohlicher.	Madam President, the situation on human rights in Afghanistan is growing increasingly threatening.
Die Bevölkerung leidet unter dem fast 20jährigen Bürgerkrieg mit seinen katastrophalen wirtschaftlichen Folgen, und sie leidet unter der Selbstverherrlichung und Menschenverachtung der Bürgerkriegsparteien.	The population is suffering from the civil war, which has lasted nearly 20 years, with catastrophic economic results, and it is suffering under the self-aggrandisement and lack of human respect of the Civil War Party.
Die Taliban sind ein Regime von Steinzeitfundamentalisten.	The Taliban is a stone-age fundamentalist regime.
Ihre Politik richtet sich gegen den weiblichen Teil der Bevölkerung.	Its politics are aimed at the female part of the population.
Mit Hilfe drakonischer Maßnahmen werden sie systematisch vom öffentlichen Leben ausgeschlossen, die medizinische Versorgung wird verweigert, Vergewaltigungen und Terror unerträglicher Art sind an der Tagesordnung.	They are systematically excluded from public life by means of draconian measures. Medical assistance is forbidden, rape and terror of unbearable kinds are daily routine.
Diese selbsternannten heiligen Krieger haben weitere Opfer: religiöse und ethnische Minderheiten, politisch Engagierte und Intellektuelle.	These self-styled holy wars have further victims: religious and ethnic minorities, the politically active and intellectuals.
In der islamischen Welt werden sie nur von Saudiarabien und Pakistan anerkannt.	In the Islamic world they are acknowledged only by Saudi Arabia and Pakistan.
Diese Isolierung zeigt, daß es den Taliban nicht um Religion, sondern um Macht und Geld geht.	This isolation shows that the Taliban is not so much interested in religion, as in power and money.
Wie wenig sie sich um Menschenrechtskonventionen scheren, hat die Delegation von Europa in Afghanistan gezeigt.	The European delegation in Afghanistan has shown how little they care for the Convention on Human Rights.
Wir müssen darauf achten, daß mit Hilfe aus der Europäischen Union nicht locker gelassen wird, daß die NGOs daran beteiligt sind, daß diese Hilfe konkrete Formen annimmt, und wir müssen uns darum bemühen, eine friedliche Lösung des Konflikts zu erreichen.	We must take care that with help from the European Union efforts are not relaxed, that the NGOs participate, and that this help takes concrete forms. We must strive to achieve a peaceful end to the conflict.
Hierbei darf der Ministerrat nicht länger abseits stehen.	The Council of Ministers cannot remain uninvolved for much longer.
