Herr Präsident! Mein Vorredner hat eine Bemerkung gemacht.	Mr President, the previous speaker made a comment.
Ich denke, Herr Rothley hat mich persönlich angegriffen.	I think that Mr Rothley attacked me personally.
Ich möchte noch einmal richtig stellen, dass es beim Europäischen Patentamt kein Gericht gibt.	I would like to make it clear once again that the European Patent Office does not have a court.
Es gibt eine Beschwerdekammer.	It has a Board of Appeal.
Das ist ein großer Unterschied.	That is a significant difference.
Ich sage dies, damit der Kollege auch entsprechend informiert ist.	I say this so that our colleague is properly informed.
Es ist sehr klar, dass das Patent sich auf Gene bezieht, auf mutierte Gene sogar und auf das Analyseverfahren, dies der Richtigkeit halber.	It is quite clear that the patent refers to genes - indeed, to mutated genes - and to the analysis procedure, for the sake of accuracy.
Den Kollegen, die interessiert sind, empfehle ich, die Website des Curie-Institutes in Frankreich, das als renommiertes Forschungsinstitut Einspruch dagegen eingelegt hat, zu konsultieren, die dies im Detail aufführen.	I would recommend that any Members of this House who are interested should visit the website of the Institut Curie in France - the prestigious research institute which has initiated an opposition procedure - as this describes the situation in detail.
In der Tat muss es darum gehen, dass nur eine Erfindung patentiert wird, und nicht eine Entdeckung.	It is indeed a fact that only an invention may be patented, not a discovery.
Zum Einwand von Frau Thors betreffend die Dringlichkeit: Die Einspruchsfrist für das erste Patent läuft am Dienstag aus.	On Ms Thors' objection regarding the urgency: the deadline set for instituting proceedings against the first patent expires on Tuesday.
Wir konnten also nicht den Fiori-Bericht abwarten, der erst im Oktober II behandelt wird.	This means that we cannot wait for the Fiori report, which will not be discussed until the October II part-session.
Es ist auch falsch, was Herr Rothley sagt: Wir sind zwar Gesetzgeber, aber seine eigene Justizministerin in Deutschland, Frau Däubler-Gmelin hat einmal dieses Verfahren angewandt.	What Mr Rothley says is also incorrect. We are indeed a legislative body, but his own Minister of Justice in Germany, Ms Däubler-Gmelin, once applied this procedure.
Sogar die Bundesregierung hat zu einem Patent, das 1999 vom Patentamt ausgesprochen wurde, Einspruch eingelegt.	Even the Federal Government once appealed against a patent which had been awarded by the Patent Office in 1999.
