Herr Präsident, um das noch einmal etwas deutlicher zu machen: Warum gibt es diese Unterscheidung?	Mr President, if I may reiterate the point somewhat more clearly, why is this distinction made?
Das, was am 1. September letzten Jahres in Kraft getreten ist, betrifft Angaben auf den Labels über Dinge, die am Schlachtort festgestellt werden können.	The provisions that entered into force on 1 September of last year relate to indications on the label providing information that can be ascertained at the abattoir.
Jedes Tier hat eine Ohrnummer, und wenn ich diese dann an das Fleisch weitergebe, kann ich den Weg vom Fleisch zu dem Tier zurückverfolgen.	Every animal has a numbered ear-tag, and if I pass the tag on with the meat, the meat can be retraced to the animal.
Zweitens, klarerweise weiß ich am Ort des Schlachtens, wo das Tier geschlachtet wurde, und ich kann auch feststellen, wo es zerlegt wurde.	Secondly, the place of slaughter is obviously a piece of information I can provide at an abattoir, and I can also state where the carcass was cut up.
Das andere Problem, das ab 1.1.2001 akut wird, ist, dass wir auch Angaben über die Aufzucht und über den Ort der Geburt machen wollen.	The other problem that has been acute since 1 January 2001 is that we also wish to indicate the places where the animal was born and reared.
Das kann ich aber nicht am Schlachtort feststellen, sondern da muss sozusagen das Tier seine Geschichte mitbringen, und dafür ist auch eine entsprechende Datenbasis und auch eine entsprechende EDV-mäßige Registrierung notwendig, damit das funktioniert.	I cannot establish that information at the abattoir, however, unless the animal comes to me with its life history, so to speak, and for this to work properly we need a suitable form of computerised registration.
Hier haben wir das Problem - und das ist auch der Grund, warum wir mit diesem System generell erst später beginnen können -, dass nicht in allen Mitgliedstaaten ausreichende Daten vorhanden sind, die so weit zurückgehen, dass man von allen Tieren bereits den Geburtsort computermäßig erfasst hat.	This is where we have the problem, and it is also the reason why the second part of the system has to come into general use at a later date. The fact is that not every Member State has been keeping the requisite data for long enough to have every animal' s place of birth stored in a computer.
Es wird auch am 1.1.2002 so sein, dass man diese Daten nicht von jedem Tier haben wird, aber man kann dann sehr genau unterscheiden.	Even on 1 January 2002, this data will still not be available for every animal, but it will be possible to make a very precise distinction by that date.
Qualitätsfleisch und als solches gekennzeichnetes Fleisch wird diese Daten auf dem Label haben, wobei das in der Regel ein Code sein wird und kein ausgeschriebener Name.	High-quality meat and meat bearing a seal of quality will have the required information on its label, normally in the form of a code rather than a printed name.
Das andere Fleisch darf dann nicht mehr als Qualitätsfleisch vermarktet werden.	From that point, no other meat will be marketable as quality meat.
Das ist die Vorgangsweise.	That is the procedure.
