Herr Präsident! Herr Ratspräsident! Ihre Grundhaltung hat meine ganze Unterstützung.	Mr President, Mr President-in-Office of the Council, your basic orientation has my full support.
Ich meine, Sie sind der richtige Ratspräsident in einer äußerst sensiblen Zeit mit der notwendigen Sensibilität für die Sorgen der Menschen, der Entschlossenheit, zu führen und zusammenzuführen.	I believe you are the right President-in-Office at an extremely sensitive time, with the necessary sensitivity to people's concerns and the determination to lead and reconcile.
Sie haben sich bei der Beantwortung der Fragen nicht abgeputzt, sondern haben die Themen beim Namen genannt.	When you were answering the questions, you did not pass the buck, and you called a spade a spade.
Sie flüchten nicht, sondern stellen sich.	You do not run away, but face up to things.
Ich möchte besonders Ihr klares Bekenntnis zur parlamentarischen Demokratie hervorheben.	I should particularly like to emphasise your strong commitment to parliamentary democracy.
Dieses Bekenntnis ist in diesen Zeiten besonders wichtig, weil wir in mehreren Mitgliedstaaten - wie in meinem Heimatland Österreich - das Ausspielen von direkter Demokratie und parlamentarischer Demokratie und damit die Entmündigung von Parlamenten der parlamentarischen Demokratie in europäischen Angelegenheiten erleben haben.	This commitment is particularly important in these times because, in several Member States - including my home country, Austria - we have been experiencing the playing off of direct democracy against parliamentary democracy and thus the incapacitation in European matters of parliaments in parliamentary democracies.
Treten wir entschlossen gemeinsam für die parlamentarische Demokratie und gegen ihre Entmündigung ein!	Let us stand together for parliamentary democracy and against its incapacitation.
(Beifall)	(Applause)
Es ist mir auch wichtig, dass Sie die Feigheit, man könnte auch sagen, die Doppelmoral vieler Regierungen und Mitglieder der Regierungen ihrer europäischen Mitverantwortung gegenüber einmal klar angesprochen haben, weil diese Doppelmoral eine der Hauptursachen des Vertrauensverlustes und der gegenseitigen Schuldzuweisungen ist, die wir beenden müssen.	It is also important to me that you have directly addressed the cowardice or, it could be said, the double standards, of many governments and members of governments in relation to their shared European responsibilities, as these double standards are one of the main causes of the lack of trust and mutual finger-pointing to which we must put a stop.
Wir verlangen nicht von jedem mehr Mut, aber wir verlangen von allen Aufrichtigkeit und Charakter.	We do not require everyone to be bolder, but we do require everyone to be honest and principled.
Ich möchte noch drei Dinge anschneiden.	I should like to touch on three more issues.
Das eine ist Ihre Position zum Vertrag.	The first is your position on the Treaty.
Sie sitzen nicht wie ein Kaninchen vor der Schlange, Sie warten nicht auf Irland, sondern Sie setzen den Ratifizierungsprozess fort und gehen auf Irland zu.	You are not like a rabbit caught in the headlights, you are not waiting for Ireland, but are continuing the ratification process whilst approaching Ireland.
Ich bin davon überzeugt, dass wir erst eine Einigung mit Irland finden werden, wenn alle 26 Mitgliedstatten ratifiziert haben.	I firmly believe that we shall come to an arrangement with Ireland only after all the other 26 Member States have ratified the Treaty.
Lassen wir aber auch Kroatien nicht allein!	However, we must not leave Croatia out on its own.
Ich begrüße, dass Sie alle Kapitel bis Jahresende eröffnen wollen.	I welcome your commitment to opening all the chapters by the end of the year.
Wir brauchen auch einen Zeitplan für Mazedonien.	We also need a timetable for Macedonia.
Ich bitte Sie, bei Ihrem Gipfel im Dezember auch den Small Business Act einer Ratsentscheidung zuzuführen, weil die Hauptkompetenzen bei den Mitgliedstaaten liegen.	I would ask the Council to also take a decision on the Small Business Act at its December Summit, as the main competences lie with the Member States.
Wir brauchen ein legal binding und nicht noch einmal eine öffentliche weitere politische Erklärung.	We need legal binding and not just another public political statement.
