Drei Minuten, Herr Oreja, was sage ich in drei Minuten zu diesem Arbeitsprogramm?	Three minutes, Mr Oreja, what can I say in three minutes about this working programme?
Eine schwierige Frage.	A difficult question.
Normalerweise habe ich damit kein Problem. Diesmal habe ich das.	Normally I have no problem with it, but this time I have.
Ich könnte Sie zum Beispiel fragen, ob Ihre Vorlagen eine Art Verschleierungstaktik sind, und ich sage damit etwas deutlicher das, was auch Herr Fayot viel eleganter und viel höflicher in seine Rede verpackt hat.	For instance, I could ask you whether your submissions are a kind of cover-up, and with that I am saying rather more clearly what Mr Fayot wrapped up much more elegantly and politely in his speech.
Die Kommission - und ich weiß, daß ich Sie zu Unrecht damit prügele, und deshalb entschuldige ich mich bei Ihnen als Person, Sie sind hier sozusagen für Ihre Kolleginnen und Kollegen verantwortlich - die Kommission hat mehrere Dokumente vorgelegt: ein Dokument über neue Rechtsetzungsinitiativen, mit einer Kommissionsnummer; ein Dokument über die politischen Prioritäten, mit einer Kommissionsnummer; ein Dokument über das, was Sie 1997 getan haben - leider nicht, was Sie nicht getan haben - mit einer Kommissionsnummer.	The Commission - and I know that it is wrong to chastise you yourself for it, and therefore I apologize to you personally, but you are here so to speak responsible for your colleagues - the Commission has submitted several documents: a document about new legislative initiatives, with a Commission number; a document about political priorities, with a Commission number; a document about what you have done in 1997 - unfortunately not about what you have not done - with a Commission number.
Was mich am meisten interessiert, nämlich die indikative Liste über das, was Sie für dieses Jahr vorhaben, ohne Kommissionsnummer, ist übrigens auch das dickste Dokument mit den meisten Vorschlägen.	What interests me most, that is the indicative list of what you intend for this year, without a Commission number, is incidentally the thickest document with the most proposals.
Das heißt, wir dürfen uns darauf verlassen, vielleicht kommt etwas, vielleicht auch nicht.	That means that we can rely on something perhaps coming or perhaps not.
Dann sage ich etwas zu dem, was jeder hier von mir erwartet.	Then I will say something about what everyone here expects from me.
Wir haben im vergangenen Monat über eine Entschließung abgestimmt, ob die Kommission es verdient, nach Hause geschickt zu werden; ob die Kommission es verdient - indirekt natürlich - das Mißtrauen ausgesprochen zu bekommen.	We have voted in the last month on a decision about whether the Commission deserves to be sent home, whether the Commission deserves - indirectly of course - a declaration of no confidence.
Wir haben gesagt nein.	We said no.
Ich habe hier eine Rede gehalten, die war voll des Lobes für die Kommission.	I made a speech here which was full of praise for the Commission.
Ich habe auch im letzten halben Jahr als Vorsitzende des BSE-Kontrollausschusses die Kommission häufig gelobt, auch Sie, als Sie in meinem Ausschuß waren.	In the last year, as chairperson of the BSE Monitoring Committee, I have often praised the Commission, including you, when you were in my committee.
Aber jetzt habe ich überhaupt keinen Grund mehr, Sie zu loben!	But I now have no more reason at all to praise you!
Sie nicht als Person, Herr Oreja, Herrn Bangemann nicht und viele andere nicht.	Not you personally, Mr Oreja, not Mr Bangemann and not many others.
Wo bleibt denn die Gesetzgebung im follow-up zu BSE, wo bleibt denn das, was wir haben wollen?	Where is the legislation in the follow-up to BSE, where is what we want?
Ja, es gibt ein Grünbuch zum Lebensmittelrecht.	Yes, there is a Green Paper about food law.
Aber wo bleibt denn die richtige Gesetzgebung dazu?	But where is the proper legislation about it?
Wo bleibt die Rahmenrichtlinie insgesamt zu Lebensmitteln, zur Lebensmittelkontrolle, zur Hygiene und zu anderen Aspekten?	Where is the framework directive about food, food control, hygiene and other aspects?
Ich habe ein bißchen das Gefühl, Herr Oreja, daß die Kommission sich jetzt wieder in den Dämmerschlaf zurückbegibt, in dem sie auch zuvor in den letzten zehn Jahren gelegen hat.	I have a slight feeling, Mr Oreja, that the Commission is returning to the doze in which it has been lying for the last ten years.
Ich bin nicht bereit, das zu akzeptieren.	I am not prepared to accept that.
Wir werden uns sehr aufmerksam ansehen, was in den nächsten Monaten kommt.	We shall look very carefully at what comes in the next few months.
In keinem der Dokumente, die ich Ihnen genannt habe, steht irgend etwas drin, was Sie konkret tun werden.	None of the documents which I mentioned to you include anything about what specifically you are going to do.
Sie, die Kommission, wiederum nicht Sie als Person.	You the Commission, again not you personally.
Ich habe überhaupt nichts dagegen, daß Herr Santer sagt, sie müßten mehr nachdenken.	I have nothing at all against Mr Santer saying that they must reflect more.
Ich finde Nachdenken immer hervorragend.	I always think reflection is excellent.
Ich möchte nur ganz gerne ein Ergebnis des Nachdenkens sehen, und ich möchte kein weiteres Grünbuch, ich möchte kein weiteres Weißbuch, ich möchte knackige Gesetzgebungsinitiativen.	I would just very much like to see a result of the reflection, and I do not want another Green Paper, I do not want another White Paper, I want crisp legislative initiatives.
Ich möchte Nährwertmittelkennzeichnung, ich möchte Lebensmittelhygiene, Lebensmittelkontrolle, ich möchte die Rahmengesetzgebung dazu haben!	I want nutrient identification, I want food hygiene, food control, I want the framework legislation about it!
Gehen Sie bitte nach Hause, und sagen Sie Herrn Bangemann, er soll endlich mal auf die Füße fallen und anfangen, tätig zu werden.	Please go home and say to Mr Bangemann that he should finally fall on his feet and start to become active.
Ich weiß, daß Herr Bangemann das gerne mit mir direkt diskutieren würde, ich würde das auch gerne mit Herrn Bangemann hier wieder tun.	I know that Mr Bangemann would willingly discuss this with me directly, and I would also willingly discuss it here with Mr Bangemann.
Das, was hier in diesen vielen Dokumenten steht, auch in diesem halboffiziellen Dokument, das nicht einmal eine Kommissionsnummer hat, reicht in keinem Fall aus, daß ich im nächsten Jahr sage, ja, diese Kommission tut, was sie tun muß.	What is in these many documents, even this semi-official document which does not even have a Commission number, is in no way enough for me to say in the next year that this Commission is doing what it must.
Auf keinen Fall, Herr Oreja!	In no way, Mr Oreja!
Es tut mir leid, daß es Sie trifft, sagen Sie es bitte Ihren Kolleginnen und Kollegen!	I am sorry if that upsets you, please pass it on to your colleagues!
