Herr Präsident, Herr Kommissionspräsident Prodi!	Mr President, Mr President of the Commission.
Wir haben heute von Ihnen sehr viel Programmatisches gehört.	You have said a great deal today about programming aspects.
Ich möchte mich auf Ihre letzten Worte beziehen, wo Sie auch über das Parlament, also über die Rolle der Parlamentarier, gesprochen haben.	I should like to refer to your closing words, in which you spoke about Parliament and the excellent role played by parliamentarians.
Schöne, gute Worte, Herr Präsident, aber zu wenig konkret!	Fine words, Mr President, but too vague.
Ich möchte Sie doch herausfordern, gewissermaßen eine konkrete Aussage zu machen.	I therefore call on you to make some sort of concrete statement.
Die Sachlage ist doch die: Wir wollen eine starke Kommission, weil wir der Überzeugung sind, dass die Basis eines zukünftigen Europas nicht - vor allem nicht vorrangig - die Zusammenarbeit von Regierungen sein kann.	The fact of the matter is this: we want a strong Commission, because we believe that intergovernmental cooperation is no basis for a Europe of tomorrow - at least not primarily.
Wir erwarten daher auch von Ihnen, dass Sie die Stärkung des Parlamentarismus wie auch die Stärkung der parlamentarischen Demokratie im Auge haben.	We therefore expect you too to bear in mind that we need to strengthen parliamentarianism and parliamentary debate.
Allgemein werden Sie dem zustimmen.	As a general precept, I am sure you agree with that.
Nur, Herr Präsident, wenn Ihr Vizepräsident Barnier vor kurzem in einer Diskussion im zuständigen Ausschuss gemeint hat, man sollte für die Zukunft für den Post-Nizza-Prozess eine Art Forum vorschlagen, an dem alle beteiligt sind - Parlamentarier, zivile Gesellschaft -, dann sage ich nein, wenn damit gemeint ist, ein solches Forum statt des Konvents einzuführen.	It is just, Mr President, that when your Vice-President, Mr Barnier, states during a recent discussion in committee that we should propose a sort of forum for the post-Nice process in which everyone is involved - members of parliament, civil society - then I say no, not if this forum is in lieu of a convention.
Herr Präsident, wir wollen einen Konvent haben, einen Konvent von Parlamentariern aus dem Europäischen Parlament und nationalen Parlamentariern.	Mr President, we want a convention, a convention of Members of the European Parliament and the national parliaments.
Das wollen wir haben, da bitten wir Sie um Ihre klare und eindeutige Unterstützung!	That is what we want and it is here that we ask for your clear, unequivocal support.
Herr Präsident, ich weiß, es gibt auch die Kritik der Kommission - direkt und indirekt -, dass dieses Parlament Schwächen hat.	I know, Mr President, that the Commission is critical - both directly and indirectly - of Parliament's weaknesses.
Zugegeben, es gibt Schwächen in diesem Parlament.	Parliament does have its weaknesses, it is true.
Aber die Schwächen dieses Parlaments und des Parlamentarismus auf europäischer Ebene müssen in die Stärkung dieses Parlaments gewandelt werden und nicht in eine zusätzliche Schwächung des Parlaments.	But the weaknesses of this Parliament and of parliamentarianism at European level need to be overcome by strengthening this Parliament, not weakening it still further.
Damit komme ich zum nächsten Punkt: Sie haben auch heute wieder vorgeschlagen - und ich gebe Ihnen Recht, da muss etwas geschehen -, zur Frage good governance ein Weißbuch zu veröffentlichen.	That brings me to my next point: you proposed again today - and I admit you are right, something must be done - to publish a White Paper on the question of good governance.
Der Begriff good governance ist schon ein bisschen problematisch.	The concept of good governance is somewhat of a problem in itself.
Ich würde eher democratic governance sagen.	I would rather refer to democratic governance.
Das demokratische Entscheidungsverfahren muss gestärkt werden. Da gebe ich Ihnen Recht.	The democratic decision-making procedure needs to be strengthened, I agree with you there.
Es muss auch verbreitert werden.	It must also be broadened.
Zur Demokratie gehört auch der Dialog mit der Zivilgesellschaft.	Democracy also includes dialogue with civil society.
Das gebe ich absolut zu.	I admit that one hundred per cent.
Da müssen wir gerade auch als Parlamentarier mehr tun!	And this is where we, as parliamentarians, must do more.
Aber wieder ist hier die entscheidende Frage: Ist die Einbeziehung der Zivilgesellschaft ein Ersatz für eine Stärkung der direkten parlamentarischen Demokratie oder nicht?	But, here again, the sixty thousand dollar question is: is civil society being involved at the expense of stronger parliamentary democracy?
Ist die Zivilgesellschaft gewissermaßen der Vormund der parlamentarischen Diskussion und Entscheidungsprozesse oder nicht?	Is civil society the guardian, so to speak, of parliamentary debate and the decision-making process?
Auch da muss es eine klare und eindeutige Aussage zugunsten des Parlaments geben.	Here too you must make a clear, unequivocal statement in support of Parliament.
(Beifall)	(Applause)
In diesem Zusammenhang komme ich auch zur Selbstregulierung, weil das auch ein neues Modewort ist.	That brings me to the question of self-regulation, another new buzz word.
Selbstregulierung wird auch manchmal euphemistisch umschrieben mit "kooperatives Entscheidungsmodell ".	Self-regulation is sometimes euphemistically referred to as a "cooperative decision-making model".
Nein, Herr Präsident!	No, Mr President.
Entscheiden muss das Parlament, entscheiden müssen der Rat, die parlamentarischen Gremien.	Parliament must take decisions, the Council must take decisions, the parliamentary committees must take decisions.
Sicher, wir müssen diesen Entscheidungsprozess transparent und öffentlich machen und nicht, wie das derzeit passiert, nicht transparent und nicht öffentlich tagen - das betrifft vor allem Kommission und Lobbygruppen.	Of course, we must ensure that this decision-making process is transparent and public and not, as is the case at present, opaque and private - that applies in particular to the Commission and lobby groups.
