Herr Präsident! Ich möchte Sie korrigieren.	Mr President, I should like to correct you.
Der Kollege Pirker hat mir, glaube ich, zu Protokoll seine zwei Minuten abgetreten, so dass ich vier Minuten habe.	I believe that the Minutes will show that my colleague Mr Pirker has given up his two minutes so that I have four minutes.
Herr Präsident, liebe Kolleginnen und Kollege aus nunmehr 25 Ländern! Die Osterweiterung unserer Europäischen Union ist am 1. Mai nicht quasi über Nacht geschehen, sondern war ein zehn Jahre langer Prozess, der sowohl der alten Europäischen Union als auch den neuen Mitgliedstaaten Enormes abverlangt hat.	Mr President, ladies and gentlemen, the eastern enlargement of our European Union on 1 May, to what are now 25 countries did not happen overnight, but was a ten-year-long process, which demanded an enormous amount both of the old European Union as well as of the new Member States.
Gerade im Bereich der Innen- und Justizpolitik hatten viele Bewohner der alten EU-Staaten Angst vor einer höheren Kriminalität nach einer Erweiterung.	In the area of justice and home affairs, many citizens of the old EU Member States were afraid of a higher crime rate after enlargement.
Hier ist aber durch Beitrittsverhandlung, aber auch durch ein großes eigenes Zutun der neuen Mitgliedstaaten viel erreicht worden.	Here, however, the accession negotiations, as well as an enormous amount of cooperation on the part of the new Member States themselves, have enabled us to achieve a great deal.
Wer hätte vor zehn Jahren geglaubt, dass einmal deutsche und polnische Grenzschützer in gemeinsamen Teams ihre Grenze zusammen kontrollieren?	Who would have thought, ten years ago, that one day German and Polish border guards would together control their borders in joint teams?
Die neuen Mitgliedstaaten waren aber auch im Bereich der Bekämpfung von nationaler Kriminalität sehr erfolgreich, so dass die alten Mitgliedstaaten häufig ihre Vorurteile abbauen mussten.	The new Member States were also very successful in the area of combating national crime, and so the old Member States often had to abandon their prejudices.
Angesichts immer neuer Bedrohungen gerade durch den internationalen Terrorismus müssen wir in Zukunft noch europäischer agieren.	Faced with more and more further threats, specifically from international terrorism, we must, in the future, act even more as Europeans.
Nach den Anschlägen vom 11. September in New York gab es einen leider einmaligen Schub in unserer gemeinsamen Innen- und Justizpolitik. Vieles wurde in einem Rekordtempo beschlossen: Europäischer Haftbefehl, einheitlicher Terrorismusbegriff inklusive Strafrahmen und das Einfrieren terroristischer Gelder.	After the attacks of 11 September in New York, we saw what was, unfortunately, a one-off advance in our common justice and home affairs policy, with a great deal decided on in record time: the European Arrest Warrant, a single definition of terrorism, which included a framework for penalties and the freezing of all funds for terrorist purposes.
Leider verebbte schon ein Jahr später das Interesse, und uns als Parlament gelang es nicht einmal mehr, die Strukturen von Europol für Terrorismusbekämpfung zu stärken.	Unfortunately, after just a year, interest was already waning and we in this House did not even manage to strengthen the Europol structure for combating terrorism.
Wieder rückten nationale Alleingänge und Ränkespiele in den Vordergrund. Erst nach den tragischen Anschlägen von Madrid steht nun das Thema wieder oben auf unserer Tagesordnung.	Once again, nations went it alone, and national plotting came to the fore; only after the tragic Madrid bombings did the issue once again appear at the top of our agenda.
Schnell wurde im Rat das Amt des Terrorismuskoordinators geschaffen, leider ohne wirkliche Kompetenzen.	In the Council, the position of Terrorism Coordinator was quickly created, unfortunately without any real powers.
Die nach dem 11. September 2001, also schon vor fast zweieinhalb Jahren, von uns beschlossenen Maßnahmen sind in den Mitgliedstaaten noch immer nicht umgesetzt.	The measures that we adopted after 11 September 2001 – that is, almost two and a half years ago – have still not been implemented in the Member States.
Fazit an dieser Stelle: Wir als Parlament, als Europäische Union haben unsere Hausaufgaben gemacht, die Mitgliedstaaten nicht. Dabei stehen schon die nächsten wichtigen Fragen auf der Agenda der nun erweiterten Union.	The upshot is that Parliament and the European Union have done our homework but the Member States have not and so the next important questions are already on the agenda for a now enlarged Union.
Unsere Visa-Politik muss harmonisiert werden, auch unter Errichtung eines Visa-Informationssystems.	Our visa policy must be harmonised and must include the creation of a visa information system.
Die Grenzschutzstandards müssen vereinheitlicht und durch die europäische Grenzschutzagentur kontrolliert werden. Das Schengener Informationssystem zweite Generation muss endlich fertiggestellt werden.	Border protection standards must be unified and controlled by a European border protection agency and the second generation Schengen Information System must finally be completed.
Europol muss noch stärker in die nationale Verbrechensbekämpfung eingebunden und personell gestärkt werden, und wir brauchen dringend den EU-Finanzstaatsanwalt, um den Betrug zu Lasten der Europäischen Union effizient bekämpfen zu können.	Europol must be even more closely involved in the national fight against crime and be given more manpower, and we urgently need the European Public Prosecutor, in order to effectively combat the defrauding of the European Union.
Die neuen Mitgliedstaaten müssen in diesem Rahmen noch stärker als bisher gegen Korruption vorgehen.	Within this framework, the new Member States must take even more decisive action against corruption than has been the case to date.
Auch die Zusammenarbeit mit Drittstaaten muss intensiviert werden, denn Terrorismus lässt sich nicht allein in Europa, sondern nur weltweit bekämpfen.	Cooperation with third countries must also be stepped up since terrorism must be combated, not just in Europe, but also across the world.
Wir haben in dieser Wahlperiode einiges für die Sicherheit der europäischen Bürger getan.	We have, in this legislative period, achieved a number of things for the safety of European citizens.
Vieles ist aber auch an der Einstimmigkeit im Rat und an nationalen Egoismen gescheitert.	A great deal fell through, though, as a result of the need for unanimity in the Council and because of national egoisms.
In kaum einem inhaltlichen Bereich ist daher das Inkrafttreten des Verfassungsvertrags so wichtig wie in der Innen- und Justizpolitik.	This is why there is hardly a content area for which the entry into force of the Constitutional Treaty is so important as that of justice and home affairs policy.
Die EU der 25 Mitgliedstaaten wird in Zukunft nur in der Lage sein, Terrorismus und organisiertes Verbrechen wirkungsvoll zu bekämpfen, wenn wir zu einfacheren und transparenteren Verfahren kommen.	The EU of 25 Member States will in future only be in a position to effectively combat terrorism and organised crime if we implement simpler and more transparent procedures.
Insbesondere der Rat muss zur Mehrheitsentscheidung übergehen.	The Council in particular must change over to majority voting.
Außerdem ist der Haushaltsansatz für diese Vertragszeit deutlich zu erhöhen, denn nicht nur Landwirtschaft und Wirtschaftsstrukturen, sondern auch Sicherheit hat seinen Preis.	In addition, whilst this Treaty is in place, the budget should be significantly increased, since not just agriculture and economic structures, but also safety, cost money.
In diesem Sinne hoffe ich auf eine konstruktive und sachorientierte Zusammenarbeit im neu gewählten Parlament.	To this end, I hope for constructive and specially focused cooperation in the newly elected Parliament.
Ein herzlicher Dank gilt Ihnen, Herr Kommissar Vitorino.	You deserve our thanks, Commissioner Vitorino.
In Asylfragen waren wir nicht immer einer Meinung, aber in der Innen- und Justizpolitik haben wir Sie sehr stark unterstützt, und der Applaus, der von der linken Seite kam, bezieht sich hoffentlich auf dieses Gebiet, denn das zeigt, dass wir in Zukunft in der Lage sein werden, gemeinsam, stärker noch als bisher, zu handeln.	We did not always agree on asylum issues, but we always gave you great support where justice and home affairs policy was concerned and I hope it was this that brought forth applause from the Left, since that shows that in the future we will be in a position to act together and be stronger than we were before.
