Frau Präsidentin! Auch ich finde den Vorschlag enttäuschend.	Madam President, I, too, find the proposal disappointing.
Dass die Krebs erregenden Stoffe auslaufen müssen, ist eigentlich längst überfällig.	It is actually high time that carcinogenic substances were done away with.
Dass Phosphate herausgenommen werden müssen, ist eigentlich ein Muss. Es ist ein Trauerspiel, dass das nicht gelungen ist.	The removal of phosphates is in fact a necessity, and it is a tragedy that we have not succeeded in bringing it about.
Außerdem fällt die Verordnung beim phasing out weit hinter andere Regelungen, wie z. B. die Wasser-Rahmenlichtlinien, zurück.	Moreover, when it comes to phasing out, the Regulation lags far behind other provisions, such as, for example, the water framework directives.
Die Kennzeichnung ist nur ein erster Schritt.	Labelling is only an initial step.
Es muss natürlich der Wahlfreiheit höchste Priorität eingeräumt werden. Aber noch wichtiger - und das ist meine Kritik, die leider auch zu wenig in der Debatte angesprochen wurde - ist eigentlich die Prüfung der Kausalität zwischen Allergie, Chemieempfindlichkeit und der Exposition gegenüber chemischen Stoffen.	Although the highest priority must of course be given to freedom of choice, my criticism is that too little attention has been paid in this debate to examining the causal links between allergies, sensitivity to chemicals, and exposure to chemical substances.
Es wird bei dieser Verordnung zu sehr die Auswirkung auf das Wasser behandelt und viel zu wenig - eigentlich kaum eine Expositionsabschätzung gegenüber den Verbrauchern und auch den Arbeitnehmern im Produktionsprozess.	This Regulation does too much about the effects on water and far too little - hardly anything at all, in fact - about any exposure assessment covering consumers and those who work in the production process.
Lassen Sie mich zum Schluss noch eine Bitte vorbringen, Herr Kommissar.	Let me conclude, Commissioner, by putting a request to you.
Wir haben einen Änderungsantrag zu spät eingereicht. Ich bitte Sie aber trotzdem, ihn zu prüfen.	We were too late in submitting an amendment, but I ask you to consider it all the same.
Wir wissen, dass einige Unternehmen schon bei flüssigem Waschmittel Bitterstoffe zufügen, damit Kinder diese Reinigungsmittel nicht versehentlich trinken.	We know that a number of companies are already adding bitter constituents to washing-up liquid in order to prevent children accidentally drinking them.
Es gibt immer noch eine viel zu hohe Todesrate, dadurch dass Kinder flüssige Wasch- oder Reinigungsmittel trinken.	There are still far too many deaths as a result of children drinking washing-up liquids or cleaning fluids.
Ich bitte Sie, das zu überdenken, auch wenn es jetzt nicht als Änderungsantrag vorliegt, und zu prüfen, ob man nicht die Unternehmen bittet, Bitterstoffe zuzusetzen, damit diese Todesfälle bei Kindern verringert werden können.	I ask you to give consideration to this, even without an amendment on the subject, and to look into the possibility of asking firms to add bitter constituents in order thereby to reduce the number of child deaths.
