Frau Präsidentin!	.
Die Anfrage der Frau Abgeordneten Stenzel zur Koordinierung der Institutionen EU, Europarat, OSZE und zur Einhaltung der Menschenrechte bei der Terrorismusbekämpfung möchte ich wie folgt beantworten: Gerade im Bereich Justiz und Inneres werden ausgezeichnete Beziehungen zum Europarat unterhalten, und ich darf hinzufügen: Ich hatte erst heute Gelegenheit, vor dem Ministerkomitee des Europarates über die Prioritäten der österreichischen Präsidentschaft zu sprechen, und ich habe dort in ganz besonderer Weise auf die gemeinsamen Interessen und auf die Zusammenarbeit zwischen Europarat und Europäischer Union im Bereich des Schutzes der Menschenrechte hingewiesen.	Madam President, let me say, in response to Mrs Stenzel's question on coordination between the EU, the Council of Europe and the OSCE and on human rights compliance in the fight against terrorism, that we have excellent relations with the Council of Europe, particularly in the field of justice and home affairs, and I would add that it was only today that I had my first opportunity to speak to its Committee of Ministers regarding the Austrian Presidency's priorities, and I made very particular reference there to the shared interests and cooperation between the Council of Europe and the European Union regarding respect for human rights.
Ich möchte an dieser Stelle erwähnen, dass wir die Sitzungen, die seit 1997 jeder Vorsitz mit der Troika des Europarates abhält, für sehr wichtig halten.	I would like to take this opportunity to mention that we attach a great deal of importance to the meetings that every Presidency since 1997 has held with the troika of the Council of Europe.
Auf der Tagesordnung der letzten Zusammenkunft mit dem Europarat am 7. Dezember 2005 standen insbesondere die Leitlinien des Europarates zu den Menschenrechten und zur Bekämpfung des Terrorismus.	The agenda for the most recent meeting with the Council of Europe on 7 December 2005 particularly included the Council of Europe's guidelines on human rights and the fight against terrorism.
Im Bereich der Außenbeziehungen unterhält ferner die Ratsarbeitsgruppe „Terrorismus - internationale Aspekte“ regelmäßige Kontakte mit dem Europarat.	With regard to foreign affairs, the Council's working party on the international aspects of terrorism is also in regular contact with the Council of Europe.
Auch die Arbeitsgruppe Menschenrechte verfolgt aufmerksam die internationalen Bemühungen, die in anderen Foren wie OECD, Europarat und den Vereinten Nationen auf dem Gebiet des Schutzes der Menschenrechte bei der Terrorismusbekämpfung unternommen werden.	The Council working party on human rights is also closely following the international efforts being made in other arenas such as the OECD, the Council of Europe and the United Nations with regard to respecting human rights in the fight against terrorism.
Wir wollen mit all diesen Bemühungen sicherstellen, dass die EU eine aktive Rolle spielen kann.	We want to ensure that the EU can play an active role in all these efforts.
Der österreichische Vorsitz bestätigt gern, dass er diese Form der Zusammenarbeit mit dem Europarat fortzusetzen gedenkt.	The Austrian Presidency is happy to confirm that it intends to continue with this form of cooperation with the Council of Europe.
Auf dem Gipfeltreffen des Europarates im Jahr 2004 in Warschau wurde beschlossen, eine Vereinbarung mit der Europäischen Union auszuarbeiten, in der alle Bereiche der Zusammenarbeit zwischen den Organisationen mit dem Ziel geregelt werden, diese Zusammenarbeit zu strukturieren, zu verbessern und zu intensivieren.	The Council of Europe summit in Warsaw in 2004 decided to conclude an agreement with the European Union, regulating every aspect of cooperation between the organisations in the aim of structuring, improving and intensifying that cooperation.
Unter britischem Vorsitz wurde ein Entwurf ausgearbeitet, der dem Europarat bereits übermittelt wurde und nunmehr nach den Verfahrensregeln des Europarates von diesem geprüft wird.	Under the UK Presidency, a draft was drawn up, which has already been sent to the Council of Europe and is now being examined by them according to their procedures.
Der österreichische Vorsitz wird in enger Zusammenarbeit mit der Kommission diesbezüglich einen intensiven Dialog mit dem Vorsitz des Europarates, der, wie Sie wissen, in diesem Halbjahr von Rumänien wahrgenommen wird, führen, damit dieses wichtige Dokument in den kommenden Monaten fertig gestellt werden kann.	In this regard, the Austrian Presidency, in close cooperation with the Commission, will hold intensive talks with the Presidency of the Council of Europe, which, as you know, will be held by Romania for the next six months, so that this important document can be finalised in the next few months.
