Herr Präsident, lieber Herr van den Broek!	Mr President, Mr van den Broek.
Wir haben im Haushalt 105 Mio. ECU für den Wiederaufbau in Jugoslawien eingesetzt.	We included ECU 105 million in the budget for reconstruction in Yugoslavia.
Davon sind gerade 3, 376 Mio. ECU im August ausgeführt.	Of that, just ECU 3, 376 million had been implemented by August.
Wir haben für "Europa für Sarajewo" 15 Mio. ECU für 1997 bereitgestellt, 623 000 sind bis zum August ausgeführt.	We made ECU 15 million available for 'Europe for Sarajevo' in 1997, of which ECU 623, 000 had been implemented by August.
Wie wollen Sie uns, dem Parlament, das Ihnen in Zukunft die Entlastung erteilen soll, eigentlich noch nachweisen, daß die Kommission aktiv, engagiert und mit all ihren Kräften dabei ist, den Wiederaufbau im ehemaligen Jugoslawien zu unterstützen?	How can you demonstrate to us, the Parliament, which at a future date will be required to give you final discharge, that the Commission is committed to making every effort actively to support reconstruction in former Yugoslavia?
Es ist noch keine vier Wochen her, da habe ich bei Ihnen im Präsidium gesessen, und wir haben gemeinsam analysiert, daß es erhebliche politische, juristische und hausgemachte Probleme gibt, wenn es um die Frage geht, wie wir die Mittel verwenden.	Less than four weeks ago I sat in your office and we analysed together the considerable political and legal problems, and those of your own making, involved in using these funds.
Wir sind gemeinsam zu der Überzeugung gekommen: Bei diesem Zustand kann es nicht bleiben.	We came to the common conclusion that things could not carry on as they were.
Man muß politische Phantasie entwickeln und sich überlegen, was man vorschlägt, um aus dieser Misere herauszukommen.	Some political imagination was needed and we had to come up with some proposals for getting out of this mess.
Dem haben Sie zugestimmt und angeregt, daß Herr Giansily, ich und einige andere Kollegen, die sich damit beschäftigen, daß wir uns mit der Kommission an einen Tisch setzen und überlegen, wie das gehen kann.	You agreed with this, and suggested that Mr Giansily, some other colleagues and I should undertake to get together with the Commission and consider a way forward.
Auf diese Einladung, die eigentlich in der letzten Plenarsitzung kommen sollte, haben wir vergeblich gewartet.	We have waited in vain for this invitation, which should actually have come at the last part-session.
Wie will die Kommission uns dann noch klar machen, daß wir Vertrauen haben können, daß Sie wirklich bereit sind, etwas zu tun?	So how can the Commission convince us that you are really prepared to do something?
Ich kann Ihnen sagen: Wir werden im Haushaltsverfahren in der nächsten Woche eine Reserve einrichten, und es wird nicht das Parlament sein, das der Öffentlichkeit erklärt, warum die Mittel nicht fließen, sondern es wird die Kommission sein, die erklären muß, warum diese Mittel bis August nicht geflossen sind und - ich wage einmal, das zu behaupten - auch bis zum Ende des Jahres nicht fließen werden!	This much I can tell you: during the budget process next week, we will include a reservation, and it will not be the Parliament that has to explain to the public why this money is not flowing out, it will be the Commission that will have to explain why this money had not been made available by August and why - I think I dare say this - it will not be have been made available by the end of the year!
(Beifall von links)	(Applause from the left)
