Herr Präsident, sehr geehrte Damen und Herren! Eine Hiobsbotschaft jagt die andere.	Mr President, ladies and gentlemen, it has been one bit of bad news after the other.
Erst BSE und Tiermehlverbot, und seit gestern liegt ein Fischmehlverbot in Deutschland auf dem Gesetzestisch.	First there was BSE and the prohibition of animal meal, and then yesterday a bill banning fish meal was presented to the German Parliament.
Und gestern haben wir auch die Nachricht aus der Kommission erhalten, getragen von drei Kommissaren, die es eigentlich besser wissen müssten, dass die Kommission nicht bereit ist, eine Verlängerung der Beihilfe im europäischen Schiffsbau über den 31. Dezember hinaus zu bewilligen.	Yesterday too, we received news from the Commission, borne by three Commissioners who really ought to know better, that the Commission is not prepared to extend aid to the European shipbuilding industry beyond 31 December.
Was wollen wir uns eigentlich in der Europäischen Union noch antun?	What else do we intend to do to ourselves in the European Union?
Ich kann das nicht verstehen, und die Koreaner lachen sich ins Fäustchen.	I cannot understand it, and the Koreans must be laughing up their sleeves.
Klug und beherzt dagegen haben der Umweltausschuss und der Verkehrsauschuss gehandelt, nämlich als es - allerdings der Unfallnot gehorchend - um das erste Erika-Paket ging.	By contrast, the Environment and Transport Committees have acted wisely and boldly in dealing with the first 'Erika' package, albeit in response to pressure in the wake of the accident.
Wir haben es schnell bekommen, wir haben es schnell im Parlament diskutiert, und das verdient Beifall.	We quickly received the package and discussed it promptly in Parliament, which is a praiseworthy achievement.
Ein zweites Paket ist bereits auf dem Weg.	A second package is already under way.
Sie dagegen, Herr Minister, ich muss es leider sagen, Sie sagen: "Wir könnten ... ", und beziehen sich auf Billigflaggen und black boxes und anderes.	For your part, Minister, I am sorry to say that you have been telling us "we could..." and have been talking about flags of convenience, black boxes and the like.
Aber warum tun Sie das dann nicht jetzt sofort, und nicht morgen?	But why are you not doing these things right now, rather than tomorrow?
Sie sagten: "Wir haben die Möglichkeit, die Sicherheit zu verbessern. "	You said, "We have the opportunity to improve safety."
Aber, Herr Minister, nutzen Sie diese Möglichkeit jetzt, und nicht morgen.	So take that opportunity now, Minister, rather than later.
Das Parlament verlangt das schon lange.	Parliament has long been calling for such action.
Wir, die Parlamentarier, verzögern nun ganz bestimmt nicht.	We parliamentarians are certainly not letting the grass grow under our feet.
Zu dem Vorwurf gegen das Parlament, diese Verzögerung sei nur durch uns entstanden, kann ich nur sagen: Da will man nur Sand in die Augen streuen und von sich selbst, von seinem eigenen Versagen ablenken.	As to the accusation that Parliament has been solely responsible for any delay, I can only say that this is an attempt by others to hoodwink the public and divert attention from themselves and their own failure to deliver.
Wir können deshalb keiner Verschiebung der Abstimmung zustimmen.	For that reason, we cannot agree to a postponement of the vote.
Wir müssen das richtige Signal setzen.	We must send the right signal.
Die Flaggen hängen sowieso schon auf Halbmast, und ich erwarte kein schnelles Ergebnis um jeden Preis, sondern ein optimales Ergebnis in schnellst möglicher Zeit.	The flags are at half-mast already, and I do not expect a rapid result at any price but rather the best possible result within the shortest possible time.
Der Vermittlungsweg ist hier ein - wenn auch leider notwendiger - Weg, aber er ist ein Weg, und ich hoffe, dass jeder sein Bestes einbringt.	The conciliation procedure is an option. It may be a necessary evil, but it is an option, and I hope that all of us will contribute as best we can.
Jeder kennt mittlerweile die Haltung des anderen, und auch deswegen brauchen wir die Abstimmung heute!	We all know each other's positions by now, which is another reason why we need to vote today.
Zur Klassifizierungsgesellschaft möchte ich bei dieser Gelegenheit - und das ist auch mein Auftrag - noch einmal betonen: Das Hauptaugenmerk der aktuellen Diskussion scheint auf der Haftung zu liegen.	As far as the classification societies are concerned, it is my duty and my wish to re-emphasise on this occasion that the main focal point of the present discussion seems to be liability.
Das versteht jeder.	Everyone understands that.
Persönliches Schicksal und die Existenz mancher Unternehmen stehen auf dem Spiel, abgesehen von den Umweltschäden.	People's futures and the survival of many businesses are on the line here, not to mention the environmental implications.
Die Kommission will diese Frage der Haftung im zweiten Erika-Paket noch einmal aufgreifen, das ist gut so.	The Commission intends to look at this liability issue again in the second 'Erika' package, and rightly so.
Ich bin überzeugt, dass es von überragender Wichtigkeit für Unfälle auf See ist, die Haftung allerdings der ganzen Kette der Beteiligten in Betracht zu ziehen und die Angelegenheit als Ganzes zu betrachten.	I am convinced, however, that it is vitally important in the context of maritime accidents to consider the whole chain of responsibility and to examine every aspect of the matter.
Es ist bedauerlich, dass heute die Haftung der Klassifizierungsgesellschaften einseitig untersucht wird.	It is regrettable that nobody is looking beyond the classification societies in the present discussion of the liability issue.
Dieser Eindruck hat sich jedenfalls übermittelt.	This, at least, is the impression that has been conveyed.
Es geht lediglich um das erste Glied in der Kette von Maritimakteuren, ohne dass die Haftung der anderen Beteiligten zur gleichen Zeit durchleuchtet wird.	The spotlight is focused on the first link in the chain of maritime operators without being turned on the liability of the other parties.
Hier ist also noch Nachholbedarf.	So this still needs to be rectified.
Wir brauchen ein vollständiges Bild der Verantwortung und damit der Haftung aller Akteure.	We must have a full picture of all parties' responsibilities and hence of their liability.
