Herr Präsident, in der Europäischen Union gibt es 37 Millionen behinderte Menschen.	Mr President, there are 37 million disabled people in the European Union.
Ihre Möglichkeit, an den positiven Effekten der Europäischen Union, die da heißen Freizügigkeit und Zugang zu allen Waren und Dienstleistungen, teilzuhaben, ist sehr eingeschränkt.	Their scope for participating in the benefits of the European Union, in other words freedom of movement and access to all goods and services, is very limited.
Sie sind, wie die Behindertenorganisationen selbst formuliert haben, die unsichtbaren Bürger in der EU.	As the organizations of disabled people have put it, they are the invisible citizens of the EU.
Auch Menschenrechtsverletzungen gegenüber Personen mit Behinderungen kommen in der gesamten EU immer wieder vor.	And violations of the human rights of people with disabilities are taking place repeatedly throughout the Union.
Der Banotti-Bericht, den wir hier im Dezember beschlossen haben, hat dies deutlich belegt.	The Banotti report, which we adopted here in December, provided clear evidence of this.
Deshalb muß bei der Revision des Vertrags unbedingt eine Nichtdiskriminierungsklausel aufgenommen werden.	It is therefore essential for a non-discrimination clause to be included as part of the revision of the Treaty.
Bis zum Beginn dieses Jahres hatten wir das HELIOS II-Programm mit den Informations- und Erfahrungsaustauschmöglichkeiten für behinderte Menschen.	Until the beginning of this year, we had the HELIOS II programme, which provided disabled people with opportunities for exchanges of information and experience.
Aus dem Programm ist das Behindertenforum entstanden, das wertvolle Arbeit auf europäischer Ebene mit den und für die Betroffenen leistet.	This programme gave rise to the Disability Forum, which is doing valuable work at European level with and for those concerned.
Bis heute liegt kein neues Programm vor.	So far, no new programme has been presented.
Mit dem Argument Subsidiarität wurden bereits das Armuts-Programm und das Programm für ältere Menschen nicht durchgeführt.	Already, on the grounds of subsidiarity, both the poverty programme and the programme for elderly people have not been put into effect.
Die deutsche Regierung akzeptiert den Artikel 235 als Rechtsgrundlage für die sozialen Programme nicht.	The German Government does not accept Article 235 as the legal basis for social programmes.
Weil das so ist, hat die Kommission einen Rückzieher gemacht und noch kein Nachfolgeprogramm für HELIOS II ausgearbeitet.	Because that is so, the Commission has held back and not yet produced a successor programme to HELIOS II.
Sie will erst die endgültige Evaluierung des HELIOS II-Programms abwarten, bevor sie tätig wird.	It wishes to wait for the final evaluation of the HELIOS II programme before taking action.
Wir sind der Meinung, daß es dringend notwendig ist, ein Nachfolgeprogramm zu entwickeln und durchzuführen, ein Programm, das auf dem Prinzip der Chancengleichheit, der Menschenrechte und den UN-Standardregeln basiert.	We believe that it is urgently necessary for a successor programme to be developed and implemented, a programme based on the principle of equality of opportunity, human rights and the UN Standard Rules.
Inzwischen hat die Kommission ersatzweise als Zwischenlösung eine Mitteilung herausgegeben, die wir hier ja diskutieren.	In the meantime, the Commission has instead issued a communication by way of an interim solution, which we are discussing here today.
Wir begrüßen diese Mitteilung zur Chancengleichheit, vor allem den sich darin abzeichnenden neuen Ansatz, der ein menschenrechtsbezogenes Konzept der Behinderungen erkennen läßt und von dem Prinzip der Bevormundung abrückt.	We welcome this communication on equality of opportunity, especially the new approach emerging from it, which reveals a human rights based concept of disability and moves away from the principle of paternalism.
Damit wird in radikaler Weise mit den alten Vorstellungen gebrochen, nach denen ein behinderter Mensch auf Wohltätigkeit und Mitleid angewiesen sei.	This is a radical departure from the old thinking, which has viewed disabled people as objects of charity and pity.
Sie geht weg vom Gesundheitsmodell, das da heißt reparieren als Ziel, zum Sozialmodell, das auf Menschenrechten basiert.	It shifts away from the health model, in which the aim is to make amends, and towards the social model, based on human rights.
