Herr Präsident, lieber Herr Ratspräsident!	Mr President, Mr President-in-Office of the Council, let me turn first to our institution.
Zuerst einmal zu unserer Institution: Ob jetzt die Fraktion der Europäischen Volkspartei mit zwei oder drei Leuten vertreten ist oder wir zu zehnt hier anwesend sind, wenn die Öffentlichkeit das Bild dieser wichtigen Diskussion sehen wird - egal welche Entschuldigung wir aufführen -, wird es Kritik am Europäischen Parlament geben.	Whether the Group of the European People's Party is currently represented by two or three people or whether there are ten of us present here when the public sees pictures of this important debate - whatever excuses we make - there will be criticism of the European Parliament.
Wir sind immer schlau, wenn wir die Kommission und andere kritisieren, aber wir sollen unser eigenes Verhalten in Plenarsitzungen problematisieren.	We are always good at criticising the Commission and others, but we should also question our own behaviour in plenary.
Das nur vorweg.	Let me just say that at the outset.
Übrigens könnte Herr Poettering, der so schlaue Sätze sagt, die Namen Schmidhuber und Bangemann als Beispiel anführen, wie die Kommission auch schon mal besetzt wurde.	For the rest Mr Poettering, who says such clever things, could take the names Schmidhuber and Bangemann as examples of other Commission appointments.
Ich finde es unglaublich, daß gerade in dieser Situation, wo so viel über die Zukunft Europas diskutiert wird, eben die Fraktion der Europäischen Volkspartei und andere Fraktionen kaum anwesend sind.	I find it incredible that at a time like this, when there is so much discussion about the future of Europe, the Group of the European People's Party and other groups are hardly present.
Aber das ist ihr Problem und nicht meines!	But that is their problem, not mine!
Ich möchte jetzt dem lieben Ratspräsidenten einfach drei kleine Anregungen geben, damit die deutsche Präsidentschaft so erfolgreich wird, wie er es sich wünscht.	I would just like to offer the President-in-Office of the Council three small suggestions to help make the German Presidency as successful as he would wish.
Erstens: Die Finalitätsdebatte ist wichtig und soll auch eine gesellschaftliche Auseinandersetzung nach sich ziehen.	First, the debate on finalities is an important one and should also give rise to a social debate.
Aber die Europäische Union existiert heute und kann nicht nur auf die Finalitätsdebatte warten.	But the European Union exists today and cannot just wait for the debate on finalities.
Deswegen brauchen wir in Köln eine Entscheidung, eine Resolution, daß 2001, wenn es eine neue Regierungskonferenz gibt, auch eine Grundrechte-Charta der Europäischen Union verabschiedet wird.	That is why we need a decision in Cologne, a resolution, so that when we have another intergovernmental conference, in 2001, an EU charter of fundamental rights is adopted.
Es kann keine neue Regierungskonferenz ohne eine neue Grundrechte-Charta geben, ansonsten wird die Öffnung Europas nicht möglich und nicht sichtbar.	There cannot be a new intergovernmental conference without a new charter of fundamental rights, otherwise Europe cannot and will not be seen to be more open.
Zweitens: Es ist gefährlich, wenn die deutsche Ratspräsidentschaft - aus welchen Gründen auch immer - kein Wort über die Mittelmeerpolitik verliert.	Secondly, it is dangerous for the German Presidency - for whatever reasons - to say not one word about Mediterranean policy.
Es gibt nämlich eine Angst in Europa, die vielleicht unberechtigt ist, daß sich Europa und Deutschland nur noch nach Osten ausrichten und die Probleme der Beziehungen mit dem Süden vergessen.	For there are fears in Europe, however unjustified they may be, that Europe and Germany are only looking to the east now and forgetting the issue of relations with the south.
Deswegen halte ich es auch für wichtig, daß wir im Verhältnis zum Süden, zum Mittelmeer, auch die Frage der Menschenrechte mit Partnern wie Algerien wieder ins Zentrum der Diskussionen stellen.	So I think it is important that in our relations with the south, with the Mediterranean, we also focus discussion on the human rights question with partners such as Algeria.
Es geht nicht nur um Terrorismusbekämpfung, sondern auch um die Frage der Menschenrechte, darum, wie ein Staat den Terrorismus bekämpft.	It is not just a question of combating terrorism but also of human rights, of how a state combats terrorism.
Das ist die Zukunft der Demokratie, und das sollte man auch mit den Partnern im Mittelmeer und vor allem mit Algerien diskutieren.	That is the future of democracy and it should also be discussed with our Mediterranean partners and particularly with Algeria.
Drittens: Zur berühmten Gretchenfrage in der Debatte um die Nettozahler und die Nettobeiträge.	Thirdly, there is the famous sixty-four thousand dollar question of net contributors and net contributions.
Man kann einer politischen Institution, welche das auch immer ist, nicht einfach mehr Aufgaben zuweisen und gleichzeitig ihren Handlungsspielraum durch finanzielle Kürzungen immer mehr einengen.	One cannot simply assign more tasks to a political institution, of whatever kind, while at the same time constantly reducing its scope for action by financial cutbacks.
Wir haben doch mit der Kommission in den letzten Tagen gesehen, wohin das führt.	After all, we have seen what that leads to over the last few days in regard to the Commission.
Die Kommission hat gesagt, wir haben zu wenig Leute für die Aufgaben.	The Commission said it did not have enough personnel to carry out its tasks.
Dann kommt es zu den Problemen, die sich ergeben haben.	Then we find the kind of problems arise that we have seen.
Deswegen müssen wir klug nachdenken.	So we must give careful thought to this.
Welche Reformen sind in der Landwirtschaft notwendig?	What reforms are needed in agriculture?
Welche Altlasten müssen behoben werden?	What problems from the past need dealing with?
Wieviel muß England mehr zahlen?	How much more should the United Kingdom pay?
Mehr Gleichheit, mehr Gleichberechtigung, Ja, aber wir müssen auch fragen, wieviel die Union im Ganzen mehr zahlen muß, damit sie ihre Aufgaben wahrnehmen kann.	More equality, more equal rights. Yes, but we also have to ask how much more the Union as a whole has to pay in order to carry out its tasks.
Beifall	Applause
