. Herr Präsident! Lassen Sie mich eine grundsätzliche Bemerkung vorausschicken.	Mr President, allow me to start by making a basic observation.
Reformen in Gefängnissen sind die am schwersten durchzusetzenden Reformen, nicht nur in Staaten wie der Türkei, sondern auch hier bei uns.	Prison reforms are the hardest reforms of all to implement, not just in countries like Turkey, but in our own countries as well.
Das wissen wir.	We all know that.
Gefängnisse sind immer die schwächste Stelle, die Schwachstellen einer Demokratie.	Prisons are always the Achilles heel, the weak point of a democracy.
Auch in den hochentwickelten Demokratien der Europäischen Union ist die Situation in den Gefängnissen alles andere als rosig und demokratisch.	Even in the highly developed democracies of the European Union, the situation in the prisons is far from rosy, let alone democratic.
Das heißt übertragen auf die Türkei, dass die Situation in den Gefängnissen in einem Land, das noch den demokratischen Weg kulturell finden muss, ein Spiegelbild dieser widersprüchlichen Entwicklung ist.	Applied to Turkey, this means that the situation in the prisons in a country which, culturally speaking, still has to find its democratic feet, is a mirror image of this contradiction in terms.
Deswegen ist es meiner Meinung nach sehr wichtig, eines festzuhalten: Ich weiß nicht, ob es der Rat oder die Kommission war, die gesagt hat, sie fordert die Türkei auf, die Gesetze großzügig anzuwenden.	That is why I think it is very important to establish one thing: I do not know if it was the Council or the Commission which said that it called on Turkey to be generous in its application of the law.
Ich halte das rechtlich für den falschen Ansatz.	I think that, legally, this is the wrong approach.
Recht soll nicht großzügig, sondern mit Recht beantwortet werden.	The law is one thing and generosity is another.
Ich finde, der Widerspruch der Reform in der Türkei besteht darin, dass sie im Grunde genommen den Verwaltungen der Gefängnisse überlassen und ihnen die Möglichkeit gegeben wird, sie so oder so anzuwenden.	To my mind, what is contradictory about reform in Turkey is that, basically, it leaves reform up to the prison administration, which then has the opportunity to apply it as it sees fit.
Dies ist in einer solchen Situation für Gefangene, die leidvolle Erfahrungen mit dieser Gefängnisadministration und den Gefängniswächtern gemacht haben, nicht Vertrauen erweckend.	With the situation as it is, this does nothing to inspire confidence in prisoners with painful experiences of the prison administration and the prison guards.
Das ist das Problem.	That is the problem.
Wie schafft man Vertrauen?	How to create trust?
Deswegen glaube ich - das haben wir auf unserer Reise festgestellt -, dass eine schnelle Lösung zu finden ist, weil die Gefangenen ihren Standpunkt geändert haben.	Which his why I think - and we established this on our trip - that we need to find a solution quickly because the prisoners have changed their standpoint.
Sie stellen nicht mehr so wahnsinnig komplizierte Forderungen.	They are not making so many incredibly complicated demands.
Der Sofortvollzug der Öffnung von Einzelzellen, der Sofortvollzug der Reorganisierung der Besuche für Verwandte und Anwälte, medizinische Hilfe von Ärzten ihrer Wahl, das ist ungefähr das, was sie unmittelbar fordern, um den Hungerstreik zu beenden.	Isolation cells to be opened at once, new arrangements to be made for visits by relatives and lawyers at once, medical attention from doctors of their choice, these are more or less their immediate demands in order to call off the hunger strike.
Deshalb ist unser Appell folgender: Erstens soll die Türkei großzügig im Vollzug dessen, was noch kommen soll, jetzt erst einmal Zellen und Türen öffnen, um das Ende des Hungerstreiks zu ermöglichen.	That is why we call on Turkey, first, to be generous in implementing what is yet to come and to start by opening cells and doors so that the hunger strike can end.
Zweitens soll ein Dialog mit den Gefangenen aufgenommen werden, um zu klären, was sie auch immer wollen.	Secondly, to instigate a dialogue with the prisoners so as to clarify exactly what they want.
Es ist wichtig, das zu erkennen.	It is important to recognise that.
Drittens - und das halte ich für wesentlich - muss die Türkei klar machen, dass sie bereit ist, in dem Dialog diese Menschen als Menschen anzuerkennen.	Thirdly - and essentially in my view - Turkey must make it clear that it is ready in the dialogue to acknowledge these people as people.
Auf der anderen Seite sagen wir den Organisationen, die diesen Streik organisieren, dass die Beendigung des Streiks die Gefangenen und nicht irgendeine Parteileitung auf dieser Welt entscheiden müssen.	On the other hand, we say to the organisations organising this strike that the decision to end the strike must be taken by the prisoners, not by some party leader or other.
Das ist unsere Forderung, denn diese Menschen riskieren ihr Leben, nicht die Führung in Brüssel, die weiterhin isst und trinkt.	That is our demand because it is these people who are risking their lives, not the leaders in Brussels, who still have plenty to eat and drink.
