im Namen der S&D-Fraktion. - Frau Präsidentin, liebe Kolleginnen, liebe Kollegen!	Madam President, ladies and gentlemen, we can all imagine the nightmare.
Das ist doch ein Alptraum: Jemand ist krank, jemand ist verzweifelt, jemand bekommt Medikamente und dann wirken diese Medikamente nicht, sie sind wirkungslos, weil sie gefälscht sind.	Someone we know is ill and in a desperate situation. They are given medicines, but the medicines have no effect, because they have been falsified.
Wir sind der Kommission dankbar, dass sie mit diesem Vorschlag gekommen ist.	We are grateful to the Commission for producing this proposal.
Es stimmt, wir haben einige Zeit darüber beraten.	It is true that we have been discussing it for some time.
Wir haben in der vorigen Legislaturperiode mit den Beratungen angefangen, und ich möchte dem Kollegen Adamou, der diesem Parlament nicht mehr angehört, danken für die Vorarbeit, die er für die Kollegin Matias geleistet hat.	We began our debates in the previous parliamentary term and I would like to thank Mr Adamou, who is no longer a Member of this Parliament, for the preliminary work that he did on behalf of Mrs Matias.
Ich glaube, wir haben hier einen guten Kompromiss vorliegen. Frau Grossetête hat es gesagt.	I believe that we have reached a good compromise, as Mrs Grossetête has said.
Klar, es hätte weiter gehen können.	Yes, we could have gone further.
Wir sind alle ungeduldig, wir wollen mehr Sicherheit haben. Aber es ist ein guter Kompromiss.	We are all impatient and we all want greater safety, but this is a good compromise.
Was haben wir erreicht?	What have we achieved?
Wir haben erreicht, dass im Zentrum der Gesetzgebung die Sicherheit für die Patientinnen und Patienten steht.	We have made patient safety the central feature of the legislation.
Welche Sicherheit haben wir denn erreicht? Wir haben sichergestellt, dass die Rückverfolgbarkeit der gesamten Vertriebskette gewährleistet ist.	The safety measures that we have put in place will ensure that products are traceable throughout the entire distribution chain.
Vom Hersteller bis zur Apotheke ist das Medikament rückverfolgbar.	Medicines can be traced from the manufacturer to the pharmacist.
Mit einem Identitätsmerkmal, das sofort deutlich macht, ob es gefälscht ist oder doppelt vorhanden ist, ob es eine Unregelmäßigkeit gibt, der dann nachgegangen werden kann.	They will have an identifier which makes it immediately obvious if they are falsified or duplicated or if there are any irregularities, which can then be followed up.
Wir haben es auch bewusst getan in einer Art und Weise, dass die Kosten dieses Systems für alle Beteiligten tragbar sind und dass es kein Übermaß gibt, aber dennoch die Sicherheit der Patientinnen und Patienten nicht kompromittiert wird.	We have deliberately done this in such a way that the costs of the system remain at a reasonable level for everyone involved and that the system is not excessive. However, we are also not compromising on patient safety.
Diese Rückverfolgbarkeit geht zusätzlich damit einher, dass die Packung unversehrt sein muss, dass der Patient, der eine Packung bekommt, auch sieht, dass die Packung ungeöffnet ist, weil ein Siegel vorhanden ist.	This traceability is accompanied by the fact that the packaging must be undamaged, so that a patient who is given a pack can see that it has not been opened because it has an intact seal.
Es gibt dann auch keine Packungen mehr, die zerschnitten sind, wie wir das immer wieder erlebt haben.	In addition, there will be no more packs of medicines which are divided in two, as frequently used to be the case.
All das dient der Sicherheit und dem Vertrauen der Patienten.	All of this will improve safety levels and increase patients' confidence.
Was haben wir noch erreicht?	What else have we achieved?
Wir haben zusätzlich erreicht, dass wir ein Frühwarnsystem haben.	We have implemented an early warning system.
Es ist doch wundervoll, dass wir hier das Gleiche haben, was wir bei Lebensmitteln seit Jahrzehnten für normal halten.	This is excellent because it is the same system which has been in place for decades for foods and which we take for granted.
Für ein Lebensmittel, das verunreinigt ist, gibt es ein Frühwarnsystem in der gesamten Europäischen Union.	There is an early warning system throughout the European Union for contaminated food.
Es kann doch nicht sein, dass es das bisher nicht für Arzneimittel gab!	It is hard to believe that we have not had the same thing for medicines.
Wenn jetzt ein gefälschtes Arzneimittel entdeckt wird, gibt es ein Frühwarnsystem.	If a falsified medicine is discovered, it is now possible to send out an early warning.
Die Mitgliedsländer müssen den betreffenden Patienten finden, sie müssen alle informieren, sie müssen sicherstellen, dass die mit einem im Umlauf befindlichen Medikament verbundene Gefahr öffentlich gemacht wird.	The Member States must identify the patients who are affected, inform everyone involved and make sure that the risk involved in a medicine which is in circulation is made public.
Etwas, was für Autos und für Lebensmittel selbstverständlich ist, war für etwas Lebensnotwendiges wie Arzneimittel bisher nicht selbstverständlich!	We take this for granted in the case of cars and food, but it has not been available so far for something as essential as medicines.
Das Internet: Jeder, der auf eine illegale Webseite geht, muss das erkennen können.	As far as the Internet is concerned, anyone who accesses an illegal website must be able to recognise that it is illegal.
Deshalb müssen wir die Internetseiten zertifizieren, sie werden in Zukunft mit einer Webseite der nationalen Zulassungsbehörde verknüpft sein.	This is why we must certify legal websites which, in future, will have a link to the website of the national approval body.
Sie werden ein Logo haben, das die Europäische Kommission entwickeln wird.	They will be able to display a logo which will be developed by the European Commission.
Jeder, der heute Arzneimittel im Internet kauft, kann das eigenverantwortlich tun.	Everyone who buys medicines on the Internet can do so independently.
Er kann sehen, ob das eine sichere und legale Webseite oder eine illegale Webseite ist.	They can tell whether they are dealing with a safe, legal website or an illegal one.
All das zusammen ist ein Meilenstein, ein Quantensprung für die Sicherheit der Patientinnen und Patienten.	All of this is a milestone, a quantum leap forward in patient safety.
Wenn wir diese Gesetzgebung morgen beschließen, können wir stolz darauf sein, und wir sollten das auch der Öffentlichkeit deutlich mitteilen.	If we adopt this legislation tomorrow, we can be proud of what we have done and we should also make our achievements clear to the general public.
