Herr Präsident, liebe Kolleginnen und Kollegen! Wer soll wen wie regulieren?	Mr President, ladies and gentlemen, who should regulate whom and how?
Das wird eine der strittigen Fragen auf dem G20-Gipfel sein.	That will be one of the controversial questions at the G20 Summit.
Wenn auch Einigkeit darüber herrscht, dass es keine Rückkehr zur ungezügelten Finanzmarktentwicklung geben darf, so sind die Wege und das Ausmaß der Regulierung doch heftig umstritten.	Even if there is unanimity on the fact that there can be no return to unbridled developments on the financial market, the methods and extent of regulation are still the subject of fierce argument.
Man wird sich noch über Eigenkapitalregeln einigen können, über Rating-Agenturen, möglicherweise auch über Fragen im Zusammenhang mit den Derivaten und ihrer Zulassung. Aber schon in der Frage des unlauteren Wettbewerbs, bei Steuern und Kontrolle wird man streiten.	It will still be possible to reach agreement on equity rules, on rating agencies, possibly even on questions in connection with derivates and their licensing, but there will be argument on the question of unfair competition, taxes and control.
Man wird streiten über Boni, und man wird streiten über die Forderung aus Europa, eine Tobin-Steuer einzuführen.	There will be arguments over bonuses and there will be arguments over Europe's demand for a Tobin tax.
Das heißt, wir als Europäer haben eine Verantwortung, unabhängig von den Ergebnissen des G20-Gipfels unsere eigenen Hausaufgaben zu machen. Da ist die Kommission auf dem richtigen Weg, indem sie sich nicht ausschließlich davon abhängig macht.	In other words, as Europeans we have a responsibility to do our own homework, regardless of the outcome of the G20 Summit and the Commission is on the right path by not relying solely on it.
Das Motto muss sein: Kein Finanzmarktakteur, kein Finanzprodukt und kein Finanzplatz darf in Zukunft unbeaufsichtigt bleiben.	The motto must be: no financial market players, no financial products and no financial centre with no supervision in future.
Aber es steht auch die globale Erholung der Wirtschaftsentwicklung auf der Agenda.	However, global economic recovery is also on the agenda.
Hier kann es nicht so sein, dass wir fortfahren wie in der Vergangenheit und die Ungleichgewichte in der Welt zugunsten der USA und zugunsten der großen Industrieländer aufrechterhalten bleiben.	We cannot carry on here as in the past and maintain the imbalances in the world for the benefit of the US and for the benefit of the large industrial countries.
Wir müssen uns der Überwindung von Armut und Hunger in der Welt widmen, und dazu muss dieser G20-Gipfel neue Impulse setzen.	We must devote ourselves to overcoming poverty and hunger in the world and the G20 Summit must give new momentum to this.
Ich will einen Punkt anfügen, der bisher außer von Kommissar Almunia nicht angesprochen wurde.	I should like to add one point that no one, with the exception of Commissioner Almunia, has addressed so far.
Es wird notwendig sein, in Europa den Stabilitäts- und Wachstumspakt einzuhalten, ihn nicht zu begraben.	It will be necessary to abide by the Stability and Growth Pact in Europe, not to bury it.
Nur weil wir diesen Pakt hatten, weil wir ihn auch in reformierter Form eingehalten haben, war es überhaupt möglich, dass Europa handlungsfähig geblieben ist.	It is only because we had this pact, because we revised and maintained it, that it was at all possible for Europe to remain capable of action.
Das sollte ein europäisches Ziel bleiben: eine schnelle Exit-Strategie aus der übermäßigen Verschuldung hin zu einer stabilen Wirtschaft, zum Stabilitäts- und Wachstumspakt, wie er uns genützt hat.	This should remain a European objective: a fast exit strategy out of excessive debt into a stable economy, to the Stability and Growth Pact as we know it.
