Herr Präsident! Es gab und gibt sehr viel berechtigte Kritik an der Energiecharta.	Mr President, there was and still is a lot of justifiable criticism of the Energy Charter.
Einmal aus inhaltlichen Gründen und natürlich auch aus formalen Gründen.	Firstly, for reasons of content and then, of course, also for formal reasons.
Das Parlament kann nur ja oder nein sagen.	Parliament can only say yes or no.
Nun muß man natürlich zugeben, daß das Parlament sich auch nicht gerade um Einfluß gerissen hat - das ist bedauerlich und auch ein bißchen beschämend.	In fact we must of course admit that Parliament did not exactly make great efforts to exert any influence on it - which is regrettable and also rather shameful.
Es muß aber auch zugegeben werden, daß wir zum ersten Mal überhaupt völkerrechtliche, wenn auch noch nicht ganz verbindliche Regelungen über die Einbeziehung in die Umweltkosten und das Verursacherprinzip haben.	But we must also admit that this is the first time we have ever had international legal provisions on the inclusion of environmental costs and the polluter-pays principle, even if they are not yet entirely binding.
Die Vorredner haben es auch schon angesprochen.	Previous speakers have also pointed that out.
Das ist immerhin schon ein kleiner Schritt, wenn es auch leider - gerade was die Umwelt angeht - nur im Protokoll festgelegt ist.	It is after all a small step forward, even if unfortunately these environmental aspects are only set out in the Protocol.
Ich denke, es ist Aufgabe der Politik und natürlich auch der Kommission, dafür Sorge zu tragen, daß dies den hehren Wünschen und Zielen etwas näherkommt.	I believe it is a political duty, and of course the duty of the Commission, to ensure that we come closer to the noble objectives and higher aims set out in the Charter.
Auf der anderen Seite muß man natürlich auch sagen, daß die Zustände, die wir zur Zeit haben, verändert werden müssen, daß nämlich niemand für Pipelines zuständig ist, niemand sie auch nur repariert und jeder sagt, ich bekomme nur fünf, zehn oder 20 Prozent, und daß das Geld aus den Einnahmen leider auch keineswegs bei denen ankommt, wo es hergenommen wird, sondern daß es, gerade was Osteuropa angeht, in der Regel bei der Mafia landet.	On the other hand, of course, we must say that the conditions we have at present need to be changed, namely the fact that nobody is responsible for pipelines, nobody even repairs them and everyone says, I only get five, ten or 20 per cent out of it, and that unfortunately the revenue does not go to those from whom it is taken but, especially in the case of Eastern Europe, generally lands in the hands of the mafia.
Ich denke, es wäre jetzt vor allen Dingen unsere Aufgabe, daß wir uns ein bißchen darum kümmern und nicht morgen nur den Arm heben und ja sagen; denn die Umweltüberlegung ist bei der Verfolgung der Energiepolitik nicht nur zu berücksichtigen, sondern hat auch ins Zentrum der Überlegungen zu kommen.	I think our main task now is to concern ourselves a little with these matters and not just put our hand up and say yes tomorrow; for environmental considerations must not just be taken into account in energy policy but ought to become a central aspect of it.
Genau so muß die Energieeffizienz verbessert werden, erneuerbare Energiequellen sind zu erschließen und durch bessere Mittelübertragung und Rahmenprogramme zu nutzen.	In the same way, energy efficiency needs to be improved and renewable energy sources must be tapped and used through better transfers of resources and framework programmes.
Und gerade da gehen wir ja als Gemeinschaft mit schlechtestem Beispiel voran.	And that is precisely where we as a Community are setting the worst example.
Ich möchte da nur noch mal an SAVE, THERMIE usw. erinnern.	Let me just remind you of SAVE, THERMIE, etc.
Ich hoffe, die Kommission hört jetzt gut zu.	I hope the Commission is listening carefully.
Das, was als hehre Wünsche in der Energiecharta steht, wird nun wenigstens im Ansatz umgesetzt.	At least we are making a start with implementing the noble aims set out in the Energy Charter.
