schriftlich. - Ich selbst bin Nichtraucher.	in writing. - I am a non-smoker myself.
Die aus dem Konsumieren und Passivrauchen von Tabak resultierenden gesundheitlichen Schäden sind mir durchaus bewusst.	I am fully aware of the damage to health caused by using tobacco and by passive smoking.
Dennoch gehen die diesbezüglichen Pläne der EU wie so oft einen Schritt zu weit.	However, as is so often the case, these plans from the EU go a step too far.
Es handelt sich hier um zum Teil völlig absurde Regelungen, wonach in bestimmten Fällen nicht einmal das Rauchen im Freien erlaubt sein soll.	Some of these regulations are completely absurd and, in some cases, do not even permit smoking in the open air.
Die EU konzentriert sich wie besessen auf den Tabakkonsum, während es im alltäglichen Leben eine Vielzahl statistisch erwiesener gefährlicher und schädlicher Verhaltensweisen gibt: Fastfood-Ernährung, UV-Strahlen-Besonnung, Alkohol- und Kaffeekonsum, Autofahren, kein Sport, wenig Schlaf, um nur einige davon zu nennen.	The EU is focusing obsessively on the consumption of tobacco, while there are a number of other activities in daily life which have been statistically proven to be hazardous and harmful, such as fast food, sun beds, alcohol and coffee, driving a car, taking no exercise and having too little sleep, to name but a few.
Sinnvolle Regelungen und Aufklärungsarbeit zur Minimierung von Risiken sind positiv zu bewerten; in erster Linie sollte jedoch jeder erwachsene Mensch eigenverantwortlich für sich entscheiden, inwieweit er Folgeschäden in Kauf nimmt.	I would welcome sensible regulations and awareness campaigns which aim to minimise the risks involved. However, all adults should ultimately be responsible for making their own decisions about the extent to which they are prepared to accept the resulting damage to their health.
Für 2012 ist ein totales Rauchverbot in Betrieben vorgesehen. Dabei wird auf die Hauptgeschädigten, die Gastronomiebetriebe, wenig bis gar nicht Rücksicht genommen.	A total ban on smoking in businesses is planned for 2012 and this gives very little consideration to those businesses that will suffer most, in other words, those in the catering industry.
Diese muss mit Umsatzrückgängen von bis zu 20 % rechnen, was wiederum den Verlust zahlreicher Arbeitsplätze zur Folge hätte.	They can expect a drop in their takings of up to 20% which will result in the loss of numerous jobs.
Darüber hinaus wurden Restaurants und Bars in den letzten Jahren gesetzlich dazu verpflichtet, Raucher- und Nichtraucherbereiche in ihren Lokalen einzurichten.	In addition, in recent years, restaurants and bars were required by law to set up smoking and non-smoking areas on their premises.
Mit einem totalen Rauchverbot 2012 würden diese kostenintensiven Investitionen auf einmal obsolet.	A total smoking ban in 2012 would make these expensive investments obsolete at a stroke.
Der Entwurf der "Empfehlung des Rates über rauchfreie Zonen" ist keine sinnvolle Maßnahme.	The draft Council Recommendation on smoke-free environments is not a sensible measure.
