Präsident der Kommission.	President of the Commission.
Erlauben Sie mir, dass ich hier meine Anerkennung für die Leistung von Bundeskanzlerin Angela Merkel ausspreche!	Allow me to congratulate Chancellor Angela Merkel on what she has achieved.
Eine überaus schwierige Aufgabe mündete in einen Erfolg für Europa.	Out of an extremely difficult task a success for Europe has emerged.
Ganz besonders möchte ich den politischen Ehrgeiz würdigen, der die Kanzlerin dazu führte, auf einem Reformvertrag zu bestehen, der der Union die richtigen Instrumente in die Hand gibt, um sich den Herausforderungen des 21. Jahrhunderts zu stellen.	I should particularly like to pay tribute to the political ambition that the Chancellor showed in insisting on a reform Treaty that gives the Union the instruments it needs to face up to the challenges of the 21st century.
Bundeskanzlerin Merkel und das ganze Team der deutschen Ratspräsidentschaft verdient höchste Wertschätzung für ihr zähes Ringen um die Ziele und für ihre Fähigkeit, die Verhandlungen bis zum erfolgreichen Ende aufrechtzuerhalten.	We should salute Chancellor Merkel and the entire German Presidency team for battling with such determination to achieve their aims and for bringing the negotiations to a successful conclusion.
Dieses Kompliment bezieht sich nicht nur auf das Ergebnis des Juni-Rates, sondern auf die gesamte Anzahl der erzielten Erfolge der deutschen Präsidentschaft während des ganzen Semesters!	These congratulations apply not only to the result of the June Summit but also to the many successes that the German Presidency has achieved in the course of the last six months.
(Beifall)	(Applause)
Wir können mit Fug und Recht sagen, dass Europa auf dem richtigen Weg ist.	We can honestly say that Europe is fully on track.
Ich denke, es ist nützlich, daran zu erinnern, wo wir vor einiger Zeit standen.	I believe it is useful to remember where we were some time ago.
Lassen Sie mich von den Ereignissen der letzten Woche einmal Abstand nehmen und auf die vergangenen zwei Jahre zurückblicken.	Let me step back from the events of last week and look back over the last two years.
Vor gut einem Jahr nahm die Kommission eine Verfahrensweise an, die ich das 'zweigleisige Vorgehen' nannte.	Just over a year ago the Commission adopted an approach which I called 'the twin-track approach'.
Einerseits sollte die Europäische Union die bestehenden Verträge effektiver nutzen, damit etwas für die Bürgerinnen und Bürger Europas herauskommt.	The first track was for the European Union to use the existing Treaties more effectively to deliver results for Europe's citizens.
Wir haben das zum Beispiel mit unserem Maßnahmenpaket zu Energie und Klimawandel getan, mit unserer Konzentration auf Innovation, mit unserer Kampagne gegen Bürokratie, mit Rechtsvorschriften, die Verbrauchern praktischen Nutzen bringt, wie die von uns vorgeschlagenen Rechtsvorschriften zum Roaming, die heute hier vor uns unterzeichnet wurden.	We have done this, for example through our package of measures on energy and climate change; through our focus on innovation; through our drive against red tape; through legislation which delivers practical benefits for consumers, such as the legislation we proposed on roaming, which was signed before us here today.
Ich möchte diesem Hohen Haus für seine Unterstützung dieser Initiativen danken.	I want to thank this House for its support for those initiatives.
Andererseits, und das ist das zweite Gleis, ging es darum, zum Prozess der Verfassungsreform zurückzukehren.	The second track was to return to the process of treaty reform.
Deshalb hatten wir die Idee mit der Berliner Erklärung.	That is why we suggested the idea of the Berlin Declaration.
Das war ein großer Augenblick, indem wir unsere Interessen und unsere Werte im 21. Jahrhundert bekräftigten.	That was a great moment to reaffirm our interests and our values in the 21st century.
Ich denke, die Diskussion über die Berliner Erklärung kam zu einem wichtigen Zeitpunkt, um uns der erforderlichen Unterstützung zu vergewissern, die es möglich machte, dass wir auf dem jüngsten Europäischen Rat gute Ergebnisse erreichen konnten.	I believe that the discussion on the Berlin Declaration was an important time to gather the necessary support which made it possible to achieve good results at the recent European Council.
Es ist uns daher eine Ehre sagen zu können, dass der Kurs, den wir im Laufe der unterschiedlichen Ratspräsidentschaften vorgeschlagen hatten, weiter verfolgt worden ist.	We are therefore honoured to say that the path we have been suggesting over the different presidencies of the Council was followed.
Wie war das möglich?	How was that possible?
Weil das zweigleisige Vorgehen richtig war.	Because the twin-track approach was the right approach.
Wir können unseren Bürgerinnen und Bürgern nicht den Eindruck vermitteln, wir würden nur über Institutionen reden: Wir müssen uns auf praktische Ergebnisse für unsere Bürgerinnen und Bürger konzentrieren; Regierungen wie Bürger werden mit Selbstbewusstsein zuweilen sehr schwierige institutionelle Probleme anpacken, wenn sie Vertrauen darin haben, dass die Institutionen etwas leisten können, wenn es um die Belange der Unionsbürgerinnen und -bürger geht, um Wachstum und Beschäftigung sowie um Europas neue Agenda: Energie, Klimawandel und Sicherheit.	We cannot give our citizens the impression that we are just talking about institutions: we have to concentrate on practical results for our citizens, and governments and citizens will have the confidence to tackle sometimes very difficult institutional issues if they have the confidence that the institutions can deliver when it comes to the concerns of the European citizens - growth and employment, and Europe's new agenda: energy, climate change and security.
Das jüngste Eurobarometer ist ermutigend: Die Unterstützung für die Mitgliedschaft in der Europäischen Union und die Wahrnehmung der Vorzüge einer Mitgliedschaft haben sich in den letzten zwei bis drei Jahren erheblich verbessert.	The recent Eurobarometer is encouraging: support for European Union membership and the perceived benefits of membership have improved considerably over the last two to three years.
Ja, es sind die besten Ergebnisse hinsichtlich der Unterstützung der Europäischen Union seit 1994.	In fact they are the best results in terms of support for the European Union since 1994.
Deshalb haben wir alles in unserer Macht Stehende getan - und sollten es auch weiterhin tun -, um jetzt, da wir 27 Staaten und fast 500 Millionen Bürgerinnen und Bürger sind, keine Gelegenheit zu versäumen, unser Engagement für dieses große europäische Projekt zu bekräftigen.	That is why we have done - and we should do - everything we can not to miss the opportunity to reinforce the commitment to this great European project now that we are 27 states and almost 500 million citizens.
Lassen Sie mich ganz offen über die Ergebnisse des Rates reden.	Let me be very frank about the results of the Council.
Ich denke, wenn wir die vor uns stehenden Herausforderungen betrachten, dann können wir wirklich von ausgezeichneten Ergebnissen sprechen.	I think that when we consider the challenges ahead we can really say that the results are excellent.
Heute ist es an der Zeit, das in diesem Hohen Haus hervorzuheben.	Today in this House it is the time to stress this point.
Vergessen wir nicht, dass unser Ausgangspunkt vor dieser Vorsitzperiode ein Spaltung war zwischen 18 Mitgliedstaaten, die den Verfassungsvertrag ratifiziert hatten, und 9 Mitgliedstaaten, die ihn nicht ratifiziert hatten, während zwei der Letztgenannten den Verfassungsvertrag nach einem Referendum ausdrücklich abgelehnt hatten.	Let us not forget that before this Council we started from a division between 18 Member States that had rectified the Constitutional Treaty and 9 Member States that had not ratified it, and 2 of them explicitly refused the Constitutional Treaty after a referendum.
Jetzt sind alle 27 Mitgliedstaaten um ein gemeinsames Mandat für einen Reformvertrag vereint.	Now all 27 Member States are united around a common mandate for a reform Treaty.
