Liebe Kolleginnen und Kollegen!	Ladies and gentlemen, welcome to you all.
Zunächst möchte ich Sie alle herzlich willkommen heißen und einige Bemerkungen zum Plenarsaal in Straßburg machen.	I would like to begin with some comments about the situation regarding the plenary chamber in Strasbourg.
Wie Sie wissen, muss aufgrund des am 7. August erfolgten teilweisen Einsturzes der Zwischendecke des Plenarsaals in Straßburg diese erste Plenartagung des Europäischen Parlaments im September ausnahmsweise hier in Brüssel abgehalten werden.	As you know, due to the partial collapse of the false ceiling in the plenary chamber in Strasbourg on 7 August, this first part-session of the European Parliament in September has had, exceptionally, to be held here in Brussels.
Diese Entscheidung habe ich im Hinblick auf die größtmögliche Sicherheit der Mitglieder und der Mitarbeiterinnen und Mitarbeiter nach Durchsicht der vorläufig durchgeführten Expertisen und nach Beratungen mit den Fraktionsvorsitzenden sowie Konsultierung der französischen Ratspräsidentschaft getroffen.	I took this decision with a view to ensuring the greatest possible safety of Members and staff, based on my perusal of the initial expert reports and after consultation with the chairpersons of the groups and the French Council Presidency.
Die Entscheidung berücksichtigt zugleich die notwendige Kontinuität der gesetzgeberischen Arbeit des Europäischen Parlaments.	The decision also takes account of the need to maintain continuity in the European Parliament's legislative work.
Nach den vorläufigen Untersuchungsergebnissen ist der teilweise Einsturz der eingezogenen Zwischendecke auf den Bruch von Bauteilen zurückzuführen, die die Zwischendecke mit der eigentlichen Deckenstruktur verbinden.	The preliminary findings of the investigations indicate that the partial collapse of the false ceiling was caused by fractures in the building components which connect the suspended ceiling with the actual ceiling structure.
Die laufenden Untersuchungen, die von mehreren unabhängigen, vom Parlament beauftragten internationalen Bauingenieursfirmen durchgeführt werden, werden weitere Details sowie die Verantwortlichkeiten im Zusammenhang mit dem Einsturz eruieren.	The investigations are ongoing and are being carried out by several independent international structural engineering firms commissioned by Parliament with a view to establishing further details and responsibilities for the collapse.
Diese Untersuchungen vollziehen sich in engster Zusammenarbeit mit den verantwortlichen kommunalen Behörden und mit einem hochrangigen Experten für Gebäudesicherheit, der von der französischen Regierung ernannt wurde.	These investigations are being carried out in very close cooperation with the relevant local authorities as well as with a senior buildings safety expert appointed by the French Government.
Haftung und Verantwortlichkeiten zwischen den am Bau der ursprünglichen Decke Beteiligten werden nach dem Vorliegen der abschließenden Untersuchungsergebnisse festgestellt werden.	The apportionment of responsibility and liability between the contractors involved in the construction of the original ceiling will be established on the basis of the final investigation reports, once they are available.
Die Zwischendecke im Plenarsaal wird nunmehr vollständig mit einer neuen Technik aufgehängt, die zuvor von den unabhängigen Experten und den lokalen Baubehörden gutgeheißen wurde.	The false ceiling in the plenary chamber will now be re-suspended using a new technique which has been approved by the independent experts and the local buildings authorities.
Obgleich jedwede Anstrengungen unternommen werden, um so schnell wie möglich mit den Arbeiten voranzukommen, ist die notwendige Prozedur langwierig.	Although every effort is being made to complete the work as soon as possible, the procedure involved is, of necessity, somewhat lengthy.
Wir hoffen, dass alle baurechtlichen Überprüfungen hinsichtlich der Sicherheit und der notwendigen Reparaturen noch vor der zweiten Plenartagung im September abgeschlossen sein werden.	Nonetheless, we hope that all the safety investigations and necessary repairs will be completed in time for the House to hold its September II part-session in Strasbourg.
Bei allen unseren Überlegungen und Entscheidungen hat die Sicherheit absoluten Vorrang.	May I assure you that safety takes absolute priority in all our considerations and decision-making.
