Herr Präsident! Es ist schon eine merkwürdige Situation, in der wir heute sind.	Mr President, it is indeed a remarkable situation in which we find ourselves today.
Wir sprechen über eine zweite Lesung, die die Berichterstatterin brillant vorbereitet hat, und ich bewundere Frau Paulsen, wie sie versucht hat, sich zwischen Scylla und Charybdis hindurch zu bewegen. Scylla sind die dreizehn Mitgliedsländer, die dem Gemeinsamen Standpunkt zugestimmt haben, Charybdis sind die anderen beiden, die dem Gemeinsamen Standpunkt nicht zugestimmt haben, also Deutschland und Österreich.	We are speaking about a second reading, which the rapporteur has prepared brilliantly, and I admire the way in which Mrs Paulsen has tried to navigate a course between Scylla and Charybdis, Scylla being the thirteen Member States that have accepted the common position, and Charybdis being the two that have not, namely Austria and Germany.
Deutschland und Österreich haben dem Gemeinsamen Standpunkt aus klaren Gründen nicht zugestimmt.	Austria and Germany did not approve the common position for clear reasons.
Österreich wegen der vorgenommenen Biokompostierung und Biogasverwertung, die nach dem Gemeinsamen Standpunkt nicht mehr möglich wäre, Deutschland wegen der Wiederverwendung von Restaurantabfällen und deren Sterilisierung.	Austria has been undertaking schemes involving the composting of biomass and the use of biogases for energy production, schemes which would no longer be possible under the common position. Germany would be prevented from sterilising and reusing catering waste.
Wenn ich heute zuhöre und wenn ich auf die letzten Tage zurückblicke, dann wundere ich mich, dass Großbritannien, Frankreich und andere Länder zugestimmt haben.	When I listen to this debate today, and when I look back on the past few days, it surprises me that the United Kingdom, France and other countries accepted the common position.
Ich habe Herrn Goodwill eben zugehört, der gesagt hat, er hat den Kompromissänderungsantrag 25 nicht unterschrieben, den ich wie alle anderen Kompromissänderungsanträge unterschrieben habe.	I have just heard Mr Goodwill saying that he and his group did not sign Compromise Amendment No 25, which I signed along with all the other compromise amendments.
Ich habe die unterschrieben, weil es Kompromisse sind.	I signed them because they are compromises.
Die beste aller Welten ist eine andere.	The ideal world is different.
Die stelle ich mir auch anders vor.	I have a different conception of the ideal solution too.
Aber zum Beispiel ist der Kompromissänderungsantrag u. a. zustande gekommen aus den früheren Änderungsanträgen 10 und 1 von Herrn Graefe zu Baringdorf, aber auch aus dem Änderungsantrag von Herrn Whitehead, der vier Jahre Übergangszeit vorgesehen hat.	But among the sources of the compromise amendment are not only Mr Graefe zu Baringdorf's Amendments Nos 10 and 1 but also Mr Whitehead's amendment, which provided for a four-year transitional period.
Herr Goodwill hat gesagt, in seinem Land befürchte man, dass aus der Verfütterung von Speiseresten die Maul- und Klauenseuche entstanden ist.	Mr Goodwill referred to fears in his country that foot and mouth disease had been caused by the use of pigswill as feed.
Ich habe nicht gehört, dass es nachgewiesen ist.	To my knowledge, this has not been proved.
Schweinepest ja, Maul- und Klauenseuche ist für mich neu.	Swine fever, yes, but as a cause of foot and mouth disease it is new to me.
Ich habe es in der Vergangenheit wohl schon einmal gehört, aber das ist nur ein Aspekt davon.	I had certainly heard this being mooted in the past, but that is only one aspect of the issue.
Ein anderer Punkt ist, und das ist der Teil des Kompromisses, Herr Goodwill, wenn ich in mein Mitgliedsland zurückgehe und sage, dass es ein Entsorgungsproblem für wiedererhitzte Speiseöle gibt, dann höre ich in Deutschland, das ist ein Dioxinproblem, das wollen wir nicht.	Another point - and this is part of the compromise, Mr Goodwill - is that if I go back to my own Member State and say that there is a disposal problem with reheated cooking oil, they will tell me in Germany that this poses a dioxin problem which they refuse to contemplate.
Wir müssen sehr vorsichtig sein.	We must be very careful.
Das ist ein ganz schmaler Grat, auf dem wir uns heute bewegen, dass wir nicht wieder wie häufig in der Vergangenheit das Kostenargument und ein Entsorgungsproblem zu Lasten der tierischen und damit auch der menschlichen Gesundheit anführen.	This is a very fine line we are treading today, and we must avoid the mistakes of the past, when cost issues and disposal problems were often invoked to the detriment of animal health, and hence of human health too.
Wenn ich heute sage, bei den Speiseresten kann ich zu dem Kompromiss stehen, den wir vorschlagen, sage ich das auch unter einem Gesichtspunkt: Niemand hat mir sagen können, was in den anderen Mitgliedsländern damit passiert.	If I say today that I can support our proposed compromise on catering waste, I must explain part of the background against which I make that statement. Nobody has been able to tell me what happens with catering waste in the other Member States.
In Deutschland gibt es sehr moderne Hochleistungsanlagen, die Speisereste in bester Weise sterilisieren und anschließend zu Tierfutter wiederverwenden.	In Germany, there are modern high-performance facilities which undertake state-of-the-art sterilisation of catering waste then recycle it into animal feed.
Stimmt!	That is a fact.
In anderen Mitgliedsländern sagt mir niemand, was damit passiert.	In other Member States no one can tell me what happens to it.
Einige sagen, es wird verbrannt.	Some say it is burned.
Niemand weiß es wirklich.	Nobody really knows.
Niemand kennt die Standards, und unter vier Augen sagen Ihnen alle Vertreter, ja, es landet auch auf der Mülldeponie.	No one knows the standards, and in private conversation any Member will admit that some of it ends up in landfill sites.
Genau das wollen wir nicht!	That is precisely what we do not want.
Ich möchte eine klare Regelung haben.	I should like to have a clear set of rules.
Wenn wir in fünf Jahren eine Gesetzgebung haben, wonach Verfütterung nicht mehr sein darf, sondern nur noch die Verwendung als Biodiesel, fein, dann machen wir das so.	In five years' time, if we have legislation banning the recycling of catering waste for any purpose other than the production of biodiesel, so be it; that is what we shall do.
Aber dann muss das für alle Mitgliedsländer gelten.	But it must then apply to all Member States.
Momentan würden Deutschland und andere Länder, auch Österreich und andere, bestraft für ihre hohen Standards.	At the moment, Germany, Austria and other countries are being penalised for their high standards.
