Frau Vorsitzende! Frau Kommissarin!	Madam President, Commissioner, let us try an experiment.
Versuchen wir doch etwas. Versuchen Sie sich vorzustellen, dass Sie das, was Sie uns hier darstellen, in einem Wahlkampf, wo es um Ihre eigene Zukunft ginge, vertreten müssten.	Try to imagine, if you will, that you have to argue the case for what you are setting before us here in an election - one in which your own future is at stake.
Was wären Ihre Argumente?	What arguments would you use?
Eine neue Behörde, noch viel mehr Sicherheit bei jemandem, wo man nicht sieht, wohin es führt, und wegziehen in eine Zentrale?	A new authority, even more security in someone's hands in such a way that you can not see where things are leading, and withdrawal to a central location?
Und das wären hier alle Ihre Mitbewerber, denen Sie zugehört haben, das sind Beyser, Langen, Kronberger, Rapkay, Plooij, Linkohr. Und der einzige, von dem Sie Zustimmung bekommen haben, wäre genau Kollege Caudron.	In this election, your fellow-candidates would be those to whom you have been listening - Mr Beysen, Mr Langen, Mr Kronberger, Mr Rapkay, Mrs Plooij-van Gorsel, and Mr Linkohr - and the only person who would vote for you would be none other than Mr Caudron.
Würde da irgendjemand merken, was für eine politische Grundhaltung Sie eigentlich vertreten?	If you were to do that, would anyone be aware of what your fundamental political convictions actually are?
Also, ich bin jetzt vier Jahre hier, aber so ein Zwangsbeglückungsvorschlag wie den, den Sie jetzt machen, ist mir neu, und das kenne ich bisher nur von einer Union, die nicht zuletzt, weil sie das gefordert hat, ja selbst implodiert ist.	I have been in this House for four years, but a proposal for enforced blessings the like of which you have come up with is new to me; I have seen it only in another Union, one that imploded on itself not least because it demanded that sort of thing.
Ich denke, dass mit dem, was Sie anstreben, schon ein Bedürfnis nach Sicherheit 'von der Wiege bis zur Bahre' - so hieß es einmal bei den Sozialisten und Kommunisten - gestillt wird, aber mit falschen Mitteln. Und es suggeriert uns doch auch eine falsche Sicherheit, wie das ja auch immer wieder in den Debattenbeiträgen durchgeklungen ist.	I think that what you are working towards is the meeting of a need for what Socialists and Communists used to call security 'from the cradle to the grave', but by the wrong means, and the way this constantly comes across in speeches in debate suggests to our minds that this security is a false one.
Ich denke, dass wir in Wirklichkeit woanders hin müssten.	I think we really have to go in another direction.
Die Energie, bei der man den Eindruck nicht los wird, dass da eine Kommission, der langsam die Themen ausgehen, sich noch einmal etwas mit entsprechenden Richtlinien heranzieht; diese Energie sollte Sie dorthin leiten, wo wir wirklich hin müssen.	One cannot evade the impression that this is a Commission that is slowly running out of ideas on energy, which again has to have recourse to directives on the subject; energy should take you where we really have to go.
Wie kommen wir von den fossilen Brennstoffen weg, von der Abhängigkeit, und auch hin zur Transparenz?	How do we leave behind us fossil fuels and dependency on them, and achieve transparency?
Wenn ich tatsächlich die Versorgungssicherheit weiterhin bei den Regionen belasse, auch bei Unternehmen, dann muss es auch eindeutig dokumentiert und den betroffenen Bürgern und Konsumenten bekannt sein, wie dies sichergestellt ist.	If I am actually to leave security of supply in the hands of the regions and of enterprises, then this has to be clearly documented and the citizens and consumers concerned have to know how it is to be secured.
Aber bitte keine neue zentrale Zwangsbeglückung.	Please, though, let us have no new centrally-enforced blessings.
