Frau Präsidentin!	Madam President.
Ich möchte zuerst all jenen in diesem Haus danken, wie Frau Günther, Herrn Bertens, Herrn Cunningham und anderen, die doch wesentlich dazu beigetragen haben, daß wir heute einen Erfolg feiern können, trotz all der erwähnten Einschränkungen.	First of all I should like to thank all those in this House, such as Mrs Günther, Mr Bertens, Mr Cunningham and others, who have made such an important contribution to the fact that we can celebrate success today, despite all the limitations mentioned.
Jedenfalls herzlichen Dank!	My sincere thanks, anyway.
Ich darf Ihnen auch sagen, daß meine Fraktion trotz des Vorbehalts, daß das kein Präzedenzfall werden darf, in diesem Umfang mündliche Änderungen einzubringen, zustimmen wird, weil wir an der Sache interessiert sind.	I can also say that my Party will support the motion because of our interest in the subject, despite the reservation that the introduction of oral amendments of this size must not be made a precedent.
Es ist - wie bereits gesagt - ein erfolgreicher Tag oder Tage gewesen in Oslo.	As has already been said, the last day or days in Oslo have proved to be a success.
Wir sind sehr froh darüber, daß es zu dieser Vereinbarung gekommen ist.	We are very pleased that agreement has been reached.
Ich darf mit Stolz und Freude sagen, daß gerade Österreich, das Land, aus dem ich komme, eines der ersten Länder war, das hier ein totales Verbot per Gesetz ausgesprochen hat.	I may say with pride and pleasure that Austria, my homeland, was one of the first to speak out for a total legal ban.
Mir tut es natürlich auch leid, daß Amerika nicht mitmacht oder noch nicht mitmacht, obwohl es wirklich den Prinzipien widerspricht, die gerade Präsident Clinton immer wieder vertritt.	I am of course sorry that America is not, or not yet, participating, even though this really contradicts the principle that President Clinton himself always puts forward.
Ich hoffe, daß es in Amerika Kräfte gibt, die stark genug sein werden, den Präsidenten dazu zu bewegen, dazu zu zwingen, möchte ich fast sagen, seine Unterschrift doch noch zu geben.	I hope that there are forces in America strong enough to persuade the President - force him, I would almost say - to add his signature after all.
Aber mir und meiner Fraktion ist es lieber, daß wir dieses Totalverbot nicht verwässert haben; wir haben jetzt halt noch eine Aufgabe vor uns, was die Vereinigten Staaten von Amerika betrifft, anstatt eine verwässerte Lösung hier zu akzeptieren.	I and my Party, however, should like to see this total ban remain undiluted. We simply have another task ahead of us regarding the United States of America, rather than having to accept a diluted version now.
Es ist sicherlich auch noch in Europa eine Aufgabe zu erfüllen.	There is certainly still a task to be carried out in Europe.
Das ist aus der Entschließung und den Änderungsanträgen dazu ersichtlich.	That can be seen from the resolution and the amendment resolutions to it.
Auch in Europa müssen noch einige überzeugt werden, daß es bei all den Schwierigkeiten, die sie mit einer langen Grenze haben mögen, nicht angeht, daß dort Antipersonenminen eingesetzt werden.	Even in Europe there are some who need to be convinced that it is not right, even with the problems which may arise from its long frontiers, for anti-personnel mines to be used here.
Wer in Bosnien, wer in irgendeinem Land war, wo es wirklich Tag für Tag dadurch Verletzte und Tote gibt, der kann keinen Grund akzeptieren, daß Antipersonenminen weiter verwendet werden dürfen.	No one who has been to Bosnia, no one who has been to any country where every day they produce casualties killed and wounded, can accept any argument for the continued use of anti-personnel mines.
Die Situation in diesen Ländern, die Situation der Familien, der Kinder, der Menschen, spricht absolut dafür, daß dieses Totalverbot von allen Ländern Europas und der gesamten Welt unterzeichnet wird.	The situation in these countries, the situation of the families, the children, the people, demands that this total ban be signed by every European country and by the whole world.
