Herr Präsident! Ich muss leider etwas Wasser in den Wein gießen.	Mr President, I am afraid that I am going to be the person to pour cold water on this.
Trotz der vielen Verbesserungen, die in den Ausschussberatungen an dem Kommissionsvorschlag erreicht wurden und für die in erster Linie auch dem Berichterstatter, Andreas Schwab, zu danken ist, enthält meines Erachtens das jetzt vorliegende Paket eine Fülle von Überregulierungen und Verkomplizierungen des Rechts, die insbesondere von kleinen und mittleren Unternehmen kaum zu bewältigen sind, dem Verbraucher nicht wirklich nützen, übrigens auch nur einen geringen Harmonisierungseffekt haben und den Binnenmarkt und den Wirtschaftsstandort Europa nicht voranbringen.	Despite the many improvements to the Commission proposal that were introduced during the consultation with the committees, for which we mainly have the rapporteur, Mr Schwab, to thank, in my opinion the current package contains an excessive number of regulations and will result in over-complex legislation. This will be very difficult for small and medium-sized enterprises in particular to cope with. In addition, it will not really benefit consumers, it will have very little effect in terms of harmonisation and it will not allow us to make progress with the internal market and with Europe as a business location.
In der Kürze der Zeit kann ich leider nur auf eine Position eingehen.	Given the small amount of time available, I can unfortunately only look at one point.
Der Vorschlag der Kommission hat die Reichweite von zwei Definitionen massiv ausgeweitet, wie er auch sonst viel zu weit ausgeholt hat, wie man an diesen 1 600 Änderungsanträgen gesehen hat.	The Commission proposal has massively extended the scope of two definitions and in this case it has gone much too far, which is clear from the fact that 1 600 amendments have been tabled.
Das war ja kaum vernünftig im Parlament zu beraten.	It has been difficult to discuss this sensibly in Parliament.
Die Kommission hat auch keinerlei Begründung für diese Ausweitungen geliefert - nirgendwo in den Anlagen, in den an das Parlament übermittelten Dokumenten wird diese Ausweitung begründet.	In addition, the Commission has not given any justification for extending these definitions. Nowhere in the annexes or in the documents submitted to Parliament is there any form of justification for this.
Es geht zum einen um den Fernabsatzvertrag.	One of the two cases concerns distance sales contracts.
Diese Ausweitung ist dankenswerterweise in den Beratungen jetzt zurückgeführt und korrigiert worden und das ist sehr zu begrüßen.	Thankfully, this extension has been returned to the consultation process and has been amended, which is a very welcome move.
Aber das Zweite ist, und darauf wollte ich jetzt eingehen, der Begriff des "Geschäfts außerhalb von Geschäftsräumen".	However, the second case relates to off-premises contracts, which I would like to look at here.
Künftig ist grundsätzlich jeder Vertrag, der außerhalb von Geschäftsräumen abgeschlossen wird, mit vielen Vorschriften und Widerrufsrechten belastet, auch dann, wenn der Verbraucher - Herr Obermayr ist gerade darauf eingegangen - den Elektriker, den Maler, den Tüncher, den Schreiner usw. bestellt hat.	In future, any contract which is concluded outside a company's business premises will be subject to a whole raft of regulations and rights of withdrawal, even if the consumer, as Mr Obermayr has just mentioned, has asked an electrician, decorator, painter or carpenter and so on to come into his house.
Ich weiß wohl, dass es eine ganze Reihe von Ausnahmen gibt - die sind übrigens auch von Dir, lieber Andreas Schwab, und vom Ausschuss sowohl inhaltlich wie auch in den Formulierungen verbessert worden.	I am aware that there is a whole series of exceptions to this which you, Mr Schwab, and the committee have improved, both in terms of their content and their wording.
Trotzdem bleiben enorm viele rechtliche Fallstricke bestehen, die insbesondere für handwerkliche Kleinst- und Kleinbetriebe zum Verhängnis werden können und existenzbedrohend sein können.	Nevertheless, this still leaves a huge number of legal pitfalls in place, which could prove disastrous for micro-businesses and small tradesmen and could even put their very existence at risk.
