Herr Präsident! Die westliche Politik in Sachen Kosovo ist Beihilfe zum Mord.	Mr President, western policy with regard to Kosovo is an accessory to murder.
Vor acht Jahren hat Herr Milosevic Kosovo widerrechtlich besetzt.	Eight years ago Milosevic unlawfully occupied Kosovo.
Jugoslawien wurde zerschlagen von Milosevic und den Serben, als sie 1988 gegen die jugoslawische Verfassung die Autonomie des Kosovo aufgehoben haben.	Yugoslavia was destroyed by Milosevic and the Serbs when in 1988, in violation of the Yugoslavian constitution, they removed Kosovo's autonomy.
Seitdem herrscht dort ein brutales Polizeiregime.	Since then they have been governed by a brutal police regime.
Wir müssen endlich etwas tun.	We have got to do something at last.
Wir müssen erstens mit Druck, und nicht nur mit Gewäsch durchsetzen, daß endlich so ein Büro eröffnet wird, wie es die Amerikaner ohne Probleme im Kosovo eröffnen konnten.	First of all, we must use pressure, not just eyewash, to see that at long last an office is opened there, similar to the one the Americans were able to establish in Kosovo without any difficulty.
Wir jammern, aber wir tun nichts.	We snivel, but we do nothing.
Wir müssen Druck ausüben.	We have got to use pressure.
Zweitens müssen wir dort die Wahlen mit internationalen Beobachtern überwachen.	Secondly, we must supervise elections there with international observers.
Das ist wesentlich, sonst wird das Polizeiregime dort nicht verschwinden.	That is essential, otherwise the police state will not disappear.
Und drittens müssen wir Herrn Milosevic auch mit Druck dazu zwingen, die bereits gegebenen schwachen Zusagen an Herrn Rugova einzuhalten, denn Herr Rugova ist wie Gandhi den gewaltlosen Weg gegangen.	And thirdly, we must again use pressure to force Mr Milosevic to keep his vague promise to Mr Rugova, because Mr Rugova, like Ghandi, chose the non-violent approach.
Wir haben ihn desavouiert, und deshalb greifen dort jetzt junge Menschen zu den Waffen.	We denounced him, so the young people there are resorting to weapons.
Daran sind wir schuld, und an unseren Händen klebt heute schon Blut.	That is our fault and there is blood on our hands to this day.
