Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich möchte Herrn Kommissar Oettinger danken.	Madam President, ladies and gentlemen, I would like to thank Mr Oettinger.
Er hat gekämpft, und er hat viel erreicht.	He has struggled and he has achieved a great deal.
Das Ergebnis ist nicht perfekt, aber der Vorwurf, der hier vor allen Dingen dem Kommissar gemacht wird, gilt vor allem uns.	The results are not perfect, but the accusations being made against Mr Oettinger today apply above all to us.
Selbstkritisch müssen wir sagen, dass wir keine Entschließung zustande bekommen haben.	We must be self-critical and admit that we did not manage to adopt the resolution.
Auch Teile meiner Fraktion waren nicht in der Lage zuzustimmen.	Parts of my group were also not in a position to vote in favour, which is regrettable.
Das ist bedauerlich. Aber der Vorwurf gilt auch den Grünen und den Sozialdemokraten, die erst eine Entschließung unterschrieben haben und sie dann am Ende im Plenum nicht mitgetragen haben.	However, the accusations also apply to the Group of the Greens/European Free Alliance and to the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament who first of all signed the resolution and then ultimately failed to support it in plenary.
Und das hat Herrn Kommissar Oettinger in der Tat das Leben schwer gemacht im Kampf mit den Mitgliedstaaten für strengere Stresstests.	This made Mr Oettinger's life difficult in his struggle with the Member States to introduce more stringent stress tests.
Das ist ein erster Schritt. Wir müssen weitergehen.	This is the first step, but we must go further.
Wir brauchen eine Veränderung der Richtlinie.	We need to amend the directive.
Herr Kommissar, wir unterstützen Sie dabei, dass das auch in Zukunft rechtlich verbindlich gemacht werden kann.	Mr Oettinger, we will support you in ensuring that in future, it is made legally binding.
Wir brauchen eine Ausweitung auf die Nachbarländer.	We need to extend it to cover our neighbouring countries.
Ich möchte das, was Kollegin Morkūnaitė-Mikulėniengesagt hat, ausdrücklich unterstützen.	I fully support what Mrs Morkūnaitė-Mikulėnienhas said.
Deutschland ist mehrfach angesprochen worden. Natürlich müssen wir damit leben, dass wir auch kritisiert werden.	Germany has been mentioned several times and, of course, we will have to live with the criticism.
Aber ich darf darauf hinweisen, dass 13 EU-Mitgliedstaaten schon jetzt ohne Kernenergie arbeiten, darunter wirtschaftlich sehr erfolgreiche Länder wie beispielsweise Österreich und Dänemark, sodass man diese Möglichkeit für Deutschland sicherlich auch akzeptieren muss.	However, I would like to point out that 13 EU Member States are already functioning without nuclear energy, including countries with successful economies such as Austria and Denmark, so we must be able to accept this possibility in Germany.
Ich möchte darauf hinweisen, dass Angela Merkel heute im Deutschen Bundestag eine Regierungserklärung abgegeben hat und nochmals unterstrichen hat, dass wir zumindest das, worüber wir uns in Europa einig sind, jetzt auch gemeinsam voranbringen wollen.	I would also like to say that Chancellor Merkel gave a government policy statement today in the German parliament and highlighted once again that we must at least make joint progress in the areas we agree on in Europe.
Zum Beispiel wurde die Energieeffizienz ausdrücklich erwähnt.	For example, she specifically mentioned energy efficiency.
Ich möchte Herrn Oettinger dabei unterstützen, in zwei Wochen einen ambitionierten Vorschlag zum Thema Energieeffizienz vorzulegen.	I would like to give Mr Oettinger my support and encourage him to submit an ambitious proposal on the subject of energy efficiency in two weeks.
Das, was bekannt geworden ist, gefällt mir im Prinzip sehr gut, eine Mischung aus Anreizen und Verpflichtungen für die Betroffenen.	I am very happy with the parts that we already know about, which are a mix of incentives and obligations for those affected.
Was mir noch nicht gefällt, ist, dass sich die Mitgliedstaaten selber Ziele setzen sollen.	I do not like the fact that the Member States are supposed to set their own goals.
Da sollten wir auch von der Kommission eine Vorgabe haben, sei sie nun sofort verbindlich oder erst indikativ.	We need the Commission to come up with a target, either mandatory or in the form of a guideline.
Aber machen Sie bitte eine Vorgabe, dann wird das ein sehr guter Vorschlag!	Please introduce a target and then we will have a very good proposal.
