Herr Präsident!	.
Auch ich werde mich kurz halten.	Mr President, I, too, will keep my comments brief.
Ich möchte Ihnen nur versichern, dass wir hier ganz sicher keine Routine einkehren lassen werden.	I should just like to assure you that we will certainly not let this become a matter of routine.
Es tut mir Leid, dass Frau Harms bereits gegangen ist, denn das hätte ich ihr gerne auch persönlich gesagt.	I am sorry that Mrs Harms has already left, because I should have liked to have said that to her personally.
Gerade mit dieser Möglichkeit eines verstärkten und intensivierten Abkommens wird ja genau das gemacht.	It is precisely using this possibility of a deeper and stronger agreement that it will be achieved.
Denn wenn man sieht, was da alles enthalten ist – abgesehen von einem verstärkten politischen Dialog – geht es hier vor allem um eine Zusammenarbeit auch in Rechtsfragen und in Bereichen, die besonders wichtig sind: Justiz und Inneres.	When one looks at what it all involves – quite apart from increased political dialogue – it primarily comes down to cooperation in legal matters and in the particularly important fields of justice and internal affairs.
Erster Punkt: Was uns besonders am Herzen liegt und auch in der Debatte zur Sprache kam, ist natürlich die Frage der Energiepolitik, die für uns alle immer stärker eine wesentliche Frage der Außenpolitik ist.	Firstly, one thing that is particularly important to us, and which was mentioned during the debate, is the issue of energy policy, which, for all of us, is becoming an increasingly vital aspect of foreign policy.
Darüber hinaus das Freihandelsabkommen, das ich vorhin bereits erwähnt hatte.	Then there is the free trade agreement, to which I referred earlier.
Es kann also keine Rede davon sein, dass hier sozusagen Routine eintritt.	There can therefore be no question of 'business as usual' in this field.
Zweiter Punkt: Ich war als die dafür zuständige Kommissarin in meinen Aussagen immer äußerst präzise, für manche vielleicht zu präzise.	Secondly, as the Commissioner responsible for this field, I always made my statements extremely precise, perhaps too precise for some.
Dazu möchte ich ganz klar sagen, dass die Zukunft nicht präjudiziert werden kann. Ich habe das im Englischen immer so formuliert:	I should like to make this quite clear: as I have always said, the future cannot be prejudged.
In diesem Moment arbeiten wir jedoch mit dem Instrument einer Nachbarschaftspolitik. Die Nachbarschaftspolitik sieht keine Mitgliedschaft vor.	At the moment, however, we are working through the neighbourhood policy, which does not provide for membership.
Präziser kann man nicht sein.	I cannot be any more precise.
Das heißt aber nicht, dass wir uns nicht mit besonders viel Verve und Enthusiasmus – wie unser Ratspräsident gesagt hat – weiterhin um die Ukraine bemühen.	That does not mean, though, that we will not continue to work with Ukraine with great verve and enthusiasm, as the President-in-Office said.
Wir freuen uns über diese Wahlen.	We are very pleased with these elections.
Sie bedeuten einen ganz großen Schritt voran, und ich freue mich, dass so viele von Ihnen sie beobachtet haben und diese Auffassung mit uns teilen.	They represent a huge step forwards, and I am delighted that so many of you observed them and share this opinion with us.
