Herr Präsident, Hohes Haus, liebe Kolleginnen und Kollegen! Es geht um das Schicksal Europas.	Mr President, ladies and gentlemen, the destiny of Europe is at stake.
Ich glaube, ich weiß, wovon da die Rede ist. Mein Vater hat die Schlacht von Stalingrad überlebt und meine Mutter das Konzentrationslager in Auschwitz, das Konzentrationslager in Dachau.	I believe that I know what that means; my father survived the battle of Stalingrad; my mother emerged from the concentration camps at Auschwitz and Dachau.
Entstammen wir nicht alle einer endlosen Reihe von Tätern und Opfern einer endlosen Gewalt auf diesem Kontinent?	Are we not all, on this continent, the products of an endless succession of perpetrators and victims of ceaseless violence?
Deshalb bestehe ich darauf, dass Europa ein Versprechen ist, ein Versprechen, das vor 60 Jahren gegeben wurde, am Abgrund von Auschwitz, in den Ruinen von Europa.	That is why I insist that Europe is a promise – a promise made 60 years ago on the brink of the abyss that was Auschwitz, and in the ruins of Europe.
Dieses Versprechen war die Überwindung des Nationalismus. Es war die rückhaltlose Verwirklichung von Demokratie und Freiheitsrechten und es war die politische Einheit Europas.	The promise was that nationalism would be overcome, that democracy and the rights to freedom would be unrestricted and that Europe would be united politically.
Daran haben wir unsere Taten zu messen.	Our actions must be measured against that.
Diese Verfassung, der wir Grüne in großer Mehrheit zustimmen, ist ein großer Schritt zur Einlösung dieses Versprechens.	This Constitution, which the vast majority of Greens will be endorsing, is a great step toward this promise being kept.
Sie ist nicht das Ende, sie ist nicht die Erfüllung der Aufgaben.	It is not the end; the tasks have not been completed.
Deshalb stimmen wir zu, und deshalb stimmen wir auch dem Bericht zu.	It is for that reason that we will be voting in favour of it, and of the report as well.
Diese Verfassung legt das Fundament einer europäischen Demokratie.	This Constitution lays the foundations of a European democracy.
Sie errichtet die Union als eine Grundrechtegemeinschaft.	It establishes the Union as a community of fundamental rights.
Sie gründet ihre Politiken auf einen gemeinsamen Kodex umfassender Werte und Ziele, sie erklärt soziale Rechte zum ersten Mal zu klassischen Menschenrechten.	Its policies are underpinned by a common code of all-embracing values and objectives; for the first time, it declares social rights to be human rights as traditionally understood.
Sie vereinfacht die Verträge, sie bindet das äußere Handeln an das Völkerrecht, sie stärkt Handlungsfähigkeit und Transparenz sowie demokratische Legitimation und entwickelt die Möglichkeiten zur Mitbestimmung für ihre Bürgerinnen und Bürger.	It simplifies the Treaties, makes external actions subject to international law, makes the EU more effective and transparent, more democratically legitimate, and creates the possibility of its citizens sharing in its decision-making.
Ja, sie schafft eine Union nicht mehr der Staatskanzleien, nicht mehr der Staaten, sondern der Bürgerinnen und Bürger.	Indeed, it does create something that is a Europe of citizens rather than the Europe of state chanceries that once existed.
Deshalb stimmen wir zu, und deshalb – Herr Wurtz, ich bin froh, dass Sie da sind – habe ich Ihre Kritik nicht verstanden.	That is why we will be voting in favour of it, and that is why I am glad to see Mr Wurtz here to hear me say that I find his criticisms incomprehensible.
In Ihrem ist keine Rede von Demokratie, obwohl diese Verfassung für eine europäische Demokratie unverzichtbar ist.	His amendment makes no reference to democracy, even though this Constitution is indispensable if Europe is to be democratic.
Warum reden Sie nicht davon?	Why does he not mention that?
Sie sagen, das sei kein sozialer Fortschritt. In der 200jährigen Geschichte der Menschenrechte werden doch in dieser Verfassung zum ersten Mal auf der Welt soziale Rechte als klassische Menschenrechte anerkannt und verankert!	He claims that social progress is absent, yet this Constitution, for the first time in the 200 years’ history of human rights, acknowledges and enshrines social rights as human rights in the traditional sense of the word!
Wir haben zum ersten Mal Vollbeschäftigung und soziale Marktwirtschaft – wenn auch mit Widersprüchen – in den Ziel- und Wertekatalog dieser Verfassung aufgenommen.	Despite certain contradictions, we have, for the first time, incorporated full employment and the social market economy in the list of this Constitution’s objectives and values.
Es ist nicht wahr: Wir haben nicht die Militarisierung Europas beschlossen.	It is not true to say that we have agreed to make Europe a military power.
Das ist ein hoch fragwürdiger Prozess.	The whole process is highly questionable.
Wir haben ein ungeklärtes Verhältnis zur NATO, und wer kennt den Weg der Emanzipation Europas schon so genau? Aber wir haben unser Tun und Handeln an das Völkerrecht, an die UNO-Charta gebunden und auch zum ersten Mal in der Welt zivile Konfliktprävention zur Verfassungsaufgabe gemacht.	The issue of our relationship with NATO is as yet unresolved, and, although none can surely say in what way Europe will emancipate itself, we have made our actions subject to international law and to the UN Charter, while also, and for the first time, making civil conflict prevention a task imposed by the Constitution.
So einfach können Sie sich das nicht machen.	You cannot make things so easy for yourself.
