Herr Präsident! Auch ich möchte mich bei der Berichterstatterin recht herzlich bedanken.	Mr President, I, too, would like to congratulate the rapporteur.
Ich weiß, das ist eine schwierige Aufgabe, die ähnlich ist wie die Quadratur des Kreises.	I know it is a difficult task - a bit like squaring the circle.
Man muß Interessen miteinander in Verbindung bringen, die oft nicht in Verbindung zu bringen sind.	Irreconcilable interests often have to be reconciled.
Entscheidend ist, daß das Parlament jetzt geschlossen bleibt.	It is critical for Parliament to remain united now.
Wir haben einen eindeutigen Gegner, nämlich den Rat.	We have one clear adversary, the Council.
Dem werden wir nur Widerstand leisten können, wenn wir auf der Spur bleiben, die wir jetzt gelegt haben, und ich bitte auch die Kommission, das Parlament dabei zu unterstützen.	We will only be able to resist the Council if we stay on the course we have just mapped out, and I would also ask the Commission to support the House in this.
Meine zweite Bemerkung gilt einem Problem, das wir leider mit dem V. Forschungsrahmenprogramm nicht lösen können, worauf ich an dieser Stelle aufmerksam machen möchte.	My second comment addresses a problem that we unfortunately will not be able to solve with the Fifth Framework Programme for Research. I would like to draw attention to this now.
Es ist der zunehmende Nord-Süd-Konflikt innerhalb der industriellen Wettbewerbsfähigkeit.	It is the increasing north-south conflict of industrial competitiveness.
Leider haben die Staaten im Süden ihre Forschungsausgaben in den letzten Jahren noch stärker reduziert als die im Norden, obwohl erstere ohnehin schon eine relativ niedrige Ausgabenhöhe hatten.	Unfortunately, the southern states have cut back their research expenditure more severely than has been the case in the north, although the southern states only had a relatively low level of expenditure as it was.
Dies wird dazu führen, daß wir in Zukunft eine noch größere Kluft zwischen Nord und Süd haben werden.	This will lead to an even greater northsouth divide in the future.
Ich möchte die Kommission bitten, diesem Thema besondere Aufmerksamkeit zu widmen, nicht weil ich glaube, daß das V. Forschungsrahmenprogramm das Problem lösen kann, dazu haben wir viel zu wenig Geld.	I would like to ask the Commission to devote special attention to this subject, not because I believe the Fifth Framework Programme for Research can solve the problem - there is far too little money for that.
Aber es muß der politische Wille entstehen, sowohl im Süden, und darunter verstehe ich die Staaten mit einem geringeren Bruttoinlandsprodukt, als auch im Norden.	But the political will must come into being in the south - and by that I mean countries with a smaller gross domestic product - as well as in the north.
Diese Länder sind auch nicht immer reicher, aber in der Regel geben sie mehr aus für die Forschung.	The latter are not always richer, but as a rule, they spend more on research.
Wir müssen hier zu einer Lösung kommen, sonst gibt es eine immer größer werdende Kluft, für die wir einen hohen Preis bezahlen und die wir auch nicht mit einer intensiveren Regionalpolitik überbrücken können.	We need to come up with a solution to this; otherwise, the divide will only get bigger. It will cost us dearly and we will not be able to bridge it by stepping up regional policy.
Das ist meine Bitte zum Nachdenken.	I am asking you to reflect on this.
Ansonsten nochmal herzlichen Dank, und ich hoffe, daß wir dem Rat geschlossen entgegentreten.	In any case, thank you very much, and I do hope we can stand united as we oppose the Council.
