Herr Präsident! Erlauben Sie mir, zum Schluss eine Frage an den Kommissar zu stellen!	Mr President, allow me to ask the Commissioner a question before the debate closes.
Sie sagen, hundert Millionen kommen dabei raus.	You said we would need another hundred million.
Nach den Berechnungen, die Sie in diesem Vorschlag angestellt haben, machen die Auszahlungen, die hier betroffen sind, - wenn ich es richtig im Kopf habe -, 1,6 % der Gesamtzahlungen aus.	According to the calculations in your proposal, the payments affected here - if I remember correctly - represent 1.6% of all payments.
Sie sind also verschwindend gering.	In other words they are minute.
Wie Herr Pesälä sagte, geht es uns bei dieser Frage nicht um eine Prämienerhöhung, sondern wir wollten die Sache nicht komplizieren.	As Mr Pesälä said, we were not looking to increase premiums, we were just trying to keep things simple.
Wenn die Kommission sicherstellt, dass die Kommission für die so pauschalierten Betriebe das, was an Prämienerhöhungen dazukommt, dann dazu rechnet, dann wären wir ja zufrieden.	If the Commission makes sure that it adds the additional premium increase for the farms to the global payment system, then we would be satisfied.
Es soll keine Prämienerhöhung über die Hintertür sein, obwohl diese Betriebe eine solche sehr nötig hätten.	We are not trying to increase premiums through the back door, even though these holdings are sorely in need of an increase.
Das ist aber eine andere Frage.	That is another kettle of fish, however.
Aber daran zu sparen, finden wir nicht in Ordnung.	To make savings here is out of order, however.
Wenn Sie so schnell die hundert Millionen ausgerechnet haben oder haben ausrechnen lassen, dann wären wir sehr dran interessiert zu wissen, wie viel denn eingespart würde, wenn diese Prämienerhöhung nicht vorgenommen wird.	Given that you were so quick to work out or to get someone to work out the figure of one hundred million for you, then we would be most interested to know how much would be saved if the premium was not increased.
Denn dann wäre das eine Einsparung und Prämienrückführung zu Lasten dieser kleinen Betriebe, und das, denke ich, sollten wir ausschließen.	Because that would represent a saving and a reduction in premiums to the detriment of these small farms and I think we should prevent that.
