amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, meine Damen und Herrn, Herr Kommissar! Gestatten Sie mir, dass ich im Anschluss an unsere Debatte zur Berliner Erklärung das Hohe Haus über die Ergebnisse des Frühjahrsgipfels unterrichte.	Mr President, Commissioner, ladies and gentlemen, following our debate on the Berlin Declaration, I should like to inform the House of the results of the Spring Summit.
Ich tue das gern und lassen Sie mich gleich - obwohl eben bemerkt wurde, dass wir uns zu häufig loben - vorwegnehmen: Aus der Sicht des Vorsitzes - aus meiner Sicht - war das in der Tat eine erfolgreiche Ratstagung, ein Gipfel, der Antworten gegeben hat in Bereichen, in denen die Bürgerinnen und Bürger, wie ich finde, mit Recht ein entschlossenes europäisches Handeln erwarten, ein Gipfel, der gezeigt hat, dass die Europäische Union allen Unkenrufen zum Trotz auch im erweiterten Kreis handlungsfähig sein kann und dass die Mitgliedstaaten - unterstützt und vorangetrieben durch die Kommission und das Parlament - in der Lage sind, ihre Differenzen zu überwinden und sich ehrgeizige gemeinsame Ziele zu setzen, auch wenn die Entscheidungen natürlich im Einzelnen nicht immer leicht fallen mögen.	I shall do so gladly, and may I say at once - although it has just been remarked that we are too ready to sing our own praises - that, from the point of view of the Presidency - from my point of view - this was indeed a successful Council meeting. It provided answers in fields in which citizens - rightly, in my opinion - expect determined action at European level; it showed that, in defiance of all prophecies of doom, the EU is capable of action even following enlargement, and that the Member States - with the support and encouragement of the Commission and Parliament - are in a position to resolve their differences and set ambitious common targets - even if, of course, the individual decisions may not always be easy.
Es war auch ein Gipfel, der gezeigt hat, dass die Union bereit ist, sich den drängenden Aufgaben der Zukunft zu stellen, ein Gipfel, der Schwung verleiht, der Mut macht, dass es uns gelingen kann, auch den ins Stocken gekommenen Reform- und Erneuerungsprozess der Europäischen Union in den kommenden Monaten mit neuem Leben zu erfüllen.	The Summit also showed that the Union is prepared to take up the pressing tasks of the future, and it gave us momentum and the courage to believe we can succeed also in reviving the flagging process of EU reform and renewal in the coming months.
Das ist neben den konkreten internen Ergebnissen, auf die ich natürlich gleich zu sprechen komme, die Botschaft, die von unserem letzten Gipfeltreffen ausgeht, das ist das Signal, das wir in zwei Wochen - wir sprachen gerade darüber - aufgreifen wollen, wenn wir in Berlin und in ganz Europa den 50. Jahrestag der Union begehen.	This is the message conveyed by our latest Summit, which also produced the specific internal results I am just about to discuss, and we want to continue to send out this signal in two weeks' time - as we have just been discussing - at the celebrations in Berlin and throughout Europe for the 50th anniversary of the Union.
Das ist der Impuls, den wir auch in die zweite Hälfte unserer Präsidentschaft mit hinüber nehmen möchten.	This is the impetus we wish to take with us into the second half of our Presidency.
Im Mittelpunkt der Frühjahrstagung - Sie wissen es - standen die Energie- und die Klimapolitik.	As you know, the Spring Summit focused on energy and climate policy.
Beide Themen sind zu Recht sehr weit oben auf der Sorgenliste der Menschen in Europa, und gerade die letzten Jahre und Monate - zuletzt der Erdölstreit zwischen Weißrussland und Russland - haben uns doch noch einmal eindringlich vor Augen geführt, wie abhängig wir von Energieimporten sind, wie verwundbar die europäische Wirtschaft in Fragen wie diesen ist.	Both issues are rightly very high on the list of concerns of the European people. Recent years and months, in particular - most recently the oil dispute between Belarus and Russia - have demonstrated vividly once more the extent of our dependence on energy imports and the vulnerability of the European economy in matters such as this.
Ebenso offenkundig - Sie haben es eben auch angemerkt - sind die Folgen des Klimawandels.	Just as evident, as has also just been remarked, are the effects of climate change.
Umweltkatastrophen, das Abschmelzen der Gletscher, der Anstieg des Meeresspiegels, Dürre - das sind alles keine abstrakten Schlagworte mehr, es sind sehr reale Bedrohungen geworden.	Environmental disasters, melting glaciers, sea-level rise, drought - these are no longer abstract terms, but are now very real threats.
Internationale Studien belegen, welchen Preis es hat, wenn wir jetzt nicht handeln, welche Kosten wir unseren Kindern und Enkeln aufbürden, wenn wir untätig bleiben.	International studies have demonstrated the price we shall pay - the price we shall force our children and grandchildren to pay - if we fail to act now.
