Herr Präsident! Herr Premierminister, Sie sind ein glänzender Rhetoriker - Kompliment!	Mr President, Mr Rodríguez Zapatero, I must compliment you on your eloquence.
Aber was haben Sie uns eigentlich zu sagen?	However, what do you really have to say?
Was war Ihre Botschaft?	What is your message to us?
Was war der Inhalt?	What is the substance of what you said?
Ich habe ja schon viele Reden gehört - Sie sind mein zweiunddreißigster Regierungspräsident -, aber so etwas inhaltlich Unverbindliches habe ich selten gehört.	I have heard many speeches - you are the 32nd Head of Government that I have witnessed - but I have rarely heard anything so non-committal in content.
In Anbetracht der Krise, der anstehenden Gipfel, der notwendigen Härte der Finanzmarktregulierung, der Tatsache, dass der Rat in den vergangenen Monaten die Kommission alleine stehen gelassen hat: Wo ist Ihr Konzept?	In view of the crisis, the forthcoming summit, the necessary stringency of financial market regulation and the fact that the Council has left the Commission to its own devices over the last few months, where is your strategy?
Kollege Schulz muss in einem anderen Saal gewesen sein, wenn er das spanische Modell Ihrer Regierung hier als Modell empfiehlt!	Mr Schulz must have been in a different room if he is recommending that we adopt your Spanish Government model here.
Europa kann sich keine 20 % Arbeitslosen leisten, damit das klar ist!	I would like to make one thing clear: Europe cannot afford a 20% unemployment rate.
Was ist denn an diesem spanischen Modell so gut?	What is so good about this Spanish model then?
Wie haben Sie auf die Krise reagiert?	How have you responded to the crisis?
Wie können Sie hier koordinieren?	How can you coordinate things here?
Wir fordern Ihre Führerschaft ein!	We call for your leadership.
Dann haben Sie uns hinter sich.	Then we will support you.
Aber mit so etwas Unverbindlichem!	However, what can we do with something so non-committal?
Natürlich sind wir gegen Gewalt in der Ehe, wer ist das nicht?	Of course we are opposed to marital violence, who would not be?
Ihr einziger konkreter Vorschlag war das Elektroauto - in Anbetracht der Krise, der Gipfel! Also, Herr Ministerpräsident!	Your only concrete proposal was the electric car - and with the crisis and the summit in mind - is that all you can come up with, Mr Zapatero?
Und dass Ihnen der Kommissionspräsident den Vertrag vorlesen muss, was die wirtschaftspolitische Koordinierung angeht, und Sie mit großer Aufmerksamkeit das offensichtlich zum ersten Mal gehört haben - das ist aber merkwürdig!	I am also amazed by the fact that the President of the Commission had to read the Treaty to you with regard to economic policy coordination, and you listened very attentively because it was clearly the first time that you had heard it!
Ich kann Ihnen nur sagen: Halten Sie sich an die Empfehlungen Ihres Parteifreunds Almunia.	All I can say to you is that you should follow the recommendations of your fellow party member, Mr Almunia.
Der hat gegen die Widerstände des Rates am Stabilitäts- und Wachstumspakt festgehalten.	He resisted the opposition of the Council to the Stability and Growth Pact.
Der ist das Vorbild!	He is the example you should follow.
Helfen Sie ihm, dass er diesen Stabilitäts- und Wachstumspakt sichert!	Help him to secure the Stability and Growth Pact.
Helfen Sie ihm dabei, dann haben Sie uns an Ihrer Seite!	Help him to do this and you will have us on your side.
Aber mit dieser unverbindlichen Wolkenschieberei kommen wir hier in Europa nicht weiter.	However, with this non-committal pie-in-the-sky approach, we will not make any headway in Europe.
