. Herr Präsident, sehr geehrte Abgeordnete!	.
Vielen Dank für die engagierte Diskussion. Es würde sich natürlich lohnen, auf viele Punkte einzugehen.	Mr President, ladies and gentlemen, I thank you for this lively debate.
Ich möchte zwei herausgreifen. Das eine war der Zusammenhang zwischen dem europäischen Budget, den Agrarausgaben und der Armut und Frauenarmut in der Dritten Welt.	While it would be worthwhile to consider many of the points made, I would like to highlight two of them, one being the connection between the European Budget, agricultural expenditure and poverty – including among women – in the developing world.
Es wurde gesagt, dass quasi die Hälfte des Budgets zur Verstärkung von Frauenarmut in der Dritten Welt beitragen würde.	The statement has been made that something like one half of the Budget would help to further aggravate the poverty of women in the developing world.
Ich kann das so nicht stehen lassen.	I cannot allow that assertion to go unchallenged.
Sie haben natürlich speziell die Agrarsubventionen angesprochen, und da hat ja gerade die Europäische Kommission im Rahmen der Verhandlungen in der Welthandelsorganisation einen Vorstoß gemacht, und zwar eben um hier die Agrarsubventionen, die Exportsubventionen herunterzufahren und den Ländern der Dritten Welt größere Chancen zu geben.	You made, of course, specific reference to agricultural subsidies, at a time when the Commission, in negotiations within the World Trade Organisation, has made progress in reducing agricultural and export subsidies and opening up greater opportunities to the countries of the developing world.
Zweitens spielen natürlich gerade Agrarausgaben eine wesentliche Rolle, um Armut im ländlichen Raum, im Agrarsektor zu verhindern.	Secondly, agricultural expenditure does of course play an essential part in preventing poverty in rural areas and in the agricultural sector.
Wir wissen alle, dass Armut und ländlicher Raum auch etwas mit Frauen zu tun haben. Insofern sind gerade unsere Programme im Bereich des europäischen Budgets zur Förderung der Entwicklung im ländlichen Raum ganz wichtig für die Verhinderung von Frauenarmut.	We are all aware of how poverty, rural areas and women are interlinked, and so our European Budget’s programmes for fostering development in rural areas are of immense importance in keeping women out of poverty.
Der nächste Punkt betrifft die Strategie von Lissabon.	My next point has to do with the Lisbon strategy.
Es wurde nach den Konzepten und besonderen Vorschlägen gefragt.	You asked about broad outlines and specific proposals.
Ich möchte daran erinnern, dass gerade die Kommission es war, die sich im Rahmen der Lissabon-Strategie dafür eingesetzt hat, dass dieses Ziel formuliert worden ist, dass die Frauenerwerbsquote zu erhöhen ist, und zwar in relativ kurzer Zeit.	I would like to remind you that it was the Commission that devoted its efforts to formulating the objective, as part of the Lisbon strategy, of increasing the number of women in employment, and that in a relatively short time.
Es war dann auch die Kommission, die darauf hingewiesen hat, dass man nicht einfach das Ziel setzen kann, die Frauenerwerbsquote zu erhöhen, wenn man sich nicht konkret um die Kinderbetreuung kümmert.	Then it was the Commission, too, that pointed out that it was impossible to simply set an increase in the number of women in employment as a target without giving practical attention to childcare.
Denn anders ist dieses Ziel gar nicht zu erreichen, dass mehr Frauen erwerbstätig sind, und es hat mich als Frau sehr gefreut, dass sich die Staats- und Regierungschefs auf einem Gipfel einmal mit der Frage der Kinderbetreuungseinrichtung beschäftigt haben und zu dem Beschluss gekommen sind, dass eine höhere Betreuungsdichte zu erreichen ist.	Without that, the goal of getting more women into work is beyond reach, and, as a woman, I was very happy to learn that the Heads of State and Government, at a summit, had considered the issue of childcare facilities and had come up with a resolution to the effect that childcare needs to be more readily available.
Denn natürlich kann man keine höhere Wettbewerbsfähigkeit von Europa erreichen, wenn man nicht die Beschäftigungschancen von Frauen erhöht.	The fact is, of course, that you cannot make Europe more competitive without increasing women’s opportunities for employment.
