im Namen der PPE-Fraktion. - Frau Präsidentin, Herr Kommissar! Wir sind schon etwas enttäuscht.	Madam President, Commissioner, we are rather disappointed.
Ich gehöre nämlich zu denjenigen, die im Zelt bei der orangenen Revolution in Kiew waren, und muss nun sehen, was in den vergangenen fünf Jahren gemacht worden ist. Ich möchte Präsident Juschtschenko hinterherrufen, dass er keine Stabilität für sein Land gebracht hat, keine parlamentarischen Möglichkeiten geschaffen und die Gesetzgebung aufgehalten hat.	I am one of the people who was in the tent city during the Orange Revolution in Kiev and when I look at what has been done over the past five years, I want to say to President Yushchenko that he has not brought stability to his country, he has not created parliamentary opportunities and he has brought the legislative process to a halt.
Er trägt sicherlich die Verantwortung dafür, dass die orangene Revolution gescheitert ist.	He is certainly responsible for the failure of the Orange Revolution.
Ich hoffe, dass mit dieser Wahl Stabilität in das Land einkehrt.	I hope that these elections will bring new stability to Ukraine.
Dennoch habe ich Sorge, ob das trotz der - wie es aussieht - formal gesicherten Wahlen auch eine stabile Demokratie ist, die an sich glaubt.	However, despite the elections apparently being conducted in accordance with international standards, I am concerned that this is not a stable, self-confident democracy.
Denn wenn man drei Tage vor dem zweiten Wahlgang, mitten in den Wahlen, die Gesetzgebung ändert - für welche Zwecke auch immer -, zeugt das nicht davon, dass man es verstanden hat.	When the legislation is amended three days before the second ballot, right in the middle of the elections, for whatever purpose, this does not demonstrate that the process has been understood.
Vielmehr gibt dies Anlass dazu, dass wir mit großer Sorge dorthin schauen müssen.	Instead, it causes us to watch Ukraine with great concern.
Ich glaube, dass wir uns sehr intensiv mit der Frage der Entwicklung der Demokratie und der Rechtsstaatlichkeit in der Ukraine, verbunden mit dem Thema Stabilität - was kein Widerspruch ist, sondern die Konsequenz daraus -, beschäftigen müssen.	I believe that we must become closely involved in the issue of the development of democracy and the rule of law in Ukraine, together with the related subject of stability, which is not a contradiction, but a consequence of this.
Herr Kommissar, Ihnen kommt hinsichtlich der Nachbarschaftspolitik eine besondere Aufgabe zu.	Mr Füle, you have a specific responsibility relating to neighbourhood policy.
Denn Nachbarschaftspolitik heißt nicht, so weitermachen wie bisher, sondern Nachbarschaftspolitik bedeutet, dass wir jetzt unsere Instrumente nutzen, nicht nur im bilateralen Verhältnis zu einem Land wie der Ukraine oder anderen in der Region, sondern auch in einem multilateralen approach für diese Länder, damit sie enger zusammenwachsen und in sich stabiler werden.	However, neighbourhood policy does not simply mean going on as before. Instead, it means using the tools available to us not only for a bilateral relationship with a country like Ukraine or with other countries in the region, but instead in a multilateral approach to these countries, so that they come closer together and become more stable.
Es gilt, ihnen Perspektiven zu geben, die nicht bedeuten, jeden Tag über die Erweiterung der Europäischen Union zu reden, sondern ihnen heute Visafazilitäten, eine mögliche Freihandelszone und vielleicht sogar einen Norwegenstatus in einem europäischen Wirtschaftsraum in Aussicht zu stellen.	We must give them perspectives. This does not involve referring every day to the enlargement of the European Union, but instead making visa facilities available to them now, considering the possibility of a free trade zone and perhaps even offering them the prospect of the same status as Norway within a European economic area.
Das verletzt niemand, ist nicht aggressiv gegen jemand gerichtet und führt gleichzeitig zur europäischen Perspektive und Stabilität eines solchen Landes.	This will not harm anyone, does not represent aggressive behaviour towards anyone and, at the same time, will lead to the introduction of the European perspective and of stability in countries of this kind.
Ich hoffe, dass die neue Regierung sich würdig zeigt, bei einem solchen Projekt mitzuwirken.	I hope that the new government will prove itself worthy of taking part in this type of project.
