Herr Präsident! Worum geht es bei der Abstimmung über den Türkeibericht am 15. Dezember?	Mr President, what is the purpose of the vote on 15 December on this report concerning Turkey?
Es geht nicht darum, den Berichterstatter zu belohnen, obwohl er meinen höchsten Respekt verdient.	It is not a matter of rewarding the rapporteur, although he merits my highest esteem.
Es geht auch nicht darum, welche Mannschaft gewinnt: Diejenige, die einen Beitritt der Türkei ohne Wenn und Aber anstrebt, oder diejenige, die sagt, es muss eine Alternative zum Vollbeitritt geben, und dieser Alternative auch schon einen Namen geben möchte.	Nor is it a contest between two teams: the unwavering supporters of Turkish accession and those who say that there must be an alternative to full accession and already have one in mind and want to put a name to it.
Bei beiden Mannschaften lässt sich nämlich die Gefahr eines Eigentors nicht ausschließen.	In such a contest, both teams are always liable to score an own goal.
Es geht auch nicht darum, dass wir einfach die Zurufe aus den Zuschauerrängen aufnehmen, die größtenteils emotional begründet sind.	Nor is it a matter of simply echoing the shouts of the crowd in the stands, since these are largely fuelled by emotion.
Es ist ganz einfach die letzte Gelegenheit des Europäischen Parlaments, den Regierungschefs im Rat vor ihrer Entscheidung über eine Verhandlungsaufnahme mit der Türkei eine letzte Botschaft zu übermitteln und ihnen die Entscheidung so schwer wie möglich zu machen.	It is quite simply the last opportunity of the European Parliament to convey a final message to the Heads of Government in the Council before they take their decision on the start of negotiations with Turkey and to make their decision as difficult as possible.
Denn auf der einen Seite sehen wir den unbestrittenen Reformwillen der Regierung Erdogan und auf der anderen Seite sehen wir die gesellschaftspolitische Realität, der auch politische Konflikte, sei es die Armenien- oder auch die Kurdenfrage zugrunde liegen, die im Widerspruch zu unseren Zielvorstellungen und Kriterien stehen.	The point is that the unquestioned desire of the Erdogan Government to enact reforms contrasts with the reality of social conditions in Turkey, resulting in part from political conflicts, whether in connection with the Armenian or the Kurdish problem, and these conditions are incompatible with our objectives and criteria.
Es ist kein Zufall, dass gerade jetzt Kurdenvertreter in Paris Autonomie für die kurdischen Gebiete in Südostanatolien verlangt haben.	It is no coincidence that Kurdish representatives in Paris have chosen this precise moment to demand autonomy for the Kurdish areas in south-eastern Anatolia.
Die Aussicht auf die Aufnahme von Verhandlungen und einen möglichen EU-Beitritt allein könnten den türkisch-kurdischen Konflikt also anheizen und nicht besänftigen.	The very prospect of negotiations being launched and of possible Turkish accession to the EU, in other words, could actually fuel the conflict between Turks and Kurds instead of defusing it.
Durch das Vorrücken der Grenzen der EU bis zum Iran, dem Irak, Syrien und dem Kaukasus geht der bisherige Sicherheitsabstand zu einer der gefährlichsten Krisenregionen der Welt verloren.	By shifting its frontiers to Iran, Iraq, Syria and the Caucasus, the EU would forfeit the that has always separated it from some of the world’s most dangerous trouble spots.
Auch dies gilt es im Rat zu bedenken.	This is something else the Council must consider.
Auch der Vorwurf der türkischen Führung, dass die EU der Türkei Sonderbedingungen bezüglich der Verhandlungsführung auferlege, muss nachdenklich stimmen, denn nicht die EU will der Türkei beitreten, sondern umgekehrt.	The Turkish leaders’ accusation that the EU is imposing special conditions on Turkey for the negotiation process must give us pause for thought too, because it is not the EU that is applying to accede to the Republic of Turkey – quite the reverse.
Die Stimmung vor dem Beschluss über Beitrittsverhandlungen könnte nicht schlechter sein.	The atmosphere on the eve of the decision on accession talks could not be worse.
Ein Beitrittsautomatismus ohne andere Optionen wäre zum Schaden sowohl der EU als auch der Türkei.	A process culminating automatically in accession without any other options would be damaging to both the EU and Turkey itself.
Wir Parlamentarier sollten die Gelegenheit wahrnehmen, diese Botschaft vor dem 17. Dezember deutlich zu machen, denn sollte sich herausstellen, dass ein Vollbeitritt nicht erreichbar ist, muss es andere Optionen geben, die die Türkei in europäischen Strukturen verankern.	We parliamentarians should take the opportunity to put this message across clearly before 17 December because, should full accession prove unattainable, there must be other means of integrating Turkey into European structures.
