Herr Präsident! Was steckt dahinter?	Mr President, what is going on?
Die Kommission legte 1994, also vor vier Jahren, einen Vorschlag vor, der der Straßenverkehrssicherheit im allgemeinen und den Sozialvorschriften für Fernfahrer insbesondere vermehrt Rechnung trägt, und zwar durch die Einführung eines neuen Fahrtenschreibers, weil der bisher gültige als allzu manipulierbar gilt.	In 1994, i.e. four years ago, the Commission presented a proposal which pays greater regard to road safety in general and the social legislation for long-distance drivers in particular, namely through the introduction of a new tachograph, because the current one is considered too easy to tamper with.
Eigentlich ist das ganz einfach.	Actually the matter is quite simple.
Alle Betroffenen, ob Fahrer, Gewerkschaften, Fuhrunternehmen und von mir befragte Teilnehmer am Straßenverkehr stimmen einer Verbesserung zu.	All those affected, be it drivers, trade unions, haulage firms or the road users I interviewed, are in favour of an improvement.
Diese Verbesserung hatte die Kommission uns auch in ihrem sehr vernünftigen Vorschlag vom Juli 1994 vorgelegt, aber dann wollte das Parlament mehr.	This improvement was presented to us by the Commission in its very sensible proposal of July 1994, but then Parliament wanted more.
In der ersten Lesung im Sommer 1995 votierte das Parlament nicht nur für ein weniger manipulierbares Gerät, sondern zugleich für die Entwicklung einer SuperBlackbox mit umfassender Infrastruktur bei den Betrieben und den Kontrollbehörden.	At first reading in the summer of 1995 Parliament did not just vote for a piece of equipment which is less easy to manipulate, but also for the development of a super black box involving an extensive infrastructure with the firms and inspection authorities.
Ein globales Fuhrparkmanagement sollte nicht länger Vision sein.	Global fleet management was to be a vision no longer.
Zwei Jahre später - erst 1997 - wurde uns dann der Gemeinsame Standpunkt des Rates vorgelegt.	It was two years later - in 1997 - that the Council's common position was presented to us.
Dieser ist in vielen Belangen unzulänglich.	This is inadequate in many respects.
Ich frage Sie und den Rat, wie es dazu kommt, daß er, der Rat, im Endeffekt nur über die Super-Blackbox abgestimmt hat und nicht zugleich auch über unsere vom Parlament vorgeschlagene ausreichende, kostenwirksame, solide, machbare und akzeptable Lösung.	I ask you and the Council how it can come about that, in the final analysis, the Council has only voted on the super black box and not simultaneously on the satisfactory, cost-effective, sound, feasible and acceptable solution proposed by Parliament.
Wer hat hier was unter den Tisch gekehrt und warum?	Who is hiding something here and why?
Als ich von der Entscheidung des Rates hörte, glaubte ich, ich träume, und ich hoffe immer noch, daß alles nur ein Irrtum ist und daß dieser Fehler morgen nicht auch noch vom Parlament nachvollzogen wird.	When I first heard about the Council's decision, I thought I was dreaming, and I still hope that this is all a mistake and that tomorrow this blunder will not be endorsed by Parliament as well.
Ich bin für eine moderne, technologisch gestützte Verkehrssicherheit, aber jeder Unternehmer soll auf unserem freien Markt selber entscheiden, ob er eine Superbox oder die ebenso attraktive sogenannte verbesserte Lösung will.	I am in favour of a modern, technologically assisted transport safety system, but each businessman should be able to decide for himself in this free market of ours, whether he wants a superbox or the equally attractive, so-called improved solution.
Der Unternehmer weiß doch schließlich selbst am besten, wieviel Kosten er sich und seinem Unternehmen zumuten kann.	The entrepreneur ultimately knows best what costs he and his business can sustain.
Wenn der Gemeinsame Standpunkt des Rates morgen Wirklichkeit wird, werden der bisherige manipulierbare Fahrtenschreiber und die neue Superbox, die bis heute nicht klar definiert und auch nicht auf ihre Gesetzeskraft überprüft ist, dann werden also das alte und das neue Gerät zehn Jahre und länger nebeneinander existieren.	If the common position of the Council becomes a reality tomorrow, then the previous tamper-prone tachograph and the new superbox, which still has not been clearly defined and examined for its legal force - the old and the new equipment therefore - will exist for ten years or more side by side.
Beide haben nichts miteinander gemeinsam.	Neither have anything in common.
Im Gegenteil wird ein Anreiz geboten, daß ein Fahrer von dem alten Fahrzeug auf das neue umsteigt, weil er weiß, daß beide Kontrollgeräte nicht miteinander verglichen werden können und daß er nicht wegen nicht eingehaltener Lenk- und Ruhezeiten belangt werden kann.	On the contrary, an incentive will be given for a driver to transfer from the old vehicle to the new because he knows that the two types of recording equipment cannot be compared with each other and that he cannot be prosecuted for failing to observe the proper driving and rest periods.
Wenn sich der Rat mit 14: 1 Stimmen gegen die vernünftigere Lösung, aber für die Superbox ausgesprochen hat, so bedeutet das, daß gar keine vermehrte Kontrolle und damit auch keine verbesserte Straßenverkehrssicherheit gewünscht wird.	If the Council has voted 14: 1 against the more sensible solution, but in favour of the superbox, this means that there is no wish to achieve increased control and hence improved road safety.
Oder wie sehen Sie das, meine Damen und Herren?	Or how do you see things, ladies and gentlemen?
Ich hoffe, daß unsere Abstimmung morgen nicht zum Alptraum wird und daß wir wie in der ersten Lesung abstimmen, denn ich denke wie Sie, Herr Wijsenbeek, 1a und 1b heißt die richtige Lösung.	I hope that our vote tomorrow will not turn into a nightmare and that we will vote as at first reading, because I think like you, Mr Wijsenbeek, 1A and 1B are the correct solution.
