. – Herr Präsident!	.
Ich unterstütze das, was Rat und Kommission in Bezug auf die europäische Energiepolitik gesagt haben. Ich meine aber, dass wir in einigen Bereichen etwas konkreter und spezifischer sein müssen.	Mr President, while endorsing what the Council and the Commission have had to say about European energy policy, I do believe that there are areas in which we have to be rather more definite and specific.
Erstens: Die großen Verbraucher EU, USA, China und Indien müssen verstärkt gemeinsam auf dem Markt agieren und gegenüber den Produzenten nicht nur als Konkurrenten auftreten.	For a start, the big consumers – the EU, the USA, China and India – must do more to have a joint effect on the market, rather than only competing against one another for energy supplies.
Zweitens zur Infrastruktur: Wir sollten uns überlegen – nicht als Staat, aber mit unseren Firmen und Unternehmungen –, die Infrastruktur gemeinschaftlich zu besitzen und zu verwalten, damit es hier keine Monopole gibt.	Secondly, we should turn our attention to infrastructure, and give thought – not as a state, but with our firms and businesses – to having the infrastructure owned and managed on a common basis, so as to avoid monopolies.
Viertens: Wir müssen die Infrastruktur ausbauen. Der Herr Minister hat das Projekt Nabucco erwähnt, ein ganz wichtiges Projekt, das die Europäische Union unterstützen sollte.	Fourthly, we need to develop the infrastructure, one example being the Nabucco project, to which the Minister referred, which is very important and which the European Union should support.
Fünftens: Alle Mitgliedstaaten müssen diversifizieren und Vorschläge machen, damit dann aufgrund dieser Vorschläge ein gemeinsames europäisches Programm entstehen kann.	Fifthly, all the Member States must diversify and come up with proposals on the basis of which a single European project can come into being.
Sechstens: Vorrang müssen natürlich die erneuerbaren Ressourcen haben.	My sixth point is that renewable resources must, of course, be given priority.
Herr Ratsvorsitzender, ich teile Ihre skeptische Meinung, was Kernenergie betrifft. Aber die Debatte wird geführt werden, und wir müssen dafür sorgen, dass alle positiven und kritischen Elemente in die Debatte einfließen, inklusive der Frage der Endlagerung der Abfälle.	I share the President-in-Office’s scepticism about nuclear power, but the debate will go ahead and we have to ensure that it takes into account all the positive aspects and points of criticism and does not leave out the issue of how to dispose of the waste.
Siebtens: Sicherlich können wir nicht allen Ländern eine einheitliche Energiepolitik vorschreiben. Wir können nur aufgrund der Differenzierung der einzelnen Länder eine gemeinsame Politik insbesondere nach außen hin vertreten.	We certainly cannot – and this is my seventh point – insist on a single energy policy with every country; only by taking national differences into account can we – particularly in the eyes of the outside world – justify a single energy policy.
Herr Kommissar, Sie wissen, dass ich Sie beim Hearing um ein Programm Außen- und Energiepolitik gebeten habe.	You, Commissioner, will recall how, at the hearing, I asked you for a programme that combined energy policy and foreign policy.
Dasselbe habe ich bei Frau Ferrero-Waldner getan. Leider haben wir noch nichts bekommen.	I made the same request of Commissioner Ferrero-Waldner, but nothing, unfortunately, has as yet been forthcoming.
Ich würde Sie wirklich bitten, dringend ein solches Programm vorzulegen, spätestens im Grünbuch, damit wir auch wirklich eine nach außen hin konsistente Politik vertreten.	I really would press you to put forward such a programme as a matter of urgency, in the Green Paper at the latest, so that we will have a consistent policy that we can defend to the wider world.
Lassen Sie mich abschließend klar sagen: Wir wollen und brauchen die Partnerschaft mit Russland. Aber was Russland zuletzt getan hat, können wir nicht akzeptieren.	Let me conclude by making it quite clear that, while we want – and need – partnership with Russia, its latest actions are unacceptable.
Wir brauchen ein Russland, das fair zu seiner Nachbarschaft ist, es ist unsere gemeinsame Nachbarschaft.	We need Russia to treat its neighbours fairly, for they are our neighbours too.
