Herr Präsident! Die kambodschanische Kultur war einmal weltweit als Symbol des Friedens bekannt.	.
Inzwischen hat kaum ein Land so gelitten wie Kambodscha. Im Zweiten Weltkrieg unter fremder Besatzung, dann der Vietnamkrieg bzw. zweimal im Indochinakrieg; dann kam der Terror der Roten Khmer mit einer beispiellosen Ausrottungspolitik gegenüber Millionen von Menschen, dann eine andere Spielart des Kommunismus, nämlich die vietnamesische, verbunden mit Fremdherrschaft.	Mr President, Cambodian culture was once known worldwide as a symbol of peace, yet, since then, scarcely any other country has had as much to endure as Cambodia, which was occupied by foreigners during the Second World War, the later Vietnam War and twice over in the war over Indo-China; it then suffered the terrors of the Khmer Rouge, with their policy of exterminating millions of people in ways that defy comparison, followed by another variety of Communism – the Vietnamese one this time – which, too, involved rule by foreigners.
Nach diesem Terror, den das Land erleiden musste, haben wir mit viel politischem Aufwand der Vereinten Nationen, der Europäischen Union und nicht zuletzt auch der Menschen dort einen Friedensprozess begonnen, der kompliziert war und viel Einsatz sowie auch große finanzielle Mittel erfordert hat.	After the country had endured all these horrors, the setting in motion of a peace process there has called for a great deal of political effort on the part of the United Nations, the European Union and, not least, the people who live there; it has been a complicated business and has called for a great deal of dedication and a lot of money.
Heute stehen wir in gewisser Weise vor einem Scherbenhaufen, denn wir erleben, dass sich dort erneut ein Unrechtsregime etabliert. Das dürfen wir auf keinen Fall akzeptieren!	It can be said that what was accomplished then is, today, in ruins, for we see that another unjust regime is establishing itself in Cambodia, and, as that is something that we cannot accept under any circumstances, I would refer the House to paragraph 5 of our resolution, which states quite clearly that the agreement that we concluded with Cambodia is founded upon democracy and human rights.
Deshalb möchte ich vor allem auf Ziffer 5 unserer Entschließung verweisen, die ganz klar sagt, dass das Abkommen, das wir mit Kambodscha geschlossen haben, auf Demokratie und Menschenrechten beruht.	That is not an empty diplomatic phrase with which we politely introduce agreeable transactions; on the contrary, it spells out the terms on which business is done at all.
Das ist nicht eine diplomatische Floskel, mit der wir angenehme Geschäfte wie eine Höflichkeitsformel einleiten, sondern das ist die Geschäftsgrundlage. Es ist die Aufgabe von Rat, Kommission und Parlament, unseren kambodschanischen Partnern klarzumachen, dass sie, wenn sie diese Geschäftsgrundlage dauerhaft verletzen, mit uns auch keine Geschäfte machen können.	The Council, the Commission, and this House, now have the task of making it plain to our Cambodian partners that if they keep on violating those terms, they will no longer be able to do business with us.
Wir müssen es – über auf Papier geschriebene Proteste hinausgehend – endlich schaffen, dass hier tatsächlich wirksamer Druck zur Durchsetzung der Menschenrechte ausgeübt wird.	We must, once and for all, get effective pressure put on Cambodia to uphold human rights, and that means more than just sending protest notes.
Deshalb möchte ich anregen, dass wir möglichst bald den Sonderbeauftragten der Vereinten Nationen für Kambodscha hierher ins Europäische Parlament einladen, um mit ihm einmal intensiv über die Lage in diesem geplagten Land zu diskutieren.	It is for that reason that I would suggest that we should – and as soon as possible – invite the United Nations special envoy to Cambodia to this House for in-depth discussions with him about the state of affairs in this tormented country.
Wir sind glücklich, dass nunmehr auf unseren Druck und den Druck der Amerikaner hin – es ist gut, dass wir hier zusammenarbeiten – Häftlinge freigelassen worden sind, und wir erkennen dies durchaus an. Dennoch wissen wir, dass diesen Häftlingen nach wie vor ein Prozess droht.	We can rejoice that our pressure and that exerted by the Americans – for it is good that we are cooperating in this – has resulted in the release of prisoners, but, while certainly acknowledging this, we know that they are still going to be put on trial.
Wir wissen, dass es viele andere Häftlinge sowie Verhandlungs- und Haftbefehle, und vor allem auch die Repression von Minderheiten gibt.	We know that there are many other prisoners, and that many more summonses and arrest warrants have been issued, and we are particularly aware of the repression of minorities.
Dagegen müssen wir uns nachhaltig wehren. Menschenrechtspolitik ist vor allem Nachhaltigkeit!	In contending against these things, we must do so with persistence, for persistence, above all, is what human rights policy is all about.
