im Namen der PPE-Fraktion. - Herr Präsident, sehr geehrter Herr Kommissar, werte Kollegin Ţicău!	Mr President, Commissioner, Mrs Ţicău, I would like to congratulate you on this report.
Ich gratuliere zu diesem Bericht.	I believe it to be a great step in the right direction.
Ich glaube, er stellt einen großen Schritt in die richtige Richtung dar. Wir haben in Europa über 160 Millionen Gebäude, und diese Gebäude müssen einer thermischen Sanierung zugeführt werden, damit möglichst wenig Energie verbraucht wird und der gesamte Energieverbrauch entsprechend reduziert wird.	There are more than 160 million buildings in Europe, and these buildings need to be renovated in respect of their thermal efficiency in order to minimise energy consumption, thereby bringing about a corresponding reduction in overall energy consumption.
40 % der Energie fließen in die thermische Ausstattung der Gebäude.	Forty per cent of energy is used for heating and cooling buildings.
Wir hoffen, dass wir bis 2020 mit der thermischen Sanierung das Ziel von 5 % des Gesamtenergieverbrauchs erreichen können.	We hope that renovation measures will allow us to achieve our goal of a 5% reduction in total energy consumption by 2020.
Es geht aber auch darum, neue Arbeitsplätze zu schaffen.	However, we are also concerned with creating new jobs.
Hier brauchen wir sicherlich noch Ausbildungskonzepte für die Handwerker, die dann diese Gebäude nicht nur sanieren, sondern auch neue errichten.	There is no doubt that we need new training schemes for the tradesmen who will not only be renovating these existing buildings, but also building new ones.
Wir brauchen kleine und mittlere Betriebe, die sich auf dieses Gebiet spezialisieren und denen es möglich gemacht wird, Gewinne in diesem Bereich zu erwirtschaften und höhere Nettolöhne zu zahlen.	We need small and medium-sized enterprises that specialise in this segment and we must make it possible for them to make a profit in this area and to pay higher net wages.
Ich glaube, das ist der beste Weg aus der Krise, weil damit natürlich auch ein neues Steueraufkommen möglich ist, Energie aus dem fossilen Bereich ersetzt wird und somit weniger fossile Energie verbraucht wird und erneuerbare Energie zum Einsatz kommen kann.	I believe that is the best way out of the crisis, because not only will it, of course, raise new tax revenue but, moreover, energy from fossil fuels will be replaced by renewable energy - thereby reducing fossil fuel consumption.
Ich glaube, dass die Substitution der fossilen Energie im Verbrauch und in der Produktion zukunftsweisend ist und natürlich auch zu einer spürbaren Kostensenkung in den Haushalten führt, dass sich diese Investitionen rechnen und dass wir nicht weitermachen sollten mit dem Verbrauch, so wie wir es in den letzten Jahrzehnten getan haben.	I believe that substituting fossil fuels in consumption and production is the way ahead and naturally will also result in a noticeable reduction in household expenses. I also believe that these investments will pay off and that we should not continue with the levels of consumption that we have seen in recent decades.
Wir sollten wieder damit beginnen zu investieren.	We should take this opportunity to start investing again.
Gerade in Krisenzeiten ist das Investieren die wesentliche Voraussetzung, um aus der Krise wieder herauszukommen, und dies mit möglichst wenig Bürokratie.	Investment is particularly essential in times of crisis, to enable us to overcome the crisis - and overcome it with as little bureaucracy as possible.
