. Meine Fraktion unterstützt die Empfehlung zum Partnerschaftsabkommen AKP/EG.	- My group supports the recommendation on the ACP/EC Partnership Agreement.
Wir begrüßen, dass die Beziehungen der Union zu den AKP-Staaten inzwischen ein beachtliches Niveau erreicht haben.	We welcome the fact that the EU's relations with the ACP States have, in the meantime, achieved a high level.
Über den unmittelbaren Handelsaustausch sind in dem Abkommen von Cotonou neue Felder der Zusammenarbeit erschlossen worden.	New areas of cooperation have been opened up by means of direct commercial exchanges under the Cotonou Agreement.
Um so befremdlicher ist es, dass dieses Abkommen erst von zwei der 15 EU-Staaten ratifiziert worden ist.	This makes it all the more disconcerting that only two of the Fifteen EU States have ratified this Agreement.
Das Abkommen stellt gegenüber seinen Vorgängern zweifellos einen Fortschritt dar, weil es stärker die Interessen der AKP-Staaten berücksichtigt. Dennoch kann von wirklicher Gleichheit und Gleichberechtigung keine Rede sein.	There is no doubt that the Agreement represents an improvement on its predecessors, because it takes the interests of the ACP States into account to a greater degree, yet we are not dealing here with real parity and equal treatment.
Es ist unredlich, wenn die Union einerseits von den AKP-Staaten Anstrengungen zur Entwicklung einer selbsttragenden Wirtschaft verlangt, aber gleichzeitig durch Subventionierung der Exporte die Ansätze dazu im Keim erstickt.	It is dishonest of the EU, on the one hand, to demand of the ACP States efforts to develop a self-supporting economy, whilst at the same time using export subsidies to stifle early attempts at doing so.
Auch politisch wird den AKP-Staaten nicht das Mitspracherecht eingeräumt, das ihnen gebührt.	Nor, politically, are the ACP States granted the power of co-decision that is their due.
Die ärmsten Länder, welche die größte Unterstützung brauchen und für die gründlich erarbeitete Konzepte für Entwicklungspolitik und Zusammenarbeit erforderlich sind, haben kaum die Möglichkeit, an den parlamentarischen Versammlungen der EU und der AKP-Staaten teilzunehmen.	The poorest countries, which need the most support and for which thoroughly worked-out approaches to cooperation and development policy are a necessity, have few if any opportunities to take part in the parliamentary assemblies of the EU and of the ACP States.
Besonders bedauerlich ist aus meiner Sicht, dass die Union nach wie vor ein gespaltenes - um nicht zu sagen gestörtes - Verhältnis zum Karibikstaat Kuba hat und sich hier mehr an amerikanischen Interessen als an eigenen orientiert.	I see it as particularly regrettable that the EU still has a split - not to say distorted - relationship with Cuba, a Caribbean state in relation to which it lets itself be guided more by American interests than by its own.
Die belgische Präsidentschaft war bemüht, das Eis in den Beziehungen zu brechen und Wege für den Dialog zu öffnen.	The Belgian Presidency was keen to break the ice in relations with Cuba and to open up channels for dialogue.
Sie ging dabei von drei wichtigen Überlegungen aus:	In doing this, it worked on the basis of three important considerations:
1. Man muss sich von Seiten der EU und ihrer Mitgliedstaaten gründlicher mit der Situation in Kuba beschäftigen und die Realitäten vorurteilsfrei zur Kenntnis nehmen;	1. The EU and its Member States must pay closer attention to the situation in Cuba and take note of the facts in an unprejudiced way;
2. Man muss auf beiden Seiten die politisch-parlamentarischen und sozialökonomischen Unterschiede erkennen und sie in bestimmter Weise gegenseitig akzeptieren;	2. Both sides must acknowledge the political, parliamentary and socio-economic differences and mutually accept them in a particular way;
3. Man darf nicht den Weg gegenseitiger Überforderung gehen.	3. We must not go down the road of making excessive demands of each other.
An Kuba werden zum Teil Anforderungen gestellt, die in einer Reihe von EU-Staaten nicht eingehalten werden.	Certain demands are being made of Cuba that are not being met in a number of EU States.
In den von Ministerpräsident Aznar vorgetragenen Vorstellungen für die spanische Präsidentschaft vermisste ich ein klares Bekenntnis zur Fortsetzung des Dialogs mit dem Ziel, möglichst noch in diesem Jahr ein Partnerschaftsabkommen zwischen der EU und Kuba zu schließen.	When Mr Aznar presented the programme for the Spanish Presidency, I regretted the lack of any clear commitment to continue dialogue towards the objective of concluding a partnership agreement between the EU and Cuba, if at all possible before this year is out.
Ich habe Sorge, dass die erreichten bescheidenen Fortschritte zunichte gemacht werden.	I am concerned that the modest progress we have achieved may be brought to nought.
Der stellvertretende Außenminister Kubas, Dalmas, mit dem Vertreter meiner Fraktion im Dezember vorigen Jahres gesprochen haben, hat ausdrücklich die Hoffnung und die Bereitschaft seines Landes für eine Fortsetzung und Intensivierung des Dialogs mit der EU zum Ausdruck gebracht.	Mr Dalmas, the Deputy Foreign Minister of Cuba, with whom representatives of my group had talks in December last year, clearly expressed his country's hopes for a continued and more intensive dialogue with the EU, and its willingness to engage in it.
Erfahrungen in der Politik besagen, dass ein abgerissener Gesprächsfaden nur schwer wieder zu knüpfen ist.	Political experience tells us that it is hard to put a broken thread of conversation together again.
Kuba sollte aus dem AKP-Prozess nicht ausgegrenzt, sondern mit der weiteren Entfaltung des Dialogs konstruktiv in diesen Prozess einbezogen werden.	Cuba should not be excluded from the ACP process, but constructively involved in its further development through dialogue.
