schriftlich. - Die ersten drei Jahre im Leben eines Kindes sind entscheidend für die Entwicklung des Gehirns und das Erlernen von Sprachen.	The first three years of a child's life are crucial for the development of the brain and for language learning.
Der Spracherwerb ist die Basis zum logischen Denken und zum Verstehen von Zusammenhängen.	Language acquisition is the basis of logical thinking and contextual understanding.
Ohne ein gewisses Sprachniveau ist ein weiteres Lernen kaum möglich. Denn die Sprachdefizite werden mit fortschreitendem Alter nur schwer aufgeholt.	Without a certain level of language acquisition, further learning is scarcely possible, as the language deficits can only be overcome with great difficulty with increasing age.
Der Bericht stellt fest, dass die meisten Migrantenkinder in der EU ohne ausreichende Sprachkenntnisse eingeschult werden!	The report observes that most immigrant children in the EU are educated without adequate linguistic knowledge.
Gleichzeitig erklärt der Bericht, dass Migrantenfamilien (sowie Minderheiten wie ROMA) Angebote frühkindlicher Bildung viel weniger in Anspruch nehmen als andere Familien!	At the same time, it declares that migrant families (and minorities such as the Roma) make much less use of the early years education offered than other families.
Es kann nicht sein, dass das Niveau unserer Schulen immer weiter absinkt, weil viele Schüler den Unterricht schlicht und einfach nicht verstehen!	We cannot allow it to be the case that the level of our schools continues to fall and fall because so many pupils quite simply cannot understand the teaching.
Jedes Kind, - ob Migrant oder nicht -, muss die Landessprache bei Schuleintritt so weit beherrschen, dass es den Unterricht verfolgen kann!	Every child - migrant or not - must have mastered the national language by the time they enter school to a degree that enables them to follow the teaching taking place there.
Der Bericht bietet dafür keine sinnvollen Lösungsansätze.	The report offers no meaningful attempts to solve this problem.
Vielmehr geht es in Richtung totale Bevormundung der Eltern und Verstaatlichung in Bezug auf Kindererziehung.	Instead, it leans towards complete nannying of the parents and a state takeover of child-rearing.
Ich habe daher gegen den vorliegenden Bericht gestimmt.	I therefore voted against this report.
