. – Herr Präsident!	.
Mit sieben Berichten versucht dieses Parlament heute gemeinsam, eine umfassende Position zum Terrorismus zu finden und den Kampf gegen diesen Terrorismus zu organisieren.	Mr President, with seven reports today, this Parliament is trying to arrive at a comprehensive common position on terrorism and to organise the fight against that terrorism.
Die Aufgabe, der wir uns damit unterziehen, ist ungeheuer.	This is a monumental task that we are undertaking.
Ich will sie einmal benennen: Die Aufgabe besteht darin, einen Kampf zu gewinnen gegen einen Gegner, der alle Menschlichkeit ablegt, jede Regel und jedes Gesetz bricht, jede Grenze verachtet, keine Mäßigung kennt und in Verblendung die verbrecherische Absicht verfolgt, die Freiheit des Menschen abzuschaffen.	Allow me to specify what it entails. The task is to win a struggle against adversaries who cast aside all human qualities, break every rule and every law, disregard national and moral boundaries, know no restraint and fanatically pursue the criminal aim of abolishing human freedom.
Bei diesem Kampf geht es darum, ihn zu gewinnen, ohne selbst die Mäßigung zu verlieren, die Menschlichkeit abzulegen, die eigenen Gesetze zu verraten und die Freiheit des Menschen im eigenen, inneren Bereich zu gefährden.	Our goal is to win this war without sacrificing our own decency, casting aside our humanity, betraying our own laws or endangering personal freedom within our own domestic territory.
Das ist die Aufgabe, und sie ist unerhört schwierig.	That is the task, and it is incredibly difficult.
Selbst im Krieg hat man über Jahrhunderte gemeinsame Regeln entwickelt, und hier stehen wir im Kampf einem Gegner aus dem Dunkeln gegenüber – ungreifbar und ohne jede Grenze.	Even for war, common rules have been developed over the centuries, but here we are faced with adversaries lurking in the shadows, imperceptible and transcending all borders.
Das macht eine große Entschlossenheit und ein gemeinsames Vorgehen notwendig. Aber es erfordert ebenso die Einsicht, dass wir nicht mit dem Wort Terrorismus die innere Sensibilität abstumpfen lassen und eine Generalvollmacht für jede Art von Kampf ausstellen dürfen.	This makes firm resolve and a common approach essential, but it also requires us to realise that we must not let our sensitivity to our own people’s needs and rights be deadened at the sound of the word ‘terrorism’ or give for the use of any and every instrument in the war on terrorism.
Der Berichterstatter Alvaro hat dies angesprochen.	Mr Alvaro, one of the rapporteurs, raised this point.
Es ist mir besonders wichtig, darauf hinzuweisen, dass mir die Grundrechte, die Demokratie, die Rechtsstaatlichkeit hier nicht ausreichend geschützt erscheinen.	I believe it is particularly important to emphasise that fundamental rights, democracy and the rule of law do not seem to be adequately protected by the provisions of this draft.
Etwas stellt uns allerdings vor eine neue Situation.	There is another aspect, however, that confronts us with an entirely new situation.
Dieser gesamte Bericht González geht davon aus, dass die Europäische Verfassung in Kraft tritt.	The whole González report is based on the assumption that the European Constitution will enter into force.
Sie schafft die Grundlagen mit der Charta der Grundrechte, der Mitentscheidung des Parlaments, der Öffentlichkeit, der Gesetzgebung, der Solidaritätsklausel, der informationellen Selbstbestimmung des Menschen, der parlamentarischen und gerichtlichen Kontrolle, der Auflösung der Säulenstruktur zugunsten eines gemeinschaftlichen Europas.	It builds on the foundations of the Charter of Fundamental Rights, parliamentary codecision, open legislative processes, the solidarity clause, the right to determine the disclosure and use of one’s own personal data, parliamentary scrutiny, judicial review and the dissolution of the pillar structure in favour of a unified Europe.
Das ist kein Wunsch und kein Traum, der womöglich vor unseren Augen zerbricht, nein, das ist absolute, unabdingbare und unverzichtbare Voraussetzung für dieses Maßnahmenpaket, für seine Legitimation und für die Wahrung der Grundrechte!	This is not wishful thinking or a dream that may be set to crumble before our eyes. No, it is an absolute, imperative and indispensable prerequisite for this package of measures and its legitimacy and for the defence of fundamental rights.
Ohne diese Voraussetzung, ohne die Europäische Verfassung sehen wir uns nicht in der Lage, diesem Maßnahmenkatalog zuzustimmen, sehen wir die Balance des Raumes von Recht, Sicherheit und Freiheit nicht gewahrt.	Without this prerequisite, without the European Constitution, we are in no position to approve this catalogue of measures, because there is no guarantee that the balance between justice, security and freedom will be preserved.
Wenn man noch hinzufügt, dass in der Frage der Umwandlung von Europol in eine Agentur, dass in der Frage der Überführung des Koordinators für die Terrorismusbekämpfung in die Kommission bisher nicht mehr vorliegt als unsere Forderung – keine Zusage, keine Klärung –, dann besteht hier die Gefahr, dass wir die Balance verlieren und dass wir die Freiheit der Bürger gefährden.	Add to this the fact that, on the issue of converting Europol into an agency and of transferring the Counter-terrorism Coordinator to the staff of the Commission, there is still no more on the table than our request – no consent, no explanation – and it becomes clear that we run the risk of upsetting the balance here and jeopardising our citizens’ freedom.
