Herr Präsident! Ich möchte mich den Worten von Herrn Posselt anschließen.	I rise to endorse Mr Posselt's comments.
Ich werde bestimmt nicht gegen diese Vorschläge sprechen, aber ich möchte trotzdem darauf aufmerksam machen, daß wir in diesem Parlament vielleicht nicht genug verstehen, welchen gewaltigen Einfluß wir ausüben können und was wir diesbezüglich machen können.	I certainly do not intend to oppose these proposals, but I would nevertheless like to emphasize that we in this Parliament fail to understand just what an enormous influence we can have, and what we can achieve in this area.
Ich möchte hier ganz besonders den Fall von Mikhael Arzinknow hinweisen.	I would like to mention in particular the case of Michael Arzinkov.
Diesem wurde seinerzeit, weil er ein islamischer Aktivist war, der Paß entzogen, die Ausreise verboten, und als er ihn dann zurückverlangte, wurde ihm gesagt, er könne ihn nicht bekommen, solange er sich nicht einer psychiatrischen Untersuchung unterziehe.	Because he was an Islamic activist, he had his passport withdrawn and was forbidden to leave the country, and when he demanded his passport back, he was told that he would not be given it until he had submitted to a psychiatric examination.
Herr Präsident! Das sind Tatsachen, die die Politik des Präsidenten Islam Karimow umschreiben.	Mr President, these are the kind of facts that define President Islam Karimov's policies.
Es ist, wie Herr Posselt mit Recht gesagt hat, zu erkennen, daß es sich hier um ein Volk handelt, das verwildert ist durch die Unterdrückung, die lange Zeit stattgefunden hat, so daß wir diesem Volk Verständnis entgegen bringen müssen.	As Mr Posselt has quite rightly said, it has to be recognized that this is a people which has been demeaned by years of suppression, so we need to give them our understanding.
Aber: Die Tatsache, daß, nachdem unsere Delegation dort interveniert hat, wenigstens der Paß zurückgegeben wurde, beweist, daß wir etwas erreichen können!	However, the fact that after our delegation there intervened the passport was at least returned demonstrates that we can achieve something!
Daher wäre es vielleicht von entscheidender Wichtigkeit, die Annahme dieses Abkommens, das ich bejahe, mit der Feststellung zu verbinden, daß auf dem Gebiet der Menschenrechte unendlich viel nachzuholen ist.	For that reason, it might have a decisive impact if we associated the acceptance of this agreement - which I support - with a statement that there is still an enormous amount of catching up to do on human rights.
Speziell auch für die religiösen Rechte, denn auch der Islam wird ja schärfstens unterdrückt.	This applies above all to religious rights, as Islam is very fiercely repressed there.
Wenn man sich vor Augen hält, daß z.B. die Rufe des Muezzin verboten worden sind, ist das doch ein Zeichen äußerster religiöser Verfolgung.	For example, the calls of the muezzin are forbidden, a sign of extreme political persecution.
Ganz abgesehen davon, daß eine ganze Reihe von führenden islamischen Persönlichkeiten, wie z.B. Herr Nazarow, immer wieder eingesperrt werden, sogar in ihrem Haus bedroht worden sind und ihre Familie unter Druck gesetzt wurde.	Not to mention the fact that a whole string of leading Islamic figures, such as Mr Nazarov, are constantly locked up or threatened in their own homes, and their families subjected to various pressures.
Aber das gilt auch für die Christen.	The same applies to Christians.
Denn z. B. der Vertreter der Baptisten, Herr Rashid Durebajew, ist ebenfalls vor Gericht gestellt worden und wird womöglich für drei Jahre ins Gefängnis kommen.	For example, the Baptist representative, Mr Rashid Durebayev, has also been tried and may possibly face three years in prison.
In diesen Gefängnissen - das ist bekannt - sind die Zustände derart unbeschreiblich, daß die Menschen nach relativ kurzer Zeit an Krankheiten und Mißhandlungen sterben.	It is well known that conditions in these prisons are so fearful that people die from illness or mistreatment in a relatively short time.
Ich möchte daher sehr bitten, sagen wir ja zu diesem Vertrag, aber nützen wir diesen entscheidenden Einfluß, den wir haben können.	So I implore you, let us support this Agreement, but let us also make use of the influence that we can bring to bear.
Der von mir angeführte Fall hat gezeigt, daß Usbekistan sich in religiösen Fragen, aber auch bei allen anderen Problemen der Menschenrechte anständig verhält.	The case I have quoted demonstrates that Uzbekistan has a capacity for decency not only in religious matters but also on all other problems.
