Herr Präsident!	.
Das vorliegende Paket von Verordnungsvorschlägen beinhaltet die Neufassung und Vereinfachung des gesamten EU-Lebensmittelrechts.	Mr President, the package of proposals for regulations we have before us aims to reformulate and simplify the entire body of EU food law.
Im Verordnungsentwurf, für den ich Berichterstatter bin, geht es um spezifische tierseuchenrechtliche Vorschriften für Lebensmittel tierischen Ursprungs und ihre Einfuhr aus Drittländern mit dem Ziel, die Verbreitung von Tierseuchen bei der Vermarktung dieser Produkte zu verhindern.	The draft regulation for which I am rapporteur lays down specific animal-health rules governing the production, placing on the market and importation from third countries of products of animal origin, with the objective of preventing the spread of animal diseases in connection with the marketing of these products.
Derzeit wird dieser Bereich von sieben verschiedenen Richtlinien geregelt.	At present, this area is governed by seven different directives.
Dem vorliegenden Verordnungsvorschlag zufolge sollen nun die tierseuchenrechtlichen Vorschriften transparenter gestaltet und die bestehenden Richtlinien in einem Verordnungstext zusammengefasst werden.	The proposal for a regulation under consideration is intended to make the animal-health rules more transparent and encompass the existing directives within a single text.
Ich begrüße dabei ausdrücklich, dass die Kommission das Rechtsinstrument der Verordnung gewählt hat, um zukünftig eine einheitliche Anwendung der Vorschriften in der gesamten Europäischen Union sowie in den Drittstaaten zu gewährleisten.	I particularly welcome the fact that the Commission has deliberately chosen a regulation as the legal instrument so as to ensure that the rules will in future be enforced in the same way in the EU as a whole and in third countries.
Insgesamt unterstütze ich den Vorschlag, auch wenn ich eine grundsätzliche Kritik an dem Vorschlag anzubringen habe.	Overall, I support the proposal, even if I have one fundamental criticism of it.
Die Kommission hat an vielen Stellen auf das Verfahren des Artikels 11, d. h. das Regelungsverfahren im Rahmen der Komitologie, zurückgegriffen.	In many places the Commission has used the procedure referred to in Article 11, that is to say the committee procedure.
Das ist nicht unüblich und ist auch nichts Besonderes.	This is neither unusual nor anything special.
Gerade im Bereich der Seuchenbekämpfung ist es richtig und wichtig, dass die Kommission auf neue wissenschaftliche Erkenntnisse und unvorhergesehene Situationen schneller und besser reagieren kann, ohne jedes Mal ein langwieriges Legislativverfahren einleiten zu müssen.	Particularly in the field of animal disease prevention it is right and important for the Commission to be able to react more quickly and effectively to new scientific developments and unforeseen situations, without having to embark on a cumbersome legislative procedure every time.
Im vorliegenden Fall geht mir aber die Anwendung des Komitologieverfahrens, an dem das Europäische Parlament nur ungenügend beteiligt ist, etwas zu weit.	However, in this case I believe that rather too much use is made of the committee procedure.
Ich habe daher an einigen Stellen des Verordnungstextes Ergänzungen, vielleicht auch Präzisierungen vorgesehen, die gewisse Kriterien vorgeben.	In some places I have therefore introduced either additions or refinements to the text of the regulation establishing certain criteria.
Erstens: Ausnahmen dürfen nur dann gewährt werden, wenn es die Seuchenlage gestattet und wenn dadurch das Niveau des Tierseuchenschutzes auf keinen Fall beeinträchtigt wird.	The first of these is that exceptions should only be granted if the animal disease situation does not prevent it and if it would in no way adversely affect the level of protection against animal diseases.
Zweitens: Es muss sich um unangekündigte und in unregelmäßigen Abständen durchgeführte Kontrollen handeln.	Secondly, unannounced checks should be carried out at irregular intervals.
Drittens: Bei der Erstellung der Drittlandslisten müssen alle zusätzlichen Elemente, auch die personelle Ausstattung der Kontrollbehörden und die Zuverlässigkeit der von den Drittlandsbehörden übermittelten Informationen mit berücksichtigt werden.	Thirdly, when lists of third countries are being drawn up, all additional factors such as the adequacy of staffing levels in the control authorities and the reliability of the information provided by authorities in third countries must be taken into account.
Darüber hinaus habe ich zwei neue Vorschläge in meinen Bericht aufgenommen.	In addition, I have included two new proposals in my report.
Zum einen sollen sowohl die Mitgliedstaaten als auch die Behörden der Drittländer der Kommission auf Anfrage einen Bericht über die von ihnen durchgeführten Kontrollen vorlegen müssen, aus denen dann insbesondere die Kontrollfrequenz, die Art der vorgefundenen Mängel und Verstöße sowie die von den zuständigen Behörden eingeleiteten Sanktionen hervorgehen.	Member States and the authorities of third countries shall, where so requested, submit a report to the Commission on the controls carried out, specifying in particular the frequency of controls, the nature of the failings and infringements found to exist, and the nature of the steps taken by the competent authorities to punish them.
Die Wirksamkeit von Rechtsrahmen - das wissen wir alle - hängt ja in starkem Maße von den durchgeführten Kontrollen ab, und um eine wirkungsvolle Anwendung der Kontrollen in den Mitgliedstaaten sicherzustellen, sind solche ausführlichen Kontrollberichte unerlässlich.	We all know that the effectiveness of the legal framework depends to a large extent on controls carried out, and detailed control reports of this kind are essential if the effective application of controls in Member States is to be guaranteed.
Sie sind ja dann auch eine Hilfe für die Kommission, um auf bestimmte Schwachstellen sofort reagieren zu können.	They also allow the Commission to react immediately to any weak points identified.
Zum anderen sollte die Kommission eine Liste mit Kategorien möglicher Verstöße gegen diese Verordnung, ihre Durchführungsvorschriften oder Schutzmaßnahmen erstellen und jeweils beurteilen, ob diese von den zuständigen nationalen Behörden straf- oder verwaltungsrechtlich geahndet werden müssen.	The Commission should also draw up a list of categories of possible infringements of this regulation, its implementing rules or safeguard measures and should determine in each instance whether the infringements are punishable by the competent national authorities under criminal or administrative law.
Wird gegen die Bestimmungen der Verordnung verstoßen, so müssten die Sanktionen möglichst einheitlich für alle Mitgliedstaaten festgelegt werden.	If the provisions of the regulation are infringed, uniform sanctions should as far as possible be established for all Member States.
Es kann nicht sein, dass dasselbe Vergehen in dem Mitgliedstaat Nr. 1 mit anderen Folgen belegt ist als in dem Mitgliedstaat Nr. 2. Dieses Problem, das in anderen Bereichen sicherlich noch dringlicher ist als im vorliegenden Fall, muss einmal gründlich angegangen werden.	It is not acceptable for the same act to have different consequences in Member State No 1 as compared with Member State No 2. This problem, which is certainly even more urgent in other areas than in the case before us today, needs to be fundamentally addressed.
Mit meinem Vorschlag wollte ich hier einen Anfang machen, auch wenn die Kommission dem Ausschuss signalisiert hat, dass eine solche Vorgehensweise juristisch vielleicht zur Zeit nicht praktikabel ist.	It was my intention to make a start here with my proposal, even if the Commission has indicated to the committee that this kind of approach may not be practicable at the moment for legal reasons.
Ich bin dennoch von der Notwendigkeit überzeugt, und die Kollegen im Ausschuss haben mich auch in diesem Sinne bestätigt.	Nevertheless, I am convinced of the need for this and my fellow members of the committee supported me in this.
Zum Schluss möchte ich der Kommission für die konstruktive Zusammenarbeit danken, und ich hoffe, dass das so bleibt.	I would lastly like to thank the Commission for its constructive cooperation and I hope that will continue.
