Herr Präsident! Ich muß Herrn Markov sehr klar widersprechen.	Mr President, I must contradict Mr Markov quite categorically.
Es ist keine einseitige Schuldzuweisung, wenn man davon spricht, daß Rußland Völkermord am tschetschenischen Volk begangen hat, wie dies Lord Judd im Bericht der Beobachtermission des Europarates getan hat.	It is not apportioning blame to one side to talk of the genocide committed by Russia against the Chechen people, as Lord Judd does in the report by the Parliamentary Assembly delegation of the Council of Europe.
Natürlich hat es in diesem Konflikt auf beiden Seiten Übergriffe gegeben, aber die Diagnose von Lord Judd ist ziemlich eindeutig: Völkermord.	Of course, both sides are guilty of infringements, but Lord Judd' s diagnosis is pretty unequivocal: genocide.
Von daher genügt es natürlich nicht, daß wir Rußland auffordern, die Übergriffe und Kriegsverbrechen zu untersuchen.	That is reason enough not to ask Russia to investigate infringements and war crimes.
Es ist sehr ungewöhnlich, daß man den Mörder bittet, gegen sich selbst zu ermitteln, sondern hier brauchen wir internationale Organe.	It would be highly unusual to ask the murderer to investigate himself and we need international bodies to do this.
Wir brauchen endlich den internationalen Strafgerichtshof, und wir müssen die Verantwortlichen auch der Justiz zuführen.	What we need is the international criminal court and we must bring those responsible to justice.
Hierzu müssen wir die russischen Behörden natürlich auffordern, aber wir müssen uns intensiver als bisher einmischen, denn es handelt sich eben nicht um eine simple innere Angelegenheit eines Staates, sondern es handelt sich um Menschenrechtsverletzungen massivster Art in einem Gebiet, das der Menschenrechtskonvention des Europarates unterliegt, in einem Gebiet, das dem Rechts- und Wertesystem der OSZE unterliegt.	Of course, we must call on the Russian authorities here but we too must become more involved than previously, because this is not a simple internal matter of state; it is a question of human rights violations on a massive scale in an area subject to the Human Rights Convention of the Council of Europe, in an area subject to the system of rights and values of the OSCE.
Wir vergessen immer wieder, daß die tschetschenische Regierung unter Aufsicht der OSZE gewählt wurde und daß wir auch für diese legitime tschetschenische Regierung einzutreten haben, doch heute finden wir diese Regierung gar nicht, weil ihre Repräsentanten irgendwo in den Bergen sitzen und um das nackte Überleben kämpfen.	We seem to keep forgetting that the Chechen government was elected under the supervision of the OSCE and that we also need to intercede for this legitimate Chechen government, except that we cannot find this government today, because its representatives are holed up in the mountains fighting for their very survival.
Deshalb warne ich vor einer Pseudoausgewogenheit.	That is why I warn against a pseudo balanced approach.
Natürlich muß man Übergriffe auf beiden Seiten verurteilen, aber man sollte doch nicht den Völkermörder mit seinem Opfer verwechseln, und dies heißt, daß wir ganz klar dafür sorgen müssen, daß nicht nur humanitäre Hilfe geleistet wird - das muß geschehen, und es ist höchste Zeit, daß hier endlich auch von seiten der EU etwas geschieht -, aber wir müssen auch erreichen, daß es zu einer politischen Lösung des Konflikts kommt.	Naturally, we must condemn infringements on both sides, but we should not confuse the perpetrator of genocide with his victims and that means that we must take good care not only to provide humanitarian aid - that must be done and it is high time that something was done by the EU here - but also to ensure that a political solution is found to the conflict.
Eine politische Lösung des Konflikts kann nicht mit den Waffen der russischen Armee erzwungen werden, denn dann wird der Krieg immer wieder in neuer Form als Guerillakrieg oder als Terrorismus oder sonst etwas wiederkommen, als Untergrundkrieg.	A political solution to the conflict cannot be enforced using the arms of the Russian army, because then the war will just keep breaking out in new forms as guerrilla war or as terrorism or as some other form of underground war.
Wir müssen also dafür sorgen, daß es mit den gewählten Vertretern des tschetschenischen Volkes zu einer Verhandlungslösung kommt.	So we need to ensure that a negotiated solution is reached with the elected representatives of the Chechen people.
Wenn heute hier vom Selbstbestimmungsrecht der Westsahara die Rede war, möchte ich schon sagen, auch das tschetschenische Volk hat ein Lebensrecht, und wir müssen dem tschetschenischen Volk sein Lebensrecht sichern, entweder in Gemeinschaft mit Rußland oder aber auf einem eigenen Weg.	Today we discussed the right to self-determination in the Western Sahara; I should like to point out that the Chechen people also has a right to life and we must safeguard the Chechen people' s right to life, either jointly with Russia or on our own.
So weit sind wir heute nicht, aber wir haben heute früh von einem Experten erfahren, wie die russische Gesellschaft sich derzeit radikalisiert.	We have not yet reached that point, but we did hear how Russian society is currently becoming more radical from an expert this morning.
Wir sind für die Freilassung des russischen Journalisten Babitzky eingetreten.	We interceded for the release of the Russian journalist Mr Babitsky.
Er hätte heute hier im Europäischen Parlament sein sollen und über die Lage in Tschetschenien berichten sollen, die er als Augenzeuge erlebt hat.	He was due to visit the European Parliament today and give us an eye witness account of the situation in Chechnya, but he was not allowed to leave Russia.
Herr Babitzky durfte aus Rußland nicht ausreisen. Er durfte nicht nach Straßburg kommen, weil die russischen Behörden Angst haben vor der freien und offenen Aussage eines unabhängigen Journalisten, der beide Seiten kritisch sieht, der die Wahrheit hier beleuchten und auf den Völkermord am tschetschenischen Volk hinweisen wollte.	He was not allowed to come to Strasbourg because the Russian authorities are frightened of the free and open report of an independent journalist who looks at both sides critically and wished to throw some light on the truth here and reveal the genocide being committed against the Chechen people.
Das ist skandalös, das können wir nicht hinnehmen.	It is a scandal and we cannot accept it.
Pressefreiheit für Rußland ist auch ein Dienst am russischen Volk!	Freedom of the press for Russia is also a service to the Russian people.
