Herr Präsident, Kolleginnen und Kollegen, Herr Kommissar!	Mr President, ladies and gentlemen, Commissioner.
Sie sind nun von drei Kolleginnen und Kollegen gelobt worden, und es wird Sie vermutlich überraschen, wenn ich mich diesem Lob ausdrücklich anschließen will.	You have now received the praises of three Members and it will probably come as a surprise to you when I join them in their praises.
Ja, ich will ausdrücklich ein Kompliment aussprechen, dass Sie mit dem, was Sie auf den Weg gebracht haben, vom Grundsatz her die richtige Richtung eingeschlagen haben, denn die alte Gruppenfreistellungsverordnung - bei allen Verdiensten, die sie möglicherweise hat -, ist schlicht und ergreifend nicht mehr up to date.	Yes, I too must compliment you on having basically made a move in the right direction with this initiative, because the old block exemption regulation, for all its good points, is quite simply and painfully out of date.
Sie hat gezeigt, dass sie so viel Mängel hat, dass wir hier wirklich etwas Neues brauchen.	It has proven to have so many shortcomings that we really do need to make a clean sweep here.
Aber Sie haben auch der Versuchung widerstanden, zu sagen: Wir wollen überhaupt keine Freistellungsverordnung mehr.	But you also resisted the temptation to say, let us do away with the block exemption regulation altogether.
Nein, Sie haben einen Vorschlag auf den Weg gebracht, von dem ich denke, der ist in vielen Dingen wirklich zu begrüßen: mehr Markenvertrieb beispielsweise, die Aufhebung der zwanghaften Zusammenführung von Vertrieb und Wartung, also die Möglichkeit zur Trennung der beiden, die Stärkung unabhängiger Werkstätten, unabhängiger Ersatzteilhersteller und anderes mehr.	No, you have submitted a proposal which, to my mind, really does have a great deal to commend it: multiple brand sales, for example, the abolition of the compulsory linking of sales and servicing, which can now be unbundled, more independent workshops, independent spare part manufacturers and much more besides.
Dies ist insgesamt ein Weg zu mehr Wettbewerb im Sinne der Verbraucherinnen und Verbraucher.	On balance, this is the way towards more competition as the consumer understands it.
Allerdings, und das kann eigentlich nicht verwundern, der Teufel steckt im Detail, und an manchen Dingen haben wir natürlich schon ein bisschen etwas auszusetzen.	But, surprise, surprise, the devil is in the detail and needless to say, fault can be found on a few counts.
Aber ich sage hier ausdrücklich: Das ist eine Frage von Details, und wir haben in einer langen Debatte im Ausschuss, wie ich denke, einen guten Kompromiss in vielen Bereichen erzielt. Ich will mich an der Stelle auch ausdrücklich beim Berichterstatter bedanken.	But, let me be perfectly clear, we are talking about details and I think, after a long debate in committee, we have reached a good compromise in several areas, for which we have the rapporteur to thank.
Ich muss allerdings sagen, Herr Kommissar, und das wissen Sie, in einem Punkt habe ich Bedenken: Dieser Punkt hat die location clause, die Niederlassungsklausel zum Inhalt.	However, I must say, Commissioner, as you know, I have reservations on one point and that is the location clause.
Sie wissen, es gibt einfach unterschiedliche Wertungen dieser Klausel.	As I am sure you realise, there are several ways of looking at this clause.
Sie sagen, die Kommission sagt, das, was hier vorgeschlagen wird, bringt mehr Wettbewerb, und es bringt ausdrücklich niedrigere Preise.	You say - the Commission says - that what is being proposed here is good for competition and will slash prices.
Ich habe meine Sorge, ob das so stimmt.	I have my doubts.
Ich frage mich, ob das wirklich Wettbewerb ist, was da vorgeschlagen wird und ob das mehr Wettbewerb bringt.	I wonder if what is being proposed really is competition and if it really will improve competition.
Denn das, was hier vorgeschlagen wird, heißt nichts anderes, als dass der Hersteller sich seinen Vertrieb aussucht und auch von der Zahl her begrenzt.	Because what is being proposed here means quite simply that manufacturers will pick and choose and limit the number of sales.
Von daher gibt es keinen großen Unterschied zum bisherigen System, die können aber untereinander dann wirklich in Wettbewerb treten.	From that point of view, there is little difference in comparison with the old system, except that they really will be able to compete with each other.
Das, was sich im ersten Moment eigentlich plausibel und vernünftig anhört, kann eine große Gefahr mit sich bringen: Weil das ein abgeschlossener Zirkel ist, können die Großen die Kleinen fressen.	What sounds perfectly plausible and reasonable to start with may harbour a huge risk; because it is a closed circle, the big fish will be able to eat up the little fish.
Das ist meine Sorge, dass das im Endeffekt erstens ein Sterben bei den kleinen und mittelständischen Unternehmen im Vertriebssektor bringt, dass die Großen sie fressen werden, dass es dadurch zu einem weiteren Konzentrationsprozess kommt, der noch schneller erfolgt, als es ohnedies schon der Fall ist.	That is what worries me; that the end result will be that the small and medium-sized enterprises in the sales sector will be the first to go, eaten up by the large companies and resulting in more concentration even more quickly than is presently the case.
Das könnte zur Folge haben, dass später die Preise, weil nicht mehr genügend Wettbewerber da sind, wieder nach oben gehen.	That may cause prices to rise again at a later date, due to a lack of competition.
Deswegen lautet unser Vorschlag nicht, den ganzen Vorschlag rauszunehmen, sondern wir sagen: Lasst uns das in die Verordnung mit reinnehmen, aber aussetzen.	That is why we have not suggested doing away with the whole idea. What we are saying is, let us include it in the regulation but postpone it.
Dann können wir wirklich noch einmal prüfen und im Lichte der konkreten Ereignisse neu entscheiden, ob wir bei diesem Vorschlag bleiben oder nicht.	Then we really can look at it again in the light of specific events and decide whether or not to stick with it.
