schriftlich. - Es ist uns allen klar, dass der Klimawandel eine große Herausforderung ist.	in writing. - It is clear to all of us that climate change is a major challenge.
Viele Teile der Welt kämpfen schon jetzt mit den negativen Folgen des Anstiegs der globalen Durchschnittstemperatur und dieser Trend wird auch in den folgenden Jahren weiter anhalten.	Many parts of the world are already struggling to cope with the negative impacts of the rising global average temperature, and this trend will continue in the coming years.
Auch die Menschen in ganz Europa werden die bedrohlichen Auswirkungen des Klimawandels auf Umwelt, Wirtschaft und allgemeines Leben zu spüren bekommen.	People in Europe, too, will feel the threatening effects of climate change on their environment, economy and everyday life.
Eine kohärente Strategie für den Kampf gegen die Klimaänderung ist daher wünschenswert.	A coherent strategy to combat climate change is therefore desirable.
Es ist unabdingbar, dass wir gegen den Klimawandel gleichzeitig an zwei Fronten zu kämpfen versuchen.	We must try to tackle climate change on two fronts simultaneously; that is essential.
Europa muss nicht nur seine Treibhausgasemissionen drastisch verringern, sondern sich auch der Erderwärmung anpassen.	Europe must not only drastically reduce its greenhouse gas emissions; it must also adapt to global warming.
Nur dadurch können wir die Auswirkungen des Klimawandels in Zukunft in den Griff bekommen.	This is the only way for us to curb the impact of climate change in future.
Effizientere Nutzung von Energie und den ohnehin schon knappen Wasserressourcen sind unter anderem Maßnahmen, die zu treffen sind.	More efficient use of energy and our already scarce water resources is one of the measures which must be taken.
Es ist mir nun wichtig, dass die Mitgliedstaaten, die schon mehr zur Bekämpfung des Klimawandels gemacht haben als andere, nicht benachteiligt werden.	I think it is important that Member States which have already done more than others to combat climate change are not put at a disadvantage.
Alle Staaten sollten gezwungen werden, einen entsprechenden Beitrag zu der Milderung des Klimawandels zu leisten.	All states should be compelled to make an appropriate contribution to mitigating climate change.
Der Preis der Untätigkeit wäre einfach zu hoch.	The price of inaction would simply be too high.
