Zunächst verdient das Europäische Parlament Dank und Anerkennung.	First of all, our thanks and recognition are due to the European Parliament.
Es hat sein parlamentarisches Kontrollrecht mit Nachdruck ausgeübt, und dies ist gut so.	It has vigorously exercised its parliamentary right of scrutiny, which is only right and fitting.
Ohne die engagierte Arbeit vieler Ihrer Mitglieder aus allen Fraktionen wäre es nicht zu diesem heilsamen Prozeß gekommen, in dem wir jetzt stehen.	Without the dedicated work of many of your staff from all the political groups, the beneficial process that is now taking place would never have happened.
Die Bürger in unseren Mitgliedstaaten erwarten zu Recht, daß die Institutionen der Europäischen Union mit ihren Steuergeldern verantwortlich umgehen.	The people of our Member States rightly expect the institutions of the European Union to use the revenue from their taxes in a responsible manner.
Aber auch, lassen Sie mich dieses hier in klaren Worten hinzufügen, die Kommission und ihre Mitarbeiter verdienen Respekt und Dank.	But let me add in the clearest possible terms that the members of the Commission and their staff also merit our respect and thanks.
Respekt dafür, daß sie die politische Verantwortung für die in dem Bericht der unabhängigen Sachverständigen dargestellten Sachverhalte übernommen haben, und unseren Dank verdienen die Kommission und ihre Mitarbeiter ebenfalls für die Arbeit, die sie in den vergangenen Jahren geleistet haben für die Europäische Union, für ihre Vertiefung und für ihre Erweiterung.	They deserve respect for having accepted political responsibility for the circumstances described in the independent experts' report; and the Commission and its staff also deserve our thanks for the work they have done over the last few years to deepen and broaden European union.
In ihrer Amtszeit sind für den europäischen Einigungsprozeß strategische Entscheidungen gefallen, zu denen die Kommission wie bei der Einführung des Euro und dem Beginn des laufenden Erweiterungsprozesses wesentlich beigetragen hat.	Strategic decisions were taken during their tenure, such as the introduction of the euro and the start of the present enlargement process, decisions in which the Commission played a vital part.
Dazu gehört nicht zuletzt die Agenda 2000.	Not least among its achievements is Agenda 2000.
Die hier begonnene Arbeit muß sie als noch amtierende Kommission zu Ende bringen, ich hoffe, in wenigen Tagen.	The Commission must complete the work it has started on this initiative while it is still in office, which I hope will be done within a few days.
Europa, die Präsidentschaft, wir alle müssen uns in den nächsten Tagen auf eine voll funktionsfähige Kommission verlassen können.	Europe, the presidency and all of us here must be able to depend on a fully operational Commission in the coming days.
Der Rücktritt der Kommission zeigt, daß sich in Europa langsam, aber stetig eine europäische Öffentlichkeit und eine Stärkung der demokratisch-parlamentarischen Komponente herauszubilden beginnt.	The resignation of the Commission has highlighted the slow but steady development of a European public opinion and the strengthening of parliamentary democracy as a component of the Union.
Nach meiner Überzeugung haben die Grundsätze der Demokratie eine Bewährungsprobe bestanden, und ich begrüße das aus vollem Herzen.	It is my belief that the principles of democracy have stood this test, and I welcome that from the bottom of my heart.
Beifall	Applause
Aber die beklagenswerten und jetzt aufgedeckten Fehler dürfen nicht zur Diskreditierung der gesamten Institution führen.	But the deplorable errors that have now been uncovered must not bring the entire institution into disrepute.
Die Kommission ist seit der Gründung der Europäischen Gemeinschaft vor über 40 Jahren die Schlüsselinstitution für das unbeirrbare Voranschreiten der europäischen Integration.	Since the European Communities were founded more than 40 years ago, the Commission has been the key institution in the unceasing advance of European integration.
Sie hat das Gemeinwohl aller 15 Mitgliedstaaten unparteiisch zu vertreten und muß auch künftig Motor und Initiator der Fortentwicklung europäischer Politik bleiben.	It has to represent the common good of all 15 Member States in an impartial way and must also continue to be the driving force and initiator of new developments in the realm of European policy.
Wir dürfen diese in der Geschichte unserer Nationalstaaten präzedenzlose Institution nicht diskreditieren, wenn wir - und daran gibt es ja wohl keinen Zweifel - die Ziele der Union verwirklichen wollen.	If we wish to achieve the aims of the Union - and there is surely no doubt of that - we cannot afford to discredit an institution which is unparalleled in the history of our nation states.
Die Europäische Union braucht - und dies schnell - eine starke, handlungsfähige Kommission.	The European Union needs a strong Commission with authority to act, and needs it quickly.
Was jetzt notwendig ist, ist eine grundlegende Reform an Haupt und Gliedern, mit der Präsident Santer bereits begonnen hat.	What is now required is the total radical reform that President Santer has already initiated.
Auch dies muß man ausdrücklich anerkennen.	That too must be explicitly recognised.
Die Programme MAP 2000 für eine bessere Organisation und Personalverwaltung sowie SEM 2000 für eine bessere Finanzkontrolle sind Schritte in die richtige Richtung.	The MAP 2000 programme for better organisation and personnel management and the SEM 2000 programme, designed to improve financial control, are steps in the right direction.
Die interne Kontrollbehörde der Kommission UCLAF muß zu einem unabhängigen Kontrollorgan werden.	The Commission's internal inspectorate, UCLAF, must become an independent control body.
Wie soll es jetzt weitergehen?	Where do we go from here?
Es ist ganz entscheidend, daß die Europäische Union in dieser schwierigen Phase ihre Handlungsfähigkeit beweist.	It is absolutely crucial that the European Union should demonstrate its effectiveness at this difficult juncture.
Für den Sonder-ER in Berlin hießt dies: Der deutsche Ratsvorsitz wird alles daran setzen, daß in Berlin ein Gesamtkompromiß zur Agenda 2000 politisch vereinbart werden kann.	As far as the special meeting of the European Council in Berlin is concerned, this means that the German Presidency must do everything it can to broker a political deal on the Agenda 2000 package.
Ein Erfolg in Berlin ist heute notwendiger denn je!	Success in Berlin is now more crucial than ever.
Beifall	Applause
Dieses wird - lassen Sie mich das hinzufügen - eine der für Europa entscheidendsten Wochen werden, denn wir haben in dieser Woche nicht nur Berlin, sondern wir haben in dieser Woche leider auch eine Zuspitzung im Kosovo.	Let me add that this will be one of the most decisive weeks Europe has faced; not only do we have the Berlin meeting this week, but the crisis in Kosovo has regrettably come to a head.
Wir haben den Rücktritt der Kommission.	And we have had the resignation of the Commission.
Die Kumulation dieser drei Krisen zeigt auch, wie groß die Herausforderung ist, mit der wir in Europa, die Nationalstaaten, die Kommission, der Europäische Rat, das Parlament gegenwärtig zu tun haben und wie groß gleichzeitig auch die Verantwortung ist, die wir zu schultern haben, um diese Krisen gemeinsam zu bewältigen.	The accumulation of these three crises also shows how much we in Europe - our nations, the Commission, the European Council and Parliament - have to do at the present time; we have a huge burden of responsibility to shoulder if we are to overcome these crises together.
Die Rundreise von Bundeskanzler Schröder und auch die Beratungen im Allgemeinen Rat von gestern haben uns davon überzeugt, daß alle Mitgliedstaaten diesen Erfolg nachdrücklich wünschen.	The results of the round of visits undertaken by Federal Chancellor Gerhard Schröder, as well as yesterday's discussions in the General Affairs Council, have convinced us that all the Member States ardently desire success in Berlin.
Der Rücktritt der Kommission ist weder ein politisches noch ein rechtliches Hindernis, diesen von uns allen angestrebten Erfolg in Berlin jetzt zu erreichen.	The resignation of the Commission is neither a political nor a legal obstacle to the achievement of the success to which we all aspire.
Die Kommission wird nach dem Vertrag ihre Amtsgeschäfte solange ausüben, bis sie durch eine neue Kommission ersetzt wird.	In accordance with the Treaty, the Commission will continue to perform its official duties until it is replaced by a new Commission.
Das ist notwendig, um einen stabilen Übergang zu sichern.	That arrangement is an essential means of ensuring a stable transition.
Ich bin zuversichtlich, daß Berlin ein Erfolg wird und daß die Agenda 2000 noch in der laufenden Legislaturperiode dieses Parlaments auch formal abgeschlossen werden kann.	I am confident that Berlin will be a success and that Agenda 2000 can be formally adopted before the end of the present legislative term.
Die Voraussetzungen hierfür sind durch die regelmäßigen Kontakte zwischen dem Europäischen Parlament, der Präsidentschaft und der Kommission über den Stand der Arbeiten geschaffen worden.	The way has been prepared by regular contacts between the European Parliament, the presidency and the Commission for progress briefings.
Selbstverständlich wird sich der Europäische Rat in Berlin auch mit den Folgen des Rücktritts der Kommission befassen müssen.	The European Council in Berlin will also have to deal, of course, with the consequences of the Commission's resignation.
Ohne jetzt den sicherlich nicht einfachen Beratungen der Staats- und Regierungschefs vorgreifen zu wollen, läßt sich doch schon heute folgendes sagen: Die notwendigen Entscheidungen für die Einsetzung einer neuen Kommission sind in einer schwierigen politischen und rechtlichen Gemengelage zu treffen: Vertragsübergang vom Vertragszustand Maastricht nach Amsterdam, die konstitutionellen Fragen, die sich daraus ergeben, insgesamt überhaupt die Tatsache, daß wir zum ersten Mal mit all diesen Fragen zu tun haben.	Without wishing to anticipate the discussions of the Heads of State and Government, which will certainly not be easy, I think we can already say that the decisions which need to be taken to appoint a new Commission will have to be reached in a difficult political and legal context, at a time of transition from the situation created by Maastricht to the new Amsterdam regime with the accompanying constitutional issues, coupled with the fact hat we are dealing with all these matters for the first time.
Der Ratsvorsitz hat großes Verständnis für den von allen Fraktionen unterstützten Vorschlag ihres Präsidenten, das Verfahren zur Benennung eines Kandidaten für das Amt des Präsidenten der Europäischen Kommission so schnell wie möglich einzuleiten.	The Council presidency has a great deal of sympathy with your President's proposal, which is supported by all political groups, that the procedure to nominate a candidate for the office of President of the European Commission should be initiated as soon as possible.
Nach diesem Vorschlag könnte das Europäische Parlament die Benennung des neuen Kommissionspräsidenten noch in seiner Apriltagung billigen und noch im Mai - wobei dieses ein sehr ehrgeiziger Ablauf ist - der neuen Kommission zustimmen.	According to that proposal, the European Parliament could approve the nomination of a new Commission President at its part-session in April, and then in May - which is a very ambitious target - it could approve the nomination of the new Commission.
Beifall	Applause
Dabei taucht auch hier wiederum ein besonderes Problem auf, nämlich die Frage der Dauer, für die die Kommission eingesetzt wird bei gleichzeitigem Übergang von diesem Europaparlament zu dem noch zu wählenden, das dann, wie ich höre, am 20. Juli zusammentreten wird und dessen Entscheidung in voller Souveränität ebenfalls nicht vorgegriffen werden kann und darf.	This in turn raises another specific problem, which concerns the length of time for which the Commission is to be appointed, given the fact that its appointment coincides with the transition from the present Parliament to the one which will be elected this summer and which, I am informed, is due to convene on 20 July. The sovereign decision of the new Parliament cannot and must not be pre-empted.
Die zu treffenden Entscheidungen sind von großer politischer Tragweite.	The decisions that have to be taken are of enormous political importance.
Ich möchte Ihnen versichern, daß es das Interesse des Ratsvorsitzes ist, in enger Abstimmung mit dem Europäischen Parlament, den Partnern in der Europäischen Union und der amtierenden Kommission eine rasche und konstruktive Lösung herbeizuführen.	Let me assure you that it is the concern of the Council presidency to arrive at a speedy and constructive solution in close coordination with the European Parliament, the Member States of the European Union and the Commission which is in office.
Die Staats- und Regierungschefs werden sich in Berlin eingehend mit der Frage nach dem weiteren Verfahren und - falls möglich - auch bereits mit der Personalfrage befassen.	In Berlin, the Heads of State and Government will deal in detail with the question of the next steps to be taken and - if possible - may even move on to talk about specific individuals.
Der Ratsvorsitz wird versuchen, noch vor dem Aprilplenum des Europäischen Parlaments eine politische Einigung der Staats- und Regierungschefs auf einen Kandidaten herbeizuführen, der Ihnen rechtzeitig für Ihre Apriltagung benannt werden kann.	The presidency will try to secure a political agreement among the Heads of State and Government on a candidate who could be nominated in time for your part-session in April.
Die jüngsten Entwicklungen geben auch Anlaß - über die Lösung der jetzt akut anstehenden Fragen hinaus -, sich verstärkt darüber Gedanken zu machen, wie - auch mit Blick auf die Erweiterung der Europäischen Union - die Arbeitsweise und die Zusammensetzung der Organe der Union insgesamt künftig gestaltet werden soll.	Besides requiring us to resolve the burning issues of the moment, the latest developments also give us cause to devote more thought to the future working methods and composition of the bodies of the Union in general, especially in the light of the forthcoming enlargement of the European Union.
Das Protokoll zum Amsterdamer Vertrag über die Organe sowie die einschlägigen Schlußfolgerungen des Europäischen Rates von Luxemburg, Cardiff und Wien geben hierfür den Rahmen vor.	The protocol on the bodies of the Union which is annexed to the Treaty of Amsterdam, as well as the relevant conclusions of the European Council summits in Luxembourg, Cardiff and Vienna, have established the framework for our reflections.
Der Ratsvorsitz wird mit Blick auf den Europäischen Rat in Köln in Kürze Vorschläge vorlegen, wie und wann die im Vertrag von Amsterdam nicht gelösten institutionellen Fragen, die vor der Erweiterung geregelt werden müssen, anzugehen sind.	In preparation for the Cologne meeting of the European Council, the presidency will shortly present proposals as to how and when we should address the institutional questions which were not settled by the Treaty of Amsterdam and which have to be resolved before enlargement takes place.
Möglicherweise müssen wir aber noch weitergehen.	However, we may have to go even further than that.
Schließlich ist es ganz wesentlich, die demokratische Kontrolle, die dieses Hohe Haus so effizient ausgeübt hat, weiter auszubauen.	After all, it is absolutely essential to keep developing the democratic control that this House has exercised so efficiently.
Das Vertrauen in die Institution, und das ist die Chance der Krise, muß in vollem Umfang wiederhergestellt werden, denn es darf keine Wiederholung solcher Entwicklungen geben.	Public confidence in the institution must be fully restored, and that is precisely what the present crisis offers us the opportunity to do.
Der europäische Einigungsgedanke würde daran ansonsten substantiell Schaden nehmen.	The developments we have witnessed must never be repeated, otherwise the ideal of European unification would be seriously prejudiced.
Bei den Reformen müssen wir auch die Gewichtung und die Rolle der Organe im Verfassungsgefüge der Union berücksichtigen.	In adopting reforms, we must also consider the relative power of the various bodies and their role within the constitutional fabric of the Union.
Die Kommission ist mit ihrem legislativen Vorschlagsmonopol ein wichtiges Instrument der europäischen Gesetzgebung, für die letztlich der Rat gemeinsam mit diesem Hohen Haus verantwortlich zeichnet.	The Commission, with its exclusive power to initiate legislation, is an important instrument of European lawmaking, for which the Council together with this House are ultimately responsible.
Sie hat auch exekutive Aufgaben, für die sie aufgrund des Vertrages und des Sekundärrechts legitimiert ist.	The Commission is also empowered by the Treaty and secondary legislation to perform executive functions.
Es muß bei den anstehenden Reformen stärker darauf geachtet werden, daß die Kommission nicht ständig mit neuen Aufgaben betraut wird, ohne daß ihr dafür auch die erforderlichen sachlichen, personellen und finanziellen Mittel zur Verfügung gestellt werden.	Greater care must be taken in the forthcoming reform process to ensure that the Commission is not constantly being entrusted with new tasks without being given the material, human and financial resources it requires in order to perform them.
Beifall	Applause
Ich hoffe, daß wir dieses gemeinsam unseren Bevölkerungen zu Hause auch im europäischen Wahlkampf klarmachen, denn ich stoße hier - zumindest in Deutschland - auf eine gewisse Widersprüchlichkeit zwischen der Bereitschaft, weitere Mittel auf die europäische Ebene zu übertragen - was mit weiterem Aufgabenzuwachs notwendig ist -, wo sich dieses nicht erwirtschaften läßt, und der Diskussion, die dann zu Hause stattfindet.	I hope that all of us will also make this clear to our populations at home during the European election campaign, because in this domain - at least in Germany - I encounter a certain ambivalence between, on the one hand, a proclaimed willingness to transfer more funds to Europe, which is essential for the European Union to go on assuming new responsibilities if it cannot raise its own revenue, and, on the other hand, the domestic discussion which then ensues.
Ich finde, wenn man es wirklich ernst meint, dann ist die Konzequenz, die man aus dieser Krise ziehen muß, daß man auch der neuen Kommission die Mittel zur Verfügung stellt, damit sie eine geordnete Abwicklung gewährleisten kann.	I believe that if we are serious about European unification, the conclusion to be drawn from this crisis is that the new Commission must be given the funds it needs to guarantee the orderly management of our affairs.
Beifall	Applause
Jede künftige Reform muß sich darauf konzentrieren, die demokratische Kontrolle und Legitimation von Exekutive und Legislative auf Unionsebene zu stärken.	Every future reform must focus on strengthening the democratic control and legitimation of the executive and legislative branches of the European tier of government.
Dies ist nicht nur ein Gebot der Verfassungstraditionen aller Mitgliedstaaten. Es ist auch unabdingbare Voraussetzung für die Zukunftsfähigkeit der Union.	That is not only dictated by the constitutional traditions of all the Member States; it is also an absolute prerequisite for a viable Union.
Die Krise bietet auch die Chance, die notwendigen Reformen zu beschleunigen und, so hoffe ich, tiefgreifender zu gestalten als ursprünglich vorgesehen.	The present crisis also presents an opportunity to accelerate the reform process and, or so I hope, to make the reforms more incisive than was initially envisaged.
Wir müssen, ja wir können diese Chance im Interesse Europas gemeinsam nutzen!	We must, and indeed we can, seize that opportunity together for the sake of Europe.
Beifall	Applause
