amtierender Ratspräsident. Vielen Dank für Ihre Rückfragen.	Your supplementary questions are very much appreciated.
Ich möchte vielleicht - da das sehr aktuell ist - mit dem Schicksal von Oppositionsführer Morgan Tsvangirai beginnen.	Since it is so very topical, perhaps I might begin with what has happened to the opposition leader Morgan Tsvangirai.
Neuesten Informationen zufolge wurden die vierzehn unverletzten Verhafteten - nachdem sie wie gefordert vor Gericht erschienen sind -, inzwischen wieder nach Hause geschickt, weil das Gericht offenbar erkannt hat, dass es überhaupt keinen Handlungsgrund hat.	According to the most up-to-date information, the 14 persons who had been arrested but not injured - having, as required, appeared in court - were then sent home again, since the court evidently realised that there was no case to answer against them.
Dies gilt noch nicht für Morgan Tsvangirai, der offensichtlich schwer verletzt worden ist.	Mr Tsvangirai, however, who is evidently seriously injured, has not yet been sent home.
Nach den neuesten Informationen hat er einen Schädelbruch erlitten und starke Blutverluste gehabt.	According to the latest information, he has sustained a fractured skull, has lost a great deal of blood, and is at present in intensive care.
Im Augenblick liegt er auf der Intensivstation. Weitere elf Verhaftete sind ebenfalls verletzt worden und konnten deswegen bei der Haftprüfung - wenn man das einmal so modern ausdrückt - nicht erscheinen.	Another eleven persons were also injured in the course of being arrested, and were for that reason unable to appear at what might, if one were to use such modern terminology to describe it, be called the custody hearing.
Ihr Schicksal ist noch unklar.	It is as yet unclear what has become of them.
Wir gehen natürlich davon aus, dass sie genauso wie die anderen Unverletzten ebenfalls frei gelassen werden.	We are of course working on the assumption that they, like the uninjured persons, have also been set free.
Ich will hier noch einmal betonen, dass die Ratspräsidentschaft ihre große Sorge angesichts dieser Misshandlungen und der schweren Verletzungen von führenden Oppositionellen zum Ausdruck gebracht hat: "Die Präsidentschaft unterstreicht erneut die Verantwortung der simbabwischen Regierung für die Sicherheit und Unversehrtheit der Verhafteten, die Präsidentschaft wird weiterhin die Ereignisse in Simbabwe aufmerksam beobachten".	I want to take this opportunity to reiterate that the Council Presidency has expressed its great concern about this mistreatment and the serious injuries sustained by opposition leaders in the following terms: 'The Presidency once more emphasises the responsibility of the Zimbabwean Government for the safety and freedom from bodily harm of the arrested persons, and it will continue to observe closely what happens in Zimbabwe'.
Wir sind also entschlossen, angesichts dieser dramatischen Entwicklungen hier weiterhin aktiv zu bleiben.	We are, then, determined to maintain an active interest in the area in view of these dramatic developments.
Gerade aber, weil diese Entwicklung so gefährlich ist, reagieren verschiedene Staaten sehr unterschiedlich.	It is, however, precisely because this development is so threatening that different states are responding in different ways.
Wir haben hier keine einheitliche Reaktion seitens der afrikanischen Staatenwelt. Zum Beispiel setzt auch das in der Frage angesprochene Südafrika nach wie vor auf stille Diplomatie und will auf diese Weise einen Bruch zwischen den Staaten - gerade mit einem so wichtigen Nachbarstaat - vermeiden.	The response of the community of African states is not uniform; for example, South Africa, which is certainly affected by what is going on, is putting its trust in quiet diplomacy, which it wants to use as a means of avoiding a breach between it and a state that is a neighbour, and a very important one at that.
Dahinter stehen sicherlich auch wirtschaftliche Interessen.	This is, without a doubt, motivated by economic interests.
Wir bemerken auch, dass es hier einen reziproken Prozess gibt. Je stärker der internationale Druck und die Verurteilung des Regimes Mugabe in Simbabwe ist, desto zurückhaltender werden die afrikanischen Staaten, desto mehr üben sie etwas, was sie selbst vielleicht afrikanische Solidarität nennen.	We also see reciprocity at work here, in that, the firmer the international pressure and the stronger the condemnation of the Mugabe regime in Zimbabwe, the more cautious the African states become, and the more they practise what they might well term African solidarity.
Wir müssen das einfach zur Kenntnis nehmen und versuchen, klug mit dieser Situation umzugehen. Das bringt mich zu der anderen Zusatzfrage, die sich auf die Vorbereitung des für Dezember geplanten EU-Afrika-Gipfels in Lissabon bezieht.	We simply have to bear this in mind and try to deal with the situation in an intelligent manner - which brings me to the other supplementary question, which had to do with the preparations for the EU-Africa summit in Lisbon, which is scheduled for December.
Im Augenblick - und darin sehen wir für unsere Ratspräsidentschaft die wichtigste Aufgabe - steht die inhaltliche Vorbereitung dieses wichtigen Gipfels im Vordergrund.	At the moment, we are prioritising the preparation of the substance of this important summit, and we regard this, indeed, as the most important task of our presidency.
Wir haben ja noch einige andere schwierige afrikanische Themen, die sicherlich auch noch unsere Aufmerksamkeit in diesem Jahr erfordern werden, und deswegen glauben wir, dass wir in diesem ersten Halbjahr vor allem eine substanzielle, eine inhaltliche Vorbereitung dieses Afrikagipfels leisten müssen.	There are, of course, still a number of other problematic African issues that will certainly demand our attention in the course of this year, and that is why we believe we have to do a great deal of work, in the first six months of it, on preparing the ground for this Africa Summit.
