Herr Präsident! Die Türkei von heute ist kein Beitrittskandidat für morgen.	Mr President, the Turkey of today is not the accession candidate of tomorrow.
Beim Thema Todesstrafe, Menschenrechte, Minderheiten, Demokratie und Rechtsstaat trennen uns Welten.	We are worlds apart as regards capital punishment, human rights, minority rights, democracy and rule of law.
Kaum weniger tief sind die Gräben in wichtigen Fragen des Wirtschafts-, Sozial- und Umweltrechts - um hier nur einige wichtige Bereiche zu nennen.	Scarcely less deep are the rifts on important matters such as economic, social and environmental legislation, to name but a few areas.
Die andauernde militärische Besetzung eines Teils von Zypern ist kein Beitrag zu Frieden und Sicherheit in Europa.	The continuing military occupation of part of Cyprus is no contribution to peace and security in Europe.
An diesen Fakten führt kein Weg vorbei.	There is no getting around these facts.
Wer anderes sagt, ist im besten Fall scheinheilig.	Anyone who says otherwise is, in the best analysis, hypocritical.
Mit scheinheiligen Floskeln ist kein Vertrauen zu gewinnen, weder beim Partner Türkei, noch bei unseren Bürgern zu Hause.	No trust is to be gained by means of hypocritical set phrases, either in Turkey as our partner, or with our citizens at home.
Daher können wir auch zu wesentlichen Passagen der vorliegenden Kompromißentschließung nicht ja sagen.	Therefore, we cannot say yes to substantial passages in the compromise resolution before us.
Wenn die relevanten Teile nicht aus dem Text gestrichen werden, werden wir die gesamte Entschließung ablehnen.	If the relevant sections are not deleted from the text then we shall reject the whole resolution.
Die Mitgliedschaft der Türkei in der Europäischen Union ist eben kein wichtiger Beitrag für die künftige Entwicklung der Union.	Turkey' s membership of the European Union is not really an important contribution to the future development of the Union.
Wenn wir das richtigstellen, leisten wir einen Beitrag zu mehr Klarheit in der Türkei und für die Türkei.	To put it correctly, we are making a contribution to greater clarity in Turkey and on behalf of Turkey.
Gleichzeitig bleiben wir unseren eigenen Bürgern gegenüber glaubhaft.	At the same time we retain our credibility in the eyes of our own citizens.
Für weitere Fortschritte auf dem langen Weg Europas und der Türkei aufeinander zu werden wir Glaubwürdigkeit dringend nötig haben.	In order to make further progress along the long road which Europe and Turkey must travel to become closer, we urgently need credibility.
In diesem Sinn können wir all das unterstützen, was heute mehrfach angesprochen wurde.	In this sense, we can support everything that has been mentioned many times today.
Dazu zählt beispielsweise die Forderung, die finanziellen Verpflichtungen der Europäischen Union gegenüber der Türkei auf der Grundlage des Finanzprotokolls nicht nur verbal ernst zu nehmen, sondern die entsprechenden Gelder auch freizugeben.	This includes, for example, the requirement to take the European Union' s financial commitments towards Turkey under the financial protocol seriously and not just verbally, but also to make the necessary funds available.
Wenn wir das tun, dann zeigen wir unseren eigenen Bürgern, aber auch der Türkei und den türkischen Bürgern, daß es uns mit der Aufforderung und dem Bekenntnis ernst ist: Wir wollen künftig Partner sein!	In so doing we will be showing both our own citizens, and also Turkey and the citizens of Turkey, that we take invitations and declarations of belief seriously. We do wish to be partners in future!
Das bedingt aber auch, daß wir nicht den zweiten Schritt vor dem ersten tun dürfen, was heute bereits mehrfach zu bedenken gegeben wurde.	This is however conditional upon our not proceeding to the second step before taking the first, as one may already have supposed on many occasions today.
