Herr Präsident! Darf ich zunächst die Gelegenheit nutzen, Herrn Kommissar Bolkestein zu beruhigen.	Mr President, I would like to begin by taking the opportunity to reassure Commissioner Bolkestein.
Wir haben in den beiden Wortmeldungen zum Huhne-Bericht bereits angekündigt, dass die meisten unserer Änderungsanträge bereits zurückgezogen sind.	We have already said in the two interventions on the Huhne Report that most of our amendments have already been withdrawn.
Das haben wir beide hier betont.	Both of us have emphasised that here.
Meines Wissens bleiben zwei Änderungsanträge übrig.	So far as I know, there are two amendments remaining.
Die Kommission wird damit sehr gut leben können, und ich hoffe, auch der Berichterstatter.	The Commission can easily live with that and I hope the rapporteur can, too.
Über die Änderungsanträge wird morgen abgestimmt.	A vote will be taken on the amendments tomorrow.
Aber nun zu meinem eigenen Bericht.	Now to my own report, however.
Wir kennen das in diesem Haus, dass die Tagesordnung sehr oft geändert wird.	We know from experience in this House that the agenda is very often changed.
Wir sind oft mehr oder weniger glücklich darüber.	We are often glad about that to a greater or lesser extent.
Dieses Mal macht es wirklich Sinn - mein Bericht wurde verlegt, damit gestern die Debatte über die humanitäre Situation in Afghanistan geführt werden konnte.	This time there is a real point to it - my report was deferred so that the debate on the humanitarian situation in Afghanistan could be held yesterday.
Das ist allemal noch wichtiger als die weiteren Verfeinerungen, die wir im Binnenmarkt erreichen wollen.	That is certainly more important than the further refinements we want to make to the internal market.
Es erlaubt uns heute auch, so eine Art gemeinsame Debatte zu führen.	It also allows us to hold a kind of joint debate today.
Der Bereich der Finanzdienstleistungen, Dienstleistungen im Allgemeinen und auch der Bericht des Kollegen Radwan, der im Anschluss zur Debatte steht, passen ja sehr gut zusammen.	The field of financial services, services generally and also Mr Radwan' s report, which will be debated next, go together very well.
Wir sind uns sicher alle einig darüber, dass Dienstleistungen im Allgemeinen sowie Finanzdienstleistungen und Informationsdienstleistungen unsere ganz spezielle Aufmerksamkeit verdienen.	I am sure we all agree that services generally as well as financial services and information services deserve our special attention.
Sie werden heute zu Recht als der Schlüsselbereich der europäischen Wirtschaft bezeichnet.	They are rightly described as the key area of the European economy today.
Zwei Drittel der Beschäftigten in Europa sind bereits dem Dienstleistungssektor zuzurechnen.	Two thirds of Europe' s workforce are already employed in the service sector.
Es sind vor allem die Dynamik und die Innovationskraft, die diesen Sektor so wichtig machen, damit wir das Lissabonner Ziel auch erreichen können.	Above all, the dynamism and innovation that make this sector so important will enable us to achieve the objective set in Lisbon.
Wenn wir so einzelne Meinungsverschiedenheiten aus Anlass meines Berichtes haben, dann geht es nie um das Ziel, sondern nur darum, welche Mittel wir als die geeignetsten betrachten, um dieses Ziel zu erreichen.	If my report has given rise to some differences of opinion, they are never about the objective, only about what we consider to be the most appropriate means of achieving that objective.
Zu unterstützen ist sicher der Ansatz der Kommission, in einer ersten Phase alle Schranken zu erheben, alle die Hindernisse aufzulisten, die von den Dienstleistungserbringern empfunden werden, und dann in einer zweiten Phase geeignete Mittel vorzuschlagen.	I am sure we can support the Commission' s approach of identifying all the barriers in a first phase, listing all the obstacles encountered by service providers, and then in a second phase proposing suitable remedies.
Wir sollten aber keine Zeit verlieren.	But we have no time to lose.
Es gibt jetzt das Mittel des Vertragsverletzungsverfahrens.	We now have the remedy of treaty infringement proceedings.
In vielen Fällen könnte vielleicht eine verbesserte Information von Behörden, Kammern und ähnlichen Institutionen über die gegenwärtige Rechtslage schon dazu beitragen, das eine oder andere ungerechtfertigte Hindernis zu beseitigen.	In many cases, better information from authorities, professional bodies and similar institutions about the law as it currently stands could perhaps help to remove some unjustified obstacles.
Von den von der Kommission aufgelisteten dringenden legislativen Maßnahmen hat das Parlament mit einer Ausnahme - das muss ich bekennen, das ist die Reform des öffentlichen Auftragswesens - keine ungebührliche Verzögerung bei allen anderen Punkten zu verantworten.	In all but one of the urgent legislative measures listed by the Commission - I have to admit it is the reform of public contracting - Parliament has not been responsible for any undue delay on any other points.
Der Appell nach Beschleunigung gewisser legislativer Maßnahmen müsste sich da vorwiegend an den Rat richten.	The call for certain legislative measures to be speeded up should therefore be addressed primarily to the Council.
Ich habe schon erwähnt, dass wir jetzt endlich den gemeinsamen Standpunkt zum Fernabsatz von Finanzdienstleistungen bekommen.	I have already mentioned that we have now at last received the common position on the distance marketing of financial services.
Die Beratungen im Rat haben doch sehr lange gedauert.	Discussions in the Council took a very long time.
Ich hoffe, wir können im Parlament Einiges gutmachen und sehr schnell weiterarbeiten.	I hope we can make up some of the lost ground in Parliament and make rapid progress.
Etwas, was jetzt auch schon sehr lange im Rat liegt, sind die beiden Richtlinien über die Situation der Drittstaatenbürger bei der Erbringung von Dienstleistungen - Arbeitnehmer auf der einen Seite und Selbstständige auf der anderen Seite, wo ja durch die Einführung eines Dienstleistungsausweises wichtige Beiträge zur Verwirklichung der Dienstleistungsfreiheit geleistet werden können.	Something else that has already been before the Council for a very long time is the two directives on the situation of third country citizens when it comes to providing services - employees on the one hand and self-employed on the other, where the introduction of a service provision card could make a major contribution to achieving freedom in the provision of services.
Es tut mir auch leid, dass die Kommission selbst in dieser Mitteilung heute diese Maßnahmen nicht mehr als prioritäre Maßnahmen auflistet.	I am also sorry that the Commission itself no longer lists these measures as priority measures in this communication today.
Unsere Meinungsverschiedenheiten beziehen sich im Wesentlichen auf die geeigneten Rechtsinstrumente.	Essentially, our differences of opinion are over which legal instruments will be suitable.
Wir sollten kein Instrument ausschließen.	We should not rule any instrument out.
Wir werden weitere Harmonisierung brauchen.	We will need further harmonisation.
Wir werden auf der Grundlage harmonisierter, koordinierter, weitgehend angenäherter Rechtsordnungen unserer Mitgliedstaaten sicher auch das Ursprungslandprinzip einsetzen können.	I am sure we will be able to implement the country-of-origin principle on the basis of harmonised, coordinated, largely approximated laws in our Member States.
In einigen Restbereichen wird wahrscheinlich auch Artikel 50 des EG-Vertrags weiterhin zur Anwendung kommen.	Article 50 of the EC Treaty will probably also continue to be used in a number of remaining areas.
Ich habe allerdings ein Problem damit, wenn Harmonisierung automatisch als Überregulierung bezeichnet wird und wenn das Ursprungslandprinzip sozusagen als die Wunderwaffe, als das Patentrezept eingesetzt werden soll, das schlagartig alle Probleme löst.	I do, of course have a problem when harmonisation is automatically described as over-regulation and when the country-of-origin principle is to be used as a magic bullet, the cure all to solve every problem at a stroke.
So ist es leider nicht.	Unfortunately, things are not like that.
Wir müssen diesen mühsamen Weg gehen, für das sich jeweils stellende Problem auch das adäquate Instrument zu finden.	We have to go this laborious way of finding the appropriate instrument for every problem that arises.
Ich möchte noch einmal darauf hinweisen, dass ja auch bei der E-Commerce-Richtlinie - so wichtig dort die Rolle des Ursprungslandprinzips ist, und ich bekenne mich voll zum Inhalt dieser Richtlinie - nicht das alleinige Ordnungsprinzip zur Anwendung kommt.	I would again like to point out that even in the e-commerce directive - important as the role of the country-of-origin principle is there, and I fully support the content of that directive - the regulating principle is not the only one to apply.
Die Änderungsanträge, die für morgen eingereicht sind, folgen zwei Prinzipien: die Wahlfreiheit der Rechtsinstrumente aufrechtzuerhalten, uns nicht einzuschränken auf ein einziges Instrument und keine sektorspezifischen Abänderungen zu machen.	The amendments that have been tabled for tomorrow follow two principles: preserving freedom of choice of legal instruments, not confining ourselves to one instrument, and not making any sector-specific changes.
Das ist auch im Sinne der Kommission, die ja bewusst ein sektorübergreifendes Dokument vorlegen wollte.	That is also in line with the Commission' s wishes, since it deliberately wanted to present a document applicable to all sectors.
