. Herr Präsident!	Mr President.
Sollte Basel II, wie vom Baseler Ausschuss ausgearbeitet, auch umgesetzt werden, wird für jene Betriebe, die kein Geld, sprich Kredite, benötigen, der Kreditzugang erleichtert werden.	If Basel II were to be implemented as it has been drafted by the Basel Committee, then it would be easier for businesses that do not need money - that is, loans - to have access to credit.
Umgekehrt wird aber für jene Betriebe, die Kredite, sprich Geld, benötigen, der Kreditzugang drastisch verschlechtert werden.	Vice versa, businesses that do need loans - that is, money - would find access to them drastically more difficult.
In Österreich finanzieren sich z. B. etwa 65 % der Betriebe über Bankkredite.	In Austria, for example, some 65% of businesses are financed by bank loans.
Der EU-Durchschnitt beträgt nur 46 %.	The EU average is only 46%.
Diese Betriebe sind meist schwach mit Eigenkapital ausgestattet.	For the most part these businesses have little equity capital.
Besonders betroffen sind die Bau-, Tourismus- und Gastronomiebranche.	The building, tourism and gastronomy industries are particularly affected.
Die Eigenkapitalquote z. B. der Gastronomiebranche in Österreich beträgt nur 1,75 %.	In Austria, for example, the equity capital of the gastronomy industry is only 1.75%.
Da aber gerade die Eigenkapitalquote in Zukunft für die Kreditvergabe entscheidend sein soll, würden nach Basel II diese Betriebe, also diese Branchen, keine bzw. kaum mehr Kredite erhalten.	Since, however, it will be equity capital that determines the allocation of loans in the future, then, according to Basel II, these businesses and industries will receive no or very few loans.
Die Folgen wären katastrophal.	The consequences would be disastrous.
Die Betriebe könnten nicht mehr investieren und modernisieren und müssten schließen.	Businesses would no longer be able to invest and modernise and would have to close.
Wir würden Tausende, wenn nicht Abertausende Betriebe und Arbeitsplätze verlieren.	We would lose thousands if not many thousands of businesses and jobs.
Ich kann dem Berichterstatter nur zustimmen, wenn er eine Analyse dieser Auswirkungen verlangt, damit die negativen Folgen von Basel II offengelegt, gleichzeitig Gegenmaßnahmen eingeleitet werden, damit diese auch verhindert werden.	I have to agree with the rapporteur's call for these repercussions to be analysed to reveal the negative effects of Basel II and to allow counter measures to be introduced at the same time to prevent them.
