Herr Präsident!	, Chair of the Committee on Budgetary Control.
Zunächst möchte ich Herrn Bösch zu seinem Bericht beglückwünschen. Er hat wirklich gute Arbeit geleistet.	Mr President, I would first like to congratulate Mr Bösch on his report - he has done a really excellent job.
Sein Fazit, dass sich in der Betrugsbekämpfung noch keine spürbaren Verbesserungen ergeben haben, deckt sich im Übrigen mit der Ansicht des OLAF-Überwachungsausschusses.	And his conclusion that there have not yet been any appreciable improvements in the fight against fraud also coincides with the OLAF Supervisory Committee's view.
Auch die Kommission selbst sagt in ihrem Bericht mehrfach, dass sich in 1999 gegenüber den Vorjahren nichts Wesentliches verändert hat, ja die Summe der unrechtmäßig verwendeten Gelder hat sich teilweise erhöht, so zum Beispiel in den Strukturfonds.	Furthermore, the Commission itself says several times in its own report that there were no significant changes in 1999 as compared with previous years, and that the total of unlawfully used funds in fact increased in some areas, for example in the Structural Funds.
Ich betone immer wieder: Hier handelt es sich um Steuergelder.	Let me emphasise once again that we are talking about taxpayers' money here.
Ihren Schutz müssen wir bestmöglich gewährleisten.	We must do our best to protect it.
Um die von der Kommission versprochene Nulltoleranzgrenze zu erreichen, muss vor allem das 1999 geschaffene Amt zur Betrugsbekämpfung OLAF in seiner Unabhängigkeit gestärkt werden.	If we are to reach the zero-tolerance limit promised by the Commission, OLAF, the European Fraud Investigation Office established in 1999, must first and foremost be given greater independence.
So muss zum einen das Personal von außen ohne Einmischung der Kommission rekrutiert werden.	This involves recruiting its staff without interference from the Commission, for example.
Den Vorschlag von Herrn Bösch, den Ernennungsausschuss durch eine unabhängige Persönlichkeit leiten zu lassen, unterstütze ich.	I support Mr Bösch's suggestion that the appointments committee should be chaired by an independent figure.
Zum anderen muss der Direktor selbst eine klare Strukturierung der Aufgaben vorgeben.	And the Director himself must set out in advance a clearly structured programme of work.
Klar ist, wir wollen keine alte UCLAF unter neuem Namen OLAF.	One thing that is clear is that we do not just want the old UCLAF to continue under the new name of OLAF.
Leider wurde die Chance in Nizza vertan, OLAF durch die Schaffung einer europäischen Finanzstaatsanwaltschaft und unter richterliche Kontrolle zu stärken.	Unfortunately, an opportunity was missed in Nice to strengthen OLAF by creating a European Financial Public Prosecutor's Office and putting it under judicial control.
Trotz der langjährigen Forderung des Parlaments und des Einsatzes insbesondere von Kommissar Barnier und von Frau Schreyer kam dieses Thema in Nizza nicht einmal auf die Tagesordnung.	Despite all Parliament's requests over the years and the commitment demonstrated by Commissioner Barnier and Commissioner Schreyer in particular, this subject was not even on the agenda at Nice.
So habe ich jetzt einige Fragen an die Kommission, ob sie gemäß den Punkten 9 bis 12 im Bösch-Bericht Vorschläge für den Einstieg in eine - ich sage - begrenzte Staatsanwaltschaft bis zum 1. Juni 2001 vorlegen wird.	I therefore have some questions for the Commission now, as to whether, in accordance with Paragraphs 9 to 12 of the Bösch report, it will submit proposals by 1 June 2001 for what we might call a European Public Prosecutor's Office with restricted jurisdiction.
Weiter frage ich die Kommission: Noch immer haben nicht alle Mitgliedstaaten das Übereinkommen zum Schutz der finanziellen Interessen der Union ratifiziert und verhindern damit sein Inkrafttreten.	I would also like put this question to the Commission: not all the Member States have yet ratified the Convention on the protection of the European Communities' financial interests and this is preventing it from entering into force.
Welche Länder, die Sie uns bitte nennen, stehen noch aus, und was kann die Kommission tun, um diese untragbare Situation aufzulösen?	Could you please tell us which countries have not yet ratified it and what the Commission can do to remedy this intolerable situation?
Zum Weiteren: Was unternimmt die Kommission, um - wie in Punkt 7/1 ihres Berichts ausgeführt - die unterschiedliche nationale Auslegung des Gemeinschaftsrechts bei der Einziehung von Eigenmitteln zu beseitigen?	Another point: what is the Commission doing to overcome varying national interpretations of Community law on the recovery of own resources, as described in Paragraph 7(1) of its report?
Letztlich zur Rückforderung von unrechtmäßig verwendeten Geldern: Im Bericht der Kommission fehlen Zahlenangaben für das Jahr 1999.	And lastly, there is the recovery of unduly paid funds, for which there are no figures in the Commission's report for 1999.
Kann mir die Kommission angeben, wie viel sie zurückgefordert und erhalten hat im Vergleich zu den errechneten Verlusten, besonders bei den Eigenmitteln im EAGFL und in den Strukturfonds?	Can the Commission tell me how much the Commission has claimed back and received as compared with the losses calculated, especially in the case of own resources in the EAGGF and in the Structural Funds?
