Hierzu möchte ich zwei Beispiele ausführen.	I should like to cite two examples here.
Erstens: Eines der Hauptziele der Erzeugungsbeihilfe ist, den Olivenbauern ein angemessenes Einkommen zur Verfügung zu stellen und ein Marktgleichgewicht zu gewährleisten.	First: one of the main objectives of production aid is to give olive farmers a fair income and guarantee market balance.
Wie der Rechnungshof ganz richtig feststellt, ist aber das "die Erzeugereinkommen betreffende Ziel der Erzeugungsbeihilfe zu keinem Zeitpunkt definiert worden".	As the Court of Auditors quite rightly states, the objective of production aid in relation to producers' income has never been defined.
Das bedeutet, niemand weiß, ob dieses Ziel überhaupt je erreicht wurde, da eine Bewertung nie möglich war.	In other words, no one knows if this objective has ever been achieved, because we have never been able to assess it.
Ähnliches gilt, wenn es um das Marktgleichgewicht geht.	The same applies to market balance.
1998 hat die Kommission festgestellt, dass es 180 Millionen Olivenbäume gibt.	In 1998, the Commission established that there are 180 million olive trees.
Das war damals eine Überraschung, weil Olistat mit wesentlich weniger Bäumen, etwa 140 Millionen, kalkuliert hat.	That came as something of a surprise, because Olistat had reckoned with a lot fewer trees, some 140 million.
Das bedeutet eine Differenz von 40 Millionen Bäumen, das sind etwa 31 % Abweichung.	That is a difference of 40 million trees, a discrepancy of about 31%.
Stellen Sie sich nur einmal vor, Sie denken, Sie seien im Marktgleichgewicht, und dann stellen Sie fest, Sie haben einen Bestand, der um 30% zu hoch ist!	Just consider, you think you have market balance and then you find out that you have 30% too much stock.
In der Tat deutet der Anstieg der Lagerbestände in den letzten zwei Jahren auf einen Überschuss hin.	The increase in stock over the last two years does, in fact, indicate that there is a surplus.
Zweitens: Ähnliche Schwächen zeigte die Ende 1998 abgeschaffte Verbraucherbeihilfe.	Secondly, there were similar weaknesses in the consumption aid abolished at the end of 1998.
Aufzeichnungen, Debitorenbücher, mussten nicht verpflichtend geführt werden.	There was no obligation to keep records or ledgers of accounts payable.
Als Konsequenz ist es zu einem recht hohen Maß an Unregelmäßigkeiten und Betrug gekommen.	As a result, there was a huge amount of fraud and irregularity.
Bei der Wiedereinziehung von zu Unrecht gezahlten Beträgen stehen für den Zeitraum zwischen 1985 und 1998 noch 429 Millionen Euro aus.	EUR 429 million in undue amounts have still not been recovered for the 1985-1998 period.
Gerade einmal 6 % wurden bisher wieder eingezogen.	Only 6% has been recovered so far.
Man denke an den Umbau der Finanzkontrolle und Wiedereinziehung im Zusammenhang mit der Reform der Kommission!	Just think how financial control and recovery were reorganised in connection with the reform of the Commission.
Hier gibt es wahrlich einiges zu tun.	We really do have our work cut out here.
Was die Ausfuhrerstattungen betrifft, wurden nur 13 % der Gelder wieder eingezogen.	As far as export refunds are concerned, just 13% of the money has been recovered.
Wer es ernst meint mit dem Schutz der Steuerzahlerinnen und Steuerzahler der Europäischen Union, macht sich an die Reform dieser Agrarpolitik.	Anyone who takes the protection of European taxpayers seriously just wants to get on and reform this agricultural policy.
Der Bericht des Kollegen Casaca weist den Weg.	Mr Casaca's report shows us how.
