, Verfasser der Stellungnahme des mitberatenden Ausschusses für Recht und Binnenmarkt.	, draftsman of the opinion of the Committee on Legal Affairs and the Internal Market.
Herr Präsident, liebe Kolleginnen und Kollegen! Am 11. Oktober nahm der Ausschuss für Recht und Binnenmarkt meine Stellungnahme zum Weißbuch zur zukünftigen Chemikalienpolitik an.	Mr President, ladies and gentlemen, on 11 October the Committee on Legal Affairs and the Internal Market adopted my opinion on the White Paper on Strategy for a future Chemicals Policy.
Besonders wichtig ist natürlich die EG-weite Harmonisierung der Chemikalienpolitik. Nicht weniger bedeutsam aber sind folgende drei Punkte: erstens, die Praktikabilität des Registrierungssystems.	Harmonisation of chemicals policy across the EU is especially important, but the following three aspects are no less significant. First, the practicability of the registration system.
Bei dem Umfang der zu erhebenden Daten muss der Grundsatz der Verhältnismäßigkeit beachtet werden, damit das System nicht von vornherein blockiert wird.	The amount of data to be collected means we must keep a sense of proportion in order that the system is not congested from the start.
Der genannte Grundsatz ist ebenso auf die geforderte Definition des Verwendungszwecks anzuwenden, das heißt, der Hersteller eines Produkts muss die Definition auf tatsächlich angestrebte Verwendungszwecke beschränken können.	The principle of proportionality is also to be applied to the required definition of use, so that the manufacturer of a product must be able to restrict the definition to actually intended purposes.
Zweitens: eine klare Definition des Substitutionsprinzips.	Secondly, a clear definition of the substitution principle.
Die Definition dieses Prinzips ist in den Mitgliedstaaten unterschiedlich, wenn überhaupt vorhanden.	The definition of this principle varies from one Member State to another, if they have one at all.
Die Verankerung im Gemeinschaftsrecht erfordert eine konsequente und eindeutige Formulierung.	If it is to be laid down in Community law, it will have to be formulated in a consistent and unambiguous way.
Drittens: ein angemessener Schutz der Prüfdaten.	Thirdly, appropriate protection for test data.
Die Notwendigkeit der Wahrung von Geschäftsgeheimnissen ist nicht ausreichend berücksichtigt.	Insufficient account is taken of the need to guard commercial confidentiality.
Gleichzeitig ist der Anmelder vor ungerechtfertigter Verwendung der ermittelten Daten zu schützen, indem das Sicherheitsdatenblatt urheberrechtlichen Schutz genießt.	At the same time, the security data document should be under copyright in order to protect the applicant against misuse of the data obtained.
Der Bericht der Kollegin Schörling ist insofern nicht ausgewogen.	Mrs Schörling's report is to that extent unbalanced.
Die Interessen der chemischen Mittelständler und der Industrie werden nur unzureichend berücksichtigt, was zu Wettbewerbsverzerrungen führen kann.	It takes too little account of the interests of medium-sized chemical businesses and of the industry as a whole, something that can lead to distortions in competition.
Ich empfehle Ihnen daher die Annahme der Änderungsanträge, die aus der Stellungnahme des Ausschusses für Recht und Binnenmarkt resultieren. Diese tragen zur besseren Balance aller beteiligten Interessen bei.	I therefore recommend adoption of the amendments resulting from the opinion of the Committee on Legal Affairs and the Internal Market, which contribute to a better balance of the interests of all interested parties.
