Herr Präsident! Migration ist eine der Prioritäten in der Europäischen Union.	Mr President, migration is one of the priority topics in the European Union.
Die EUROMED-Region ist in dieser Hinsicht eine strategisch wichtige Region für uns.	The Euromed region is, in that respect, a strategically important region for us.
Die EUROMED-Ministerkonferenz zum Thema Migration wird die erste ihrer Art sein, die sich ausschließlich mit dem Themenkomplex befasst und die EUROMED-Partner mit einbezieht.	The Euromed ministerial conference on migration will be the first of its kind to focus solely on this issue and include the Euromed partners.
Umso bedauerlicher ist es, dass keine Konsultation mit zivilgesellschaftlichen Organisationen im Vorfeld der Konferenz stattgefunden hat.	It is therefore all the more regrettable that no consultation with civil society organisations was held in advance of the conference.
Ebenso bedauerlich ist der Ausschluss des Asylaspektes von der EUROMED-Ministerkonferenz, insbesondere im Hinblick auf die hoffnungslose Situation von Flüchtlingen in weiten Teilen des Südens und Ostens der Mittelmeerstaaten aufgrund fehlender angemessener Schutzgesetze.	It is equally regrettable that the aspect of asylum was excluded from the agenda for the ministerial conference, especially bearing in mind the hopeless situation of refugees in many parts of the southern and eastern Mediterranean due to the lack of appropriate legislation to protect them.
Keines dieser Länder hat, wie wir alle wissen, Asylgesetze.	None of these countries, as we know, has any asylum laws.
Nur wenige erkennen den Flüchtlingskommissar der Vereinten Nationen an.	Only a few of them recognise the UN High Commissioner for Refugees.
Libyen, Syrien, Libanon und Jordanien haben die Genfer Konvention zum Schutz von Flüchtlingen nicht ratifiziert.	Libya, Syria, Lebanon and Jordan have not ratified the Geneva Convention relating to the Status of Refugees.
Ebenfalls bedauerlich ist, dass die Mitgliedsländer des Barcelona-Prozesses sich zwar auf die Rechte von Migranten beziehen, aber schweigen, wenn es um die Rechte von illegalen Migranten geht.	It is also to be regretted that the members of the Barcelona Process talk about the rights of migrants but are silent when it comes to the rights of illegal migrants.
Tatsache ist allerdings, dass auch illegale Migranten Rechte haben. Wenn es beispielsweise um die Einklagbarkeit von Gehältern geht, wenn es um den Zugang zur Bildung für die Kinder geht oder um die medizinische Grundversorgung, insbesondere für weibliche Migranten, gelten diese Schutzbestimmungen.	The fact is that illegal migrants also have rights, especially when it comes to the enforceability of wages, access to education for their children, or basic medical care, especially for women migrants, where the relevant protective provisions apply.
Wer die Kooperation auf dem Gebiet der Bekämpfung von illegaler Migration möchte, der darf den Respekt von Migranten- und Flüchtlingsrechten nicht verweigern bzw. vernachlässigen.	If we want cooperation in our efforts to combat illegal migration, we must not deny or neglect one aspect: respect for the rights of migrants and refugees.
