Herr Präsident! In Helsinki ist in der Tat eine historische Entscheidung gefallen.	Mr President, an historic decision has indeed been taken in Helsinki.
Es ist ein Wechsel auf die Zukunft, von dem, seien wir ehrlich, weder Sie noch wir wissen, wie wir ihn einlösen können.	It is a cheque made out to the future and, to be frank, neither you nor we know how we can honour it.
Nach der einstimmigen Entscheidung zum Erweiterungsprozeß kann und wird von uns der Ernsthaftigkeit unseres Willens und des Willens der Türkei, den Kopenhagener Kriterien möglichst bald zu entsprechen, kein Zweifel mehr entgegengesetzt werden.	After the unanimous vote on the enlargement process, no further doubt can or will be cast on the seriousness of our intentions and of Turkey' s intention to meet the Copenhagen criteria as quickly as possible.
Nach dem Willen des Gipfels von Helsinki soll die Europäische Union in wenigen Jahren 28 Staaten umfassen.	It is the will of the Helsinki Summit that the European Union should number 28 Member States in a few years' time.
Dann, Herr Ratspräsident, Herr Kommissionspräsident, stellen sich allerdings einige Fragen nach der Dimension dessen, was wir beschlossen haben.	However, Mr President-in-Office of the Council, Mr President of the Commission, a number of questions then arise as to the scope of the decisions which have been taken.
Glauben Sie wirklich, daß mit der Beseitigung der left overs von Amsterdam unsere Union mit 27 oder 28 Mitgliedstaaten handlungsfähig, transparent und demokratisch bleiben wird?	Do you really believe that, once the Amsterdam leftovers have been cleared up, our Union will still have the power to act and will still be transparent and democratic with 27 or 28 Member States?
Glauben Sie wirklich, daß wir mit 15, 16, 17, 18 Sprachen die heutige Sprachenregelung in unseren Institutionen fortführen können wie bisher?	Do you really believe that we can maintain the present language rules in our institutions with 15, 16, 17 or 18 languages?
Glauben Sie, daß wir das interne Funktionieren unserer Institutionen, von Rat, Parlament und Kommission, und das Gleichgewicht zwischen ihnen mit 27, 28 Staaten so fortführen können wie bisher?	Do you believe that we can maintain the present internal modus operandi of our institutions, of the Council, the European Parliament and the Commission and the balance between them with 27 or 28 Member States?
Glauben Sie wirklich, meine Damen und Herren, daß mit der Türkei, dem volkreichsten Staat Europas mit einer großen eigenen Geschichte, der Europäischen Union nur ein 28. Staat hinzugefügt wird und nicht der Europäischen Union eine neue Qualität hinzugefügt wird?	Do you really believe that Turkey, the European country with the largest population and a long history its own, will merely join the European Union as its 28th Member State rather than changing the very nature of it?
Brauchen wir nicht ein Konzept für die Verlagerung der Schengengrenze an den Euphrat und an den Tigris?	Do we not need a plan for moving the Schengen borders to the Euphrates and Tigris?
Brauchen wir nicht ein Konzept dafür, wie wir mit Beitrittswünschen umgehen, die in der Folge der Entscheidung von Helsinki aus Osteuropa und aus der Kaukasusregion auf die Europäische Union zukommen werden?	Do we not need a plan for dealing with accession applications received by the European Union from the States of Eastern Europe and the Caucasus in the wake of the Helsinki decision?
Und wie wir dabei mit Rußland umgehen, wenn wir in diesen Bereich hinein mit Beitrittsanträgen zu tun haben?	And for dealing with Russia if we receive accession applications from the States of that region?
Ich wünsche uns allen, daß wir die Flexibilität innerhalb der Europäischen Union finden, die mit dem, was wir bis jetzt an Flexibilität angesprochen haben, noch keineswegs erreicht ist, um den Zusammenhalt der Europäischen Union zu gewährleisten.	I trust that we will find the flexibility within the European Union, the flexibility which has so far completely eluded us - what we previously described as flexibility notwithstanding - in order to safeguard the cohesion of the European Union.
Ich wünsche uns allen, daß wir in den nächsten Jahren die Kraft und allen Mut aufbringen werden, solche Fragen zu beantworten und die Antworten zu finden, bevor sie uns von anderen gegeben werden und nicht mehr nach unserem eigenen politischen Willen gefunden werden.	I trust that we shall, over coming years, find the strength and the courage to answer these questions and to find answers of our own before others find them for us.
