Herr Präsident! Je kleiner die Beträge, desto höher die Kosten.	Mr President, the smaller the amount, the higher the costs are.
Ich war dieses Jahr im Sommer mit meiner Tochter in Italien in Urlaub, und sie hat 100 Schilling in einem Geldwechselautomaten gewechselt.	This summer I was on holiday with my daughter in Italy, and she changed 100 schillings in a money-changing machine.
Es sind 9.600 Lire herausgekommen.	It gave her 9, 600 lire.
Als wir nach Österreich zurückkamen, habe ich ihr den Betrag aufgerundet wieder zurückgegeben: 10.000 Lire.	When we got back to Austria, I gave her back the money, rounded up to 10, 000 lire.
Herr Kommissar, raten Sie, wieviel Geld beim österreichischen Automaten herausgekommen ist: Genau die Hälfte, 50 % hat sie zurückbekommen!	Commissioner, just guess how much money she got from the Austrian machine - she got exactly half, just 50 %!
Ich glaube, daß das im Tourismus und in vielen anderen Bereichen in Europa sehr viel Geld kostet.	I think this sort of thing costs a lot of money in tourism and in other areas.
Wenn man jetzt bedenkt, daß wir gegenüber Amerika ca. 50 % mehr Beschäftigte in den Banken haben, und das bei höheren Personalkosten, die ja letztendlich auch notwendig sind, um diesen ganzen Umwechslungs- und Risikobereich in den Griff zu bekommen, dann müssen wir schon in Zukunft auf unser europäisches Bankwesen achten und auch sehen, wie in Zukunft die Bankenaufsicht funktionieren soll.	When you consider that we have about 50 % more bank employees than in America, and at higher staff costs at that, and that all this is partly necessary to grapple with the whole area of foreign currency exchange and risk, then we will certainly have to keep an eye on our banks in Europe and consider what banking supervision arrangements we shall need in future.
Wenn man weiß, daß die Bankenwelt eine der Hauptursachen für die Krise in den ASEAN-Staaten darstellt, dann sollten wir bei der Umstellung des Euro ein besonderes Augenmerk auf gesunde Banken in Europa richten.	The fact that the banking system has been one of the main reasons for the crisis in the ASEAN states means that we need to be particularly attentive about a healthy banking system in Europe when we switch to the euro.
Letztlich ist es ja auch so: Je größer die Beträge sind, desto größer ist das Risiko, und ich glaube, eine unserer Hauptaufgaben sollte sein, das Risiko einzugrenzen.	At the end of the day, the larger the amounts are, the greater the risk, and I believe that one of our chief tasks should be to limit that risk.
Wenn man bedenkt, daß der Dollar von 1985 bis 1995 - und das ist eine Studie des österreichischen WIFO - uns ca. 1, 3 Millionen Arbeitsplätze in Europa gekostet hat, dann sieht man, welche Bedeutung eine gemeinsame Währung für uns hat.	If you consider that between 1985 and 1995 the dollar led to the loss of some 1.3 million jobs in Europe, according to a study by the Austrian Institute of Economic Research, then you will appreciate just how important a single currency is for us.
Wenn man von der Härte des Euro spricht, dann muß ich sagen, daß der Euro vielleicht härter wird, als das manchem Exporteur lieb ist.	As for the strength of the euro, I have to say that it is perhaps stronger than many exporters would like.
