Frau Präsidentin!	Madam President.
Ich darf zuerst der Kollegin Jöns sehr herzlich für ihren Bericht danken.	First let me thank Mrs Jöns most sincerely for her report.
Die EVP-Fraktion hat im Ausschuß gegen diesen Bericht gestimmt.	The Group of the European People's Party voted against this report in committee.
Die Gesichtspunkte wurden inzwischen aber durch Kompromißanträge ausgeräumt oder wenigstens entschärft.	These points were, however, removed or at least blunted by compromise solutions.
Ich bin damit zwar nicht ganz zufrieden, aber immerhin scheint der Bericht jetzt zustimmungsfähig zu sein.	As a result I am not entirely happy, but at least the report now seems to be capable of receiving my vote.
Ein Punkt, der mir aufstößt: Wir haben jetzt unterschiedliche Prozentsätze, Frau Kollegin Jöns, bei der Reserve, bei den Fördersätzen, beim ESF im Gegensatz zum EFRE.	One point worries me. We now have different percentages, Mrs Jöns, for the reserves, for the payment rates, for the ESF as opposed to the ERDF.
Das erschwert der Kommission in Zukunft die Arbeit.	That will make the Commission's work more difficult in future.
Ich halte das für ungünstig, daß das Parlament bei zwei Fonds verschiedene Angaben macht.	I think that it is inadvisable for Parliament to use different data for two funds.
Ich denke, die Aufgaben des ESF werden in Zukunft noch wichtiger und auch umfangreicher sein.	I believe the expenditure of the ESF will in future be more important and have greater coverage.
Bisher war der ESF zwar teilweise erfolgreich, aber es gab auch einen Teil, wo er weniger erfolgreich war.	Up to now the ESF has been partly successful, but there was a part which was less so.
Allerdings muß ich zugeben, die Bewertung und Auswertung der einzelnen Maßnahmen ist schwierig.	I must admit, however, that assessment of the various measures was difficult.
Trotzdem müssen die Ergebnisse künftig besser gewichtet und schneller vorgelegt werden, damit hieraus unverzüglich Folgerungen gezogen werden können, so meine ich.	Nevertheless, the results must in future be better balanced and be presented more quickly, in my opinion, so that conclusions can be drawn without delay.
Der ESF wird künftig nicht zuletzt aufgrund der zunehmenden Globalisierung sicher noch wichtiger werden.	The ESF will certainly become more important because of increasing globalization.
Daher befürworte ich eine Kofinanzierung, um die im Grunde für die 15 Mitgliedstaaten zu geringen Mittel zu erhöhen.	That is why I accept cofinancing so that the funds, which are essentially too small for 15 countries, can be increased.
70 % oder gar 90 % Zuschüsse müssen die Ausnahme bleiben, weil wir sonst die Mittel nicht wesentlich erhöhen können.	Subsidies of 70 % or even 90 % must remain the exception, or we shall be unable to increase the funds substantially.
Abschließend weise ich eindringlich darauf hin, daß der ESF nicht nur die Ballungsgebiete, sondern noch mehr die ländlichen Räume und ihre Bevölkerung berücksichtigen muß, weil ich der Meinung bin, die ländlichen Bereiche werden ansonsten noch mehr entvölkert, und das Ergebnis kennen wir.	Finally I should draw urgent attention to the fact that the ESF must look more to rural areas and their populations, rather than conurbations. In my view, rural areas will otherwise become yet more depopulated, and we know the result of that.
Die Ballungsgebiete werden noch mehr bevölkert, und das Ergebnis - höhere Kosten, noch größere Schwierigkeiten - wollen wir durch den ESF nach Möglichkeit verhindern.	Conurbations increase in size, and we must avoid the results of that - increased costs, more problems - by use of the ESF.
