Herr Präsident! Die Alpen sind dieses Jahr wichtig für Europa.	- Mr President, the Alps are important this year for Europe.
Slowenien hat die Ratspräsidentschaft in der EU, die Schweiz und Österreich haben die Fußball-Europameisterschaft - alles blickt in die Berge.	Slovenia has the Presidency of the European Council, Switzerland and Austria are hosting the European football championships and all eyes are on the mountains.
Ich gratuliere der Präsidentschaft zur Übernahme der Amtsgeschäfte.	I congratulate the Presidency on taking over the official functions.
Es ist eine wichtige Präsidentschaft.	It is an important Presidency.
Der Ratifizierungsprozess von Lissabon ist völlig zu Recht Ihre erste Priorität.	The Lisbon ratification process is quite rightly your first priority.
Im Kosovo wird die ESVP auf eine Probe gestellt.	The ESDP is being put to the test in Kosovo.
Wir erwarten im Parlament, dass Sie uns darlegen - wenn es nicht gelingt, eine Sicherheitsratsresolution zu bekommen -, dass die Resolution 1244 eine wasserdichte Rechtsgrundlage für alle ESVP-Maßnahmen ist.	In Parliament we are looking to you to make clear to us - if we don't manage to achieve a Security Council resolution - that Resolution 1244 is a watertight legal basis for all ESDP measures.
Mein Fraktionsvorsitzender hat es gesagt: Wir sind gegen ein beschleunigtes Stabilisierungs- und Assoziierungsabkommen für Serbien ohne Zusammenarbeit mit ICTY.	My Group Chairman has said: we are against an accelerated stabilisation and association agreement for Serbia without cooperation with the ICTY.
Wir feiern die Tatsache, dass Slowenien der erste Mitgliedstaat aus den Beitrittsländern ist, der die Präsidentschaft übernimmt.	We celebrate the fact that Slovenia is the first Member State from the accession countries to take over the Presidency.
Wir Liberale haben immer sehr stark für diese Erweiterung gestritten.	We Liberals have always fought strongly for this enlargement.
Wir haben sie auch dann verteidigt, wenn wir bei uns zu Hause Gegenwind hatten.	We have also advocated it whenever we encountered antagonism at home.
Uns ist allerdings im Moment nicht sehr zum Feiern zumute.	We do not feel very much like celebrating at the moment, however.
Ich bin aus Nordrhein-Westfalen, und in Bochum haben gestern 2 300 Menschen erfahren, dass Nokia seine Produktionsstätte schließen und nach Rumänien verlagern wird.	I am from North Rhine-Westphalia and learnt from 2 300 people in Bochum yesterday that Nokia are closing their production facilities and will be relocating to Romania.
Dann wurde der Eindruck erweckt, das geschehe mit EU-Geldern.	The impression was then created that it was happening with EU money.
Ich sage für die FDP glasklar: Arbeitsplatzverlagerung innerhalb der Europäischen Union darf nicht mit EU-Mitteln gefördert werden!	I want to make it crystal clear for the FDP that the relocation of jobs within the European Union must not be facilitated with EU funds!
Wir werden alles dafür tun, sicherzustellen, dass in diesem Fall keine EU-Subventionen fließen.	We shall be doing everything we can to ensure that no EU subsidies are flowing in this case.
Ich sehe, dass der Kommissionspräsident nickt.	I see that the President of the Commission is nodding.
Ich hoffe, dass wir dazu eine klare Stellungnahme der Kommission bekommen.	I hope that we get a clear response to this from the Commission.
Das ist ein ganz wichtiges Thema, das den Menschen Angst macht, Angst vor Europa.	This is a very important subject, which scares people and makes them afraid of Europe.
Das darf nicht sein!	This should not be!
Wir werden auch dafür sorgen, dass beihilferechtlich geprüft wird, wenn in Rumänien nationale Subventionen fließen sollten.	We shall also ensure that eligibility for assistance is checked if national subsidies are directed into Romania.
Das ist ein Problem, und wir hoffen, dass die qualifizierten und motivierten Menschen in Bochum bald wieder Arbeit finden werden!	This is a problem and we hope that the skilled and motivated people in Bochum will soon find work again.
