Frau Präsidentin! Ich möchte hier gleich anschließen.	Madam President, I would like to endorse this.
Es sind nicht die Atomversuche, die uns beschäftigen, sondern ein Übel, das sich oft langsam und gerne einschleicht, das manchmal leise beginnt, aber oft böse endet, nämlich die Benachteiligung religiöser Minderheiten.	It is not the nuclear tests that preoccupy us, but rather an evil which often likes to creep up slowly, which sometimes begins quietly, but often ends badly, namely discrimination against religious minorities.
Das Übel entsteht nicht nur durch Staatsreligionen, sondern auch durch einen falsch verstandenen Fundamentalismus, der z.B. ein solches Blasphemie-Gesetz, das streng angewendet wird, ausnutzt.	The evil is not just caused by state religions, but also by a misunderstood fundamentalism, which for example takes advantage of a blasphemy law that is fiercely applied.
In Pakistan ist dieses Übel virulent und deutlich geworden durch den Tod des katholischen Bischofs John Joseph, aber die Situation in Pakistan war auch Thema einer Arbeitsgruppe des Deutschen Katholikentags in der letzten Woche, auch ohne daß man ahnte, was noch passieren würde.	In Pakistan this evil is virulent and has become apparent through the death of the Catholic bishop John Joseph, but the situation in Pakistan was also the subject of a working party at the Conference of the German Catholic Church last week, and without anyone suspecting what would happen.
Minderheiten zeichnen sich oft durch verschiedene Faktoren aus: ethnische Unterschiede, unterschiedliche Religionen, Sprachen oder Kultur.	Minorities are often characterized by various factors: ethnic differences, varying religions, languages or cultures.
Dabei kommt immer einiges zusammen.	At the same time some aspects always come together.
Religion wird mißbraucht, um Meinungs- und Informationsfreiheit zu unterdrücken, Gerichte und Rechtsprechung zu beeinflussen, Gewalt auszuüben durch Polizei und fanatische Gruppen.	Religion is misused to suppress freedom of opinion and information, to influence courts and legal judgements and to exercise violence through the police and fanatical groups.
Wir möchten der pakistanischen Regierung unsere große Besorgnis ausdrücken, noch vor der zur Zeit zwar vertagten, aber doch bevorstehenden Konsultation des Europäischen Parlaments zum Kooperationsabkommen.	We would like to express to the Pakistan government our grave concern, before the currently postponed, yet still imminent consultation of the European Parliament on the cooperation agreement.
Wir möchten alle Bestrebungen unterstützen, die Gesetze so zu gestalten, daß Menschenrechte, demokratische Bestrebungen und Rechtsstaatlichkeit garantiert werden und daß Religionsfreiheit für alle, die friedlich in ihrem Lande leben wollen, auch existiert.	We would like to support all efforts to create the laws in such a way that human rights, democratic endeavour and law and order are guaranteed and religious freedom is provided for all who want to live in peace in their country.
Mir wurde gesagt, die pakistanische Regierung würde entsprechende Bemühungen unternehmen.	I have been told that the Pakistan government would be making suitable efforts.
Sicher ist, daß die Todesstrafe zur Zeit ausgesetzt ist.	Certainly we see that the death penalty has currently been suspended.
Wenn dem so ist, dann möchten wir unsere Entschließung als Unterstützung für diejenigen gewertet wissen, die Pakistan in einer zugegeben schwierigen politischen Situation als modernen Staat gestalten wollen.	If that is the case, then we would like to know that our resolution is seen as support for those who want to turn Pakistan into a modern state in an admittedly difficult political situation.
Allerdings bitte ohne Atombombe!	But please let this be done without the atom bomb!
Dabei darf ich auch daran erinnern, daß der Staatsgründer von Pakistan, Mohammed Ali Jinnah, die Idee der Gleichheit aller Religionen vertrat.	Might I also remind you that the founder of Pakistan, Mohammed Ali Jinnah, supported the idea of equality for all religions.
Ich hoffe, daß das moderne Pakistan sich dies zu Herzen nimmt!	I hope that modern Pakistan will take this to heart.
