Herr Präsident, die neuesten Statistiken weisen einen Rückgang der Arbeitslosenzahlen auf.	Mr President, the latest statistics show a fall in unemployment.
Bei genauerem Studium zeigt sich jedoch, daß die Arbeitslosenrate zwar gefallen ist, aber in weit geringerem Ausmaß, als die Wirtschaft im selben Zeitraum gewachsen ist.	On closer study, however, we see that unemployment has fallen to a lesser degree than the economy has grown in the same period.
Auch die Tatsache, daß rund 23 Millionen europäische Bürger am Existenzminimum liegen, gibt zu denken. Es gibt auch zu denken, wenn der vorliegende Bericht vor billigen Mc-Jobs warnt und die Beachtung einer stabilen Währung einfordert.	The fact that 23 million European citizens are living at subsistence level also gives cause for thought, as does the fact that the present report warns of low-pay and low-quality jobs and demands that monetary stability be maintained.
Die Vorgaben des Luxemburger Gipfels für eine erfolgreiche Beschäftigungspolitik sind ehrgeizig.	The Luxembourg Summit's guidelines for a successful employment policy are ambitious.
Kein Mensch wird sich gegen Alternativen zur Besteuerung der Arbeit ernsthaft wehren. Kein Mensch wird sich gegen Maßnahmen zur Verbesserung des Investitionsklimas oder der Aus- und Weiterbildung wenden.	No one will seriously oppose alternatives to taxation on labour or measures to improve the climate for investment or education and training.
Aber diese Rezepte sind letztlich nicht neu.	But these formulas are not new, after all.
Bereits beim Gipfel von Essen wurde über das Weißbuch für Beschäftigung diskutiert, und zwar über genau dieselben Maßnahmen.	Precisely these measures were discussed at the Essen Summit in the context of the White Paper on employment.
Ernüchternd ist aber die Tatsache, wie wenig konkret diese Maßnahmen in den NAP für Beschäftigung sind.	However, it is sobering that the NAPs for employment are so unspecific about these measures.
So werden in zahlreichen nationalen Aktionsplänen keine oder nur mangelhafte konkrete Ziele und Finanzmittel festgelegt.	Many National Action Plans do not fix any concrete aims or financial resources, or else they are inadequate.
Es fehlt an angemessenen Indikatoren, an der Quantifizierung der Haushaltsmittel, an der Festsetzung von Prioritäten und deren zeitlichen Auswirkungen.	What is needed are appropriate indicators, specification of budgetary funds and laying down of priorities and the deadlines for achieving them.
Wie also soll eine ehrliche Evaluierung der Fortschritte und Ergebnisse der Beschäftigungspolitik stattfinden?	And how are we to evaluate honestly the progress and results of employment policy?
Lassen Sie mich sagen: Die Botschaft hör ich wohl, allein mir fehlt der Glaube, wenn die Mitgliedstaaten die Ziele nicht umsetzen.	I have to say that I hear the message but I do not believe it if the Member States fail to realise the objectives.
