Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Worum geht es denn?	Mr President, Commissioner, ladies and gentlemen, what is this all about then?
Es geht doch ganz banal darum: Wie können die Finanzmärkte einen Beitrag dazu leisten, die Kosten, die sie für die Staaten, für die Gesellschaften, für die Wirtschaft verursacht haben, wieder abzubauen?	The question is quite simply how can the financial markets help to reduce the costs that they have incurred for states, societies and the economy?
Das ist doch die Kernfrage, die wir zu beantworten haben.	That is the crucial question that we must answer.
Ich denke, dass wir miteinander einen sehr ausgewogenen Text erarbeitet haben.	I think that together, we have developed a very balanced text.
Ich bin auch dem Kommissar sehr dankbar dafür, wie er es formuliert hat.	I am also very grateful to the Commissioner for the way he has worded it.
Wir können auf der einen Seite nicht so tun, als wenn Europa die Insel der Glückseligen wäre und wir tun und lassen können, was wir wollen, und globale Finanzmärkte würden darauf nicht reagieren.	On the one hand, we cannot pretend that Europe is the Island of the Blessed where we can do what we like without the global financial markets reacting to it.
Das muss international abgestimmt sein.	Things must be coordinated internationally.
Wir müssen auf der anderen Seite auch dafür sorgen, dass aus dem Sektor ein entsprechender Beitrag zur Bewältigung der Krise geleistet wird.	On the other hand, we must also ensure that the sector makes an appropriate contribution to overcoming the crisis.
Darum warne ich auch vor Folgendem: Es kann ja nicht sein, dass wir jede Woche irgendein neues Thema erfinden, mit dem wir alle Probleme dieser Erde lösen.	That is why I would caution that we must stop coming up with a new item every week that we can use to solve all the problems of the world.
Vor ein paar Monaten war es eine zusätzliche Abgabe auf Flugtickets, um alle Probleme zu lösen, jetzt ist es die Finanztransaktionssteuer, um alle Probleme zu lösen, nächsten Monat fällt irgendeinem wieder etwas anderes ein.	A couple of months ago, it was an additional levy on airline tickets that was going to solve all our problems, now it is the tax on financial transactions and next month, somebody will think of something else.
Wir sollten hier die Kirche im Dorf lassen.	That is going too far.
Es geht darum, die Finanzmärkte in einem international abgestimmten Kontext mit zu beteiligen.	It is a question of involving the financial markets in an internationally coordinated manner.
Wenn dazu eine vernünftige Lösung von der Kommission vorgelegt und auch in die internationalen Verhandlungen eingebracht werden kann, dann sind wir auf dem richtigen Weg.	If a sensible solution to this can be put forward by the Commission and introduced into international negotiations, then we will be on the right track.
Wir sollten auch ehrlich zu uns selber sein.	We should also be honest with ourselves.
Wer behauptet, man könnte mit solchen Instrumenten Spekulationen stoppen, der wird sich deutlich täuschen.	Those who maintain that we can stop speculation with such instruments are clearly deluding themselves.
Was wir wollen, ist, dass Spekulanten ihren Beitrag zum Risiko und zur Bewältigung des Risikos leisten.	What we want is for speculators to make their contribution to the risk and to overcoming the risk.
Das ist der richtige Ansatz.	That is the right approach.
Dabei haben Sie unsere volle Unterstützung, Herr Kommissar!	In doing so, you have our full support Commissioner.
