Dem Präsidium und der Fischereikommission ein glückliches Neues Jahr!	May I wish the Bureau and the Fisheries Directorate of the Commission a happy new year?
Es war schon sehr unglücklich, daß wir mit Ihnen, Frau Bonino, im letzten Dezember keine ordentliche Debatte führen konnten.	It was indeed very regrettable that we were unable to have a proper debate last December with you, Mrs Bonino.
Heute besteht unsere Aufgabe darin, mit Ihnen und Ihrer Fischereikommission zu überlegen, wie wir die gemeinsame Fischereipolitik voranbringen, und zwar von der Überzeugung getragen, daß die Fischerei ein wichtiger Industriezweig in der Europäischen Union ist, und dies insbesondere in Europas zahlreichen und auf Arbeitsplätze angewiesenen Küstenregionen.	Today we have to debate with you and your fisheries directorate how we can make progress in the common fisheries policy, convinced that fisheries is an important branch of industry in the European Union, especially in the many coastal regions of Europe dependent on this industry for jobs.
Es ist schon bedauerlich, daß auf der Ratstagung im Dezember, wie von Ihnen vorgetragen, wertvolle Zeit dem Disput über die Verteilung von möglicherweise gar nicht mehr existierendem Fisch gewidmet wurde, statt diese Zeit auf die Dossiers zu verwenden, zu denen das Parlament sich bereits geäußert hatte.	It is very regrettable, as you said, that at the Council meeting in December valuable time was lost arguing about the allocation of possible fish, which may not longer exist, rather than spending the time on dossiers on which Parliament had already expressed its view.
Die Übereinkunft zur Satellitenüberwachung begrüßen wir natürlich, auch wenn nur die größten Schiffe mit der neuen Technologie ausgestattet werden.	We of course welcome the agreement on satellite monitoring, even although it is only the largest boats that are equipped with this new technology.
Diese zwar im Verhältnis zahlenmäßig kleine, aber für die EU-Fischerei wesentliche Flotte bringt wenigstens den Einstieg in die neuen Technologien.	This fleet which is relatively small but nonetheless important for the EU fishing is at least a start in the new technologies.
Frau Bonino, Sie haben betont, wie notwendig es ist, entschlossen zu handeln, wenn es in der EU noch längerfristig eine Fischereiindustrie geben soll.	Mr Bonino, you said we must act decisively if the fishing industry is to survive in the long term in the EU.
Meine Fraktion in diesem Haus unterstützt Sie darin.	My group supports you in that view.
Ich möchte Sie auffordern, wie Sie uns auch aufgefordert haben, eng mit uns zusammenzuarbeiten, um eine Lösung zu finden.	I should like to ask you, as you have asked us, to work closely together with us to find a solution.
Die Fischereikrise findet sonst kein Ende, aber der Fischfang.	Otherwise the crisis in the fisheries sector will not finish, but fishing will.
Es beschäftigt mich schon, daß die Texte des jetzigen Ministerrats doch weit weg sind von den Inhalten, zu denen das Parlament angehört wurde.	I am quite worried that the present texts being discussed in the Council of Ministers differ considerably from those on which Parliament was consulted.
Ich fordere die Kommission auf, das Recht des Parlaments auf Wiederanhörung zu respektieren.	I urge the Commission to respect the right of this House to a further consultation.
Wir begrüßen natürlich auch den Vorschlag, technische Bestandserhaltungsmaßnahmen nicht nur zu vereinfachen, sondern auch zu verbessern: Netze mit größeren Maschen, mehr selektive Netze mit Quadratmaschenfenstern dort, wo angebracht, und das Prinzip der Einnetzregelung sind grundsätzlich nötig, um vermehrt auch kleinen Fischen eine Überlebenschance zu geben.	We welcome the proposal not just to simplify but also improve the technical measures for stock conservation: nets with larger meshes, more selective nets with square mesh panels where appropriate and the principle of closed areas are essential principles if juvenile fish are to be given a better chance of surviving.
Der Ministerrat macht sich schuldig, wenn er nicht sofort entsprechend reagiert, sondern die Vorschläge noch verwässert.	The Council of Ministers will be failing in its duty if it does not act immediately or it if waters down the proposals.
Eine Übergangslösung kostet allein schon kostbare Zeit.	A transitional solution will only waste valuable time.
Und die Fischer als Betroffene haben uns deutlich gemacht, daß sie Konservierungsmaßnahmen wollen.	The fishermen have told us clearly that they want conservation measures.
Heute wissen wir nun, daß der Ministerrat nicht willens ist, den Maßnahmen für eine ausreichende Reduzierung des Fischereiaufwandes und der Kapazität der Flotte zuzustimmen.	Now we learn today that the Council of Ministers is unwilling to agree to measures for a proper reduction in the fish catch and in the fleet's capacity.
Beides ist notwendig, um ein Gleichgewicht mit den verfügbaren Ressourcen wiederherzustellen, wie von Ihnen ausgeführt.	Both are needed to restore a balance in the available resources, as you have said.
Die Gefahr ist also groß und real, wenn wir die Situation nicht in den Griff bekommen.	The dangers are real and serious if we do not take control of the situation.
Andere politische Kräfte werden den Kurs bestimmen und ihre Vorstellungen der Fischindustrie aufzwingen. Darunter gibt es solche, die den Fischereisektor schließen wollen.	Other political forces will dictate action and force their ideas on the fishing industry, including some which want to close down the fishing sector.
Die verbleibenden Monate bis zur Nordsee-Schutzkonferenz im Frühjahr werden dies beweisen, und die Öffentlichkeit wird emotionalisiert.	The remaining months until the North Sea Protection Conference will prove this and public opinion will be manipulated.
Am Ende stehen die Fischer alleine da.	At the end of the day fishermen will be isolated.
Das heißt also, eine neue Denkschule ist angesagt.	That means that we must change our whole way of thinking.
In den hervorragenden Anhörungen, die noch von unserem exzellenten bisherigen Vorsitzenden, Herrn Arias Cañete, organisiert wurden, war schnell eines klar: Das Wettrennen um das Lebensmittel Fisch wird gnadenlos fortgesetzt, wenn wir die Krise nicht endlich zu den Akten legen.	In the excellent hearing organised by our splendid former chairman, Mr Arias Cañete, one thing was obvious from the start: the chase for fish will continue mercilessly if we do not solve the crisis once and for all.
Zu lange, viel zu lange, haben wir nur schlechte Nachrichten über bestehendes Fischereimanagement gehört.	For far too long we have been hearing only bad news about the present management of the fishing resources.
Auf den Anhörungen wurde jedoch auch Gutes verkündet.	But we also heard some good news at the hearings.
Die Industrie ist, wie gesagt, vielfach bereit, bei ihrer Produktion dauerhafte Ressourcennutzung zu berücksichtigen und damit das vernichtende Wettrennen zu stoppen.	The industry is often prepared to take account of lasting use of resources and thereby put an end to this destructive chase.
Neuseeland und Island sind hier beispielgebend.	New Zealand and Iceland are good examples here.
Ich fordere Sie auf, sich deren positive Erfahrungen zu eigen zu machen und diesem Haus entsprechend geeignete Vorschläge vorzulegen.	I urge you to take their positive experience on board and present suitable proposals to this House.
Wir stehen auf der glücklichen Seite mit Carmen Fraga als neuer Vorsitzenden des Fischereiausschusses und als Berichterstatterin über die Zukunft der gemeinsamen europäischen Fischereipolitik ab 2000.	We are fortunate to have Carmen Fraga as the new chairman of the Committee on Fisheries and as rapporteur on the future of the common European fisheries policy from the year 2000.
Ich glaube fest daran, wenn wir alle zusammenarbeiten und eine realistische Vision haben, dann hat die Fischerei auch eine Perspektive für die Zukunft.	I firmly believe that if we all pull together and are guided by realism then the fisheries industry has a future.
Ich bin auf die nächsten 2 1/2 Jahre im Fischereiausschuß sehr neugierig.	I am very curious to see what emerges from the Committee on Fisheries in the next two and a half years.
